task,dataset,dataset_sha256,n_samples,n_features,seed,fold,projection_count,projected_columns,selection_seconds,feature_ranking
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,0,10,20,0.15115670800150838,"[12, 11, 9, 6, 10, 0, 5, 8, 3, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,0,20,40,0.43976062499859836,"[11, 12, 6, 10, 9, 0, 5, 8, 3, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,0,40,80,1.5130581249977695,"[11, 12, 6, 10, 9, 0, 5, 8, 3, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,1,5,10,0.06993704100023024,"[12, 9, 6, 10, 11, 0, 5, 1, 3, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,1,10,20,0.14914083300391212,"[12, 10, 9, 6, 11, 0, 5, 1, 3, 8, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,1,20,40,0.46421941700100433,"[12, 6, 10, 11, 9, 0, 5, 1, 8, 3, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,1,40,80,1.6000506669952301,"[12, 11, 6, 10, 9, 0, 5, 1, 8, 3, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,2,5,10,0.06256170899723656,"[12, 11, 9, 0, 6, 10, 5, 1, 8, 3, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,2,10,20,0.14611587500257883,"[12, 6, 11, 9, 0, 10, 5, 1, 8, 3, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,2,20,40,0.4623643330123741,"[12, 6, 11, 9, 0, 10, 5, 1, 8, 3, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,2,40,80,1.5716669590037782,"[12, 6, 11, 9, 10, 0, 5, 1, 8, 3, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,3,5,10,0.06330208299914375,"[6, 12, 9, 11, 10, 0, 3, 5, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,3,10,20,0.149229667003965,"[6, 12, 9, 11, 10, 0, 3, 5, 1, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,3,20,40,0.4474647500028368,"[6, 12, 9, 11, 10, 0, 3, 5, 1, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,3,40,80,1.507541166007286,"[6, 12, 11, 9, 10, 0, 3, 5, 1, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,4,5,10,0.060345792007865384,"[11, 9, 12, 6, 0, 10, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,4,10,20,0.14210012499825098,"[6, 12, 11, 9, 0, 10, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,4,20,40,0.45776958399801515,"[12, 6, 11, 10, 9, 0, 5, 3, 8, 1, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,4,40,80,1.5286615829973016,"[12, 6, 11, 9, 10, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,0,5,10,0.06343683299201075,"[12, 6, 10, 11, 9, 0, 5, 1, 3, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,0,10,20,0.15474770800210536,"[12, 6, 10, 11, 9, 0, 5, 1, 3, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,0,20,40,0.45117612498870585,"[12, 6, 11, 10, 9, 0, 5, 1, 3, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,0,40,80,1.5439831250114366,"[12, 6, 11, 10, 9, 0, 5, 1, 3, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,1,5,10,0.06586679100291803,"[6, 12, 9, 10, 11, 0, 5, 3, 8, 4, 1, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,1,10,20,0.1771184160024859,"[12, 6, 9, 10, 11, 0, 5, 3, 1, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,1,20,40,0.44489916700695176,"[12, 6, 11, 9, 10, 0, 5, 3, 1, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,1,40,80,1.5324934579984983,"[12, 6, 11, 9, 10, 0, 5, 3, 1, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,2,5,10,0.06352708299527876,"[12, 6, 11, 9, 10, 0, 5, 1, 3, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,2,10,20,0.1490680829883786,"[12, 6, 11, 9, 10, 0, 5, 1, 3, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,2,20,40,0.4586931670055492,"[12, 6, 10, 11, 9, 0, 5, 1, 3, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,2,40,80,1.5737555419909768,"[12, 6, 11, 10, 9, 0, 5, 1, 8, 3, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,3,5,10,0.06328979099635035,"[11, 10, 9, 12, 6, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,3,10,20,0.15142008299881127,"[12, 11, 6, 10, 9, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,3,20,40,0.4698839170014253,"[12, 11, 6, 10, 9, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,3,40,80,1.5362757080001757,"[12, 10, 6, 11, 9, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,4,5,10,0.06255004199920222,"[12, 11, 10, 6, 9, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,4,10,20,0.14798862500174437,"[12, 11, 10, 6, 9, 0, 5, 3, 8, 1, 2, 7, 4]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,4,20,40,0.4440712499927031,"[12, 6, 11, 10, 9, 0, 5, 3, 8, 1, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,3,4,40,80,1.5412005830003181,"[12, 6, 11, 10, 9, 0, 5, 3, 8, 1, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,0,5,10,0.06137562499498017,"[11, 12, 10, 9, 6, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,0,10,20,0.15000654199684504,"[6, 11, 12, 10, 9, 0, 5, 3, 8, 1, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,0,20,40,0.455954290999216,"[6, 12, 11, 10, 9, 0, 5, 3, 8, 1, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,0,40,80,1.5753691669960972,"[6, 12, 11, 10, 9, 0, 5, 3, 8, 1, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,1,5,10,0.06137983300141059,"[12, 6, 9, 0, 11, 10, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,1,10,20,0.15058487499481998,"[12, 6, 9, 0, 11, 10, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,1,20,40,0.4461167500121519,"[12, 6, 9, 10, 11, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,1,40,80,1.5004570840101223,"[12, 11, 6, 9, 10, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,2,5,10,0.05881666600180324,"[12, 6, 9, 10, 11, 0, 5, 1, 3, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,2,10,20,0.14001816599920858,"[12, 6, 10, 11, 9, 0, 5, 1, 3, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,2,20,40,0.43022733299585525,"[12, 6, 10, 11, 9, 0, 5, 1, 3, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,2,40,80,1.5313613750040531,"[12, 6, 11, 10, 9, 0, 5, 1, 3, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,3,5,10,0.0591130829998292,"[12, 9, 10, 6, 11, 0, 5, 3, 1, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,3,10,20,0.140628541004844,"[6, 11, 12, 10, 9, 0, 5, 3, 1, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,3,20,40,0.42475741599628236,"[6, 11, 12, 10, 9, 0, 5, 3, 1, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,3,40,80,1.4678113749978365,"[12, 6, 11, 10, 9, 0, 5, 3, 1, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,4,5,10,0.05928262500674464,"[12, 9, 10, 6, 11, 0, 5, 8, 3, 4, 1, 7, 2]"
