dataset,k,downstream_model,projection_count,balanced_accuracy_mean,balanced_accuracy_std,folds
wine,5,lr,10,0.960851370851371,0.028862674241433288,25
wine,5,lr,20,0.959010101010101,0.028632371684313835,25
wine,5,lr,40,0.956946608946609,0.027387031704238902,25
wine,5,svm,5,0.9681904761904763,0.024287443310861606,25
wine,5,svm,10,0.9680317460317461,0.024407740601976195,25
wine,5,svm,20,0.9652380952380953,0.024720236953928446,25
wine,5,svm,40,0.9612698412698413,0.02479973538059451,25
wine,10,knn,5,0.9703492063492064,0.024573159708237105,25
wine,10,knn,10,0.9693968253968254,0.023826140586017248,25
wine,10,knn,20,0.9703492063492064,0.024573159708237105,25
wine,10,knn,40,0.9670264550264551,0.02301281680128316,25
wine,10,lr,5,0.9707878787878788,0.022289821783347964,25
wine,10,lr,10,0.9704069264069264,0.021188095210783072,25
wine,10,lr,20,0.9717402597402598,0.02197703830628784,25
wine,10,lr,40,0.9704069264069264,0.021188095210783072,25
wine,10,svm,5,0.976988936988937,0.02231979582279086,25
wine,10,svm,10,0.9783222703222704,0.020526864453820192,25
wine,10,svm,20,0.976988936988937,0.02231979582279086,25
wine,10,svm,40,0.9783222703222704,0.020526864453820192,25
wine,13,knn,5,0.9642539682539684,0.030304992034350813,25
wine,13,knn,10,0.9642539682539684,0.030304992034350813,25
wine,13,knn,20,0.9642539682539684,0.030304992034350813,25
wine,13,knn,40,0.9642539682539684,0.030304992034350813,25
wine,13,lr,5,0.9786031746031746,0.01943564210653688,25
wine,13,lr,10,0.9786031746031746,0.01943564210653688,25
wine,13,lr,20,0.9786031746031746,0.01943564210653688,25
wine,13,lr,40,0.9786031746031746,0.01943564210653688,25
wine,13,svm,5,0.9838778258778259,0.020562439907442213,25
wine,13,svm,10,0.9838778258778259,0.020562439907442213,25
wine,13,svm,20,0.9838778258778259,0.020562439907442213,25
wine,13,svm,40,0.9838778258778259,0.020562439907442213,25
