task,dataset,seed,fold,projection_count,projected_columns,k,n_features_selected,downstream_model,accuracy,f1,f1_macro,balanced_accuracy,roc_auc,auc
classification,wine,0,1,10,20,10,10,lr,0.9444444444444444,0.9448329448329448,0.9440559440559441,0.9523809523809524,1.0,1.0
classification,wine,0,1,10,20,10,10,svm,0.9722222222222222,0.9723691945914168,0.9717813051146384,0.9761904761904763,1.0,1.0
classification,wine,0,1,10,20,10,10,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,1.0,1.0
classification,wine,0,1,10,20,13,13,lr,0.9722222222222222,0.9723691945914168,0.9717813051146384,0.9761904761904763,1.0,1.0
classification,wine,0,1,10,20,13,13,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,1,10,20,13,13,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,1.0,1.0
classification,wine,0,1,20,40,5,5,lr,0.9444444444444444,0.9445019553715207,0.945824706694272,0.9484126984126985,0.9974747474747474,0.9974747474747474
classification,wine,0,1,20,40,5,5,svm,0.9444444444444444,0.9445019553715207,0.945824706694272,0.9484126984126985,0.9938973063973064,0.9938973063973064
classification,wine,0,1,20,40,5,5,knn,0.9166666666666666,0.9144647944647945,0.9184859584859586,0.9285714285714285,0.9938973063973064,0.9938973063973064
classification,wine,0,1,20,40,10,10,lr,0.9444444444444444,0.9448329448329448,0.9440559440559441,0.9523809523809524,1.0,1.0
classification,wine,0,1,20,40,10,10,svm,0.9722222222222222,0.9723691945914168,0.9717813051146384,0.9761904761904763,1.0,1.0
classification,wine,0,1,20,40,10,10,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,1.0,1.0
classification,wine,0,1,20,40,13,13,lr,0.9722222222222222,0.9723691945914168,0.9717813051146384,0.9761904761904763,1.0,1.0
classification,wine,0,1,20,40,13,13,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,1,20,40,13,13,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,1.0,1.0
classification,wine,0,1,40,80,5,5,lr,0.9444444444444444,0.9445019553715207,0.945824706694272,0.9484126984126985,0.9974747474747474,0.9974747474747474
classification,wine,0,1,40,80,5,5,svm,0.9444444444444444,0.9445019553715207,0.945824706694272,0.9484126984126985,0.9938973063973064,0.9938973063973064
classification,wine,0,1,40,80,5,5,knn,0.9166666666666666,0.9144647944647945,0.9184859584859586,0.9285714285714285,0.9938973063973064,0.9938973063973064
classification,wine,0,1,40,80,10,10,lr,0.9444444444444444,0.9448329448329448,0.9440559440559441,0.9523809523809524,1.0,1.0
classification,wine,0,1,40,80,10,10,svm,0.9722222222222222,0.9723691945914168,0.9717813051146384,0.9761904761904763,1.0,1.0
classification,wine,0,1,40,80,10,10,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,1.0,1.0
classification,wine,0,1,40,80,13,13,lr,0.9722222222222222,0.9723691945914168,0.9717813051146384,0.9761904761904763,1.0,1.0
classification,wine,0,1,40,80,13,13,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,1,40,80,13,13,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,1.0,1.0
