task,focus_method,baseline,dataset,n_cells,mean_delta,median_delta,min_delta,max_delta,win_share,nonloss_share
classification,cif,et,wine,6,0.0027293570626903594,0.001809523809523761,-0.001915343915343981,0.008603174603174613,0.8333333333333334,0.8333333333333334
classification,cif,et,TOX_171,15,0.001605820105820103,0.0015873015873015817,-0.03400793650793643,0.02426587301587302,0.5333333333333333,0.5333333333333333
classification,cif,et,gamma,3,0.0014800394584133143,0.0015190416166286358,0.000799591856833648,0.0021214849017776594,1.0,1.0
classification,cif,et,pendigits,6,0.0009985319288958368,0.00849044468544552,-0.04026139893733793,0.014029198221499173,0.8333333333333334,0.8333333333333334
classification,cif,et,spam,12,0.0003427794848451608,0.002639350388072337,-0.040902922812555365,0.015284287920431572,0.75,0.75
classification,cif,et,musk,15,-0.0005343574166020308,0.0007269452431367673,-0.017667033416399414,0.021792293136595697,0.5333333333333333,0.5333333333333333
classification,cif,et,gisette,15,-0.002075555555555534,-0.0030999999999998806,-0.012266666666666648,0.010299999999999976,0.4666666666666667,0.4666666666666667
classification,cif,et,page-blocks,6,-0.003438071108248878,-4.069175991827656e-06,-0.01852799066742561,0.002876409725679707,0.16666666666666666,0.5
classification,cif,et,orlraws10P,15,-0.004399999999999982,0.0020000000000000018,-0.03599999999999992,0.018000000000000127,0.5333333333333333,0.5333333333333333
classification,cif,et,letter,6,-0.005874196149216008,0.0012003731348345092,-0.03376421938580765,0.007990078199435313,0.6666666666666666,0.6666666666666666
classification,cif,et,ALLAML,15,-0.008414814814814809,-0.007111111111111068,-0.039999999999999925,0.011555555555555541,0.3333333333333333,0.3333333333333333
classification,cif,et,madelon,15,-0.011259999999999989,-0.00539999999999996,-0.07999999999999985,0.0351999999999999,0.26666666666666666,0.26666666666666666
classification,cif,et,pixraw10P,15,-0.011733333333333314,0.0,-0.04799999999999993,0.015999999999999903,0.26666666666666666,0.5333333333333333
classification,cif,et,arcene,15,-0.013326599326599327,-0.017727272727272703,-0.043005050505050435,0.02570707070707068,0.26666666666666666,0.26666666666666666
classification,cif,lgbm,Yale,15,0.0318814814814815,0.0257777777777779,-0.0022222222222222365,0.09111111111111109,0.9333333333333333,0.9333333333333333
classification,cif,lgbm,warpAR10P,15,0.018533333333333322,0.013333333333333308,-0.031333333333333324,0.08066666666666678,0.6666666666666666,0.6666666666666666
classification,cif,lgbm,warpPIE10P,15,0.013586666666666651,-0.005400000000000071,-0.014399999999999968,0.09899999999999998,0.3333333333333333,0.3333333333333333
classification,cif,lgbm,page-blocks,6,0.011217119152994226,0.006463981437573263,0.0,0.03584147938728377,0.5,1.0
classification,cif,lgbm,glass,6,0.009821428571428611,0.0,-0.002349206349206212,0.03595634920634927,0.3333333333333333,0.8333333333333334
classification,cif,lgbm,pendigits,6,0.008650772124442188,0.0016633361991628126,-0.007347627474007856,0.03193837365693741,0.6666666666666666,0.6666666666666666
classification,cif,lgbm,wine,6,0.003369568702902004,0.004285714285714337,-0.006582010582010578,0.010190476190476083,0.6666666666666666,0.6666666666666666
classification,cif,lgbm,vowel-context,6,0.0030639730639730836,0.0018181818181818299,0.0,0.010707070707070776,0.5,1.0
classification,cif,lgbm,musk,15,0.0015799215758478017,0.0019964767815070505,-0.021812409917141173,0.02772787298610402,0.5333333333333333,0.5333333333333333
classification,cif,lgbm,gamma,3,0.0,0.0,0.0,0.0,0.0,1.0
classification,cif,lgbm,ALLAML,15,-0.004162962962962953,-0.010444444444444367,-0.05999999999999994,0.08511111111111103,0.4,0.4
classification,cif,lgbm,letter,6,-0.008824757246637283,-0.000151271078339843,-0.03585575832561283,0.0008055914617416393,0.3333333333333333,0.3333333333333333
classification,cif,lgbm,arcene,15,-0.009107744107744124,-0.007954545454545547,-0.04525252525252521,0.036691919191919276,0.3333333333333333,0.3333333333333333
classification,cif,lgbm,pixraw10P,15,-0.011466666666666655,-0.013999999999999901,-0.040000000000000036,0.017999999999999905,0.26666666666666666,0.26666666666666666
classification,cif,lgbm,spam,12,-0.016084638875350138,-3.498269459906167e-05,-0.15456776268165462,0.003872081107893721,0.5,0.5
classification,cif,lgbm,madelon,15,-0.01949333333333333,-0.009199999999999986,-0.06979999999999986,0.008299999999999974,0.2,0.2
classification,cif,lgbm,gisette,15,-0.023055555555555527,-0.022299999999999875,-0.04300000000000004,-0.007966666666666677,0.0,0.0
classification,cif,lgbm,ORL,15,-0.027966666666666643,-0.020000000000000018,-0.09999999999999987,0.013000000000000012,0.2,0.2
classification,cif,lgbm,CLL_SUB_111,15,-0.04547968574635243,-0.06315151515151518,-0.09928619528619542,0.07488215488215488,0.13333333333333333,0.13333333333333333
classification,cif,lgbm,orlraws10P,15,-0.047199999999999985,-0.030000000000000027,-0.12199999999999989,-0.005999999999999894,0.0,0.0
classification,cif,lgbm,isolet,15,-0.05165044183688254,-0.02173011734028696,-0.13172707518470228,-0.008870056497175205,0.0,0.0
