task,dataset,model_variant,ranking_variant,dataset_score,n_cells,n_downstream_models,n_k_values,min_fold_seed_rows,min_nonnull_score_rows,score_missing_rows,support_type,scores_complete
classification,isolet,cif_default,split_count,0.6769511806460959,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,isolet,cif_default,split_importance,0.6923395335361437,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,isolet,cif_no_bootstrap,split_count,0.6824423583949007,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,isolet,cif_no_bootstrap,split_importance,0.6955461103867883,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,isolet,cif_no_mute,split_count,0.6746624945675793,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,isolet,cif_no_mute,split_importance,0.6897897725626538,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,isolet,cif_one_tree,split_count,0.7141571200927133,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,isolet,cif_one_tree,split_importance,0.715165116615964,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,letter,cif_default,split_count,0.7712676808503548,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,letter,cif_default,split_importance,0.7712330536711002,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,letter,cif_no_bootstrap,split_count,0.771844086815261,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,letter,cif_no_bootstrap,split_importance,0.7712282575797692,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,letter,cif_no_mute,split_count,0.7712692636297155,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,letter,cif_no_mute,split_importance,0.7711401926082648,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,letter,cif_one_tree,split_count,0.7608937504403461,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,letter,cif_one_tree,split_importance,0.7556629800766128,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,madelon,cif_default,split_count,0.6916,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,madelon,cif_default,split_importance,0.67906,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,madelon,cif_no_bootstrap,split_count,0.6997466666666666,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,madelon,cif_no_bootstrap,split_importance,0.6952066666666668,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,madelon,cif_no_mute,split_count,0.6904133333333333,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,madelon,cif_no_mute,split_importance,0.6796733333333334,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,madelon,cif_one_tree,split_count,0.5490733333333334,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,madelon,cif_one_tree,split_importance,0.5500533333333333,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,musk,cif_default,split_count,0.8806826199019151,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,musk,cif_default,split_importance,0.8796135797184778,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,musk,cif_no_bootstrap,split_count,0.8803870365709972,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,musk,cif_no_bootstrap,split_importance,0.8790544417965755,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,musk,cif_no_mute,split_count,0.8798540772476586,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,musk,cif_no_mute,split_importance,0.8797231367703059,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,musk,cif_one_tree,split_count,0.8680612243129535,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,musk,cif_one_tree,split_importance,0.8634432443437063,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,orlraws10P,cif_default,split_count,0.8772,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,orlraws10P,cif_default,split_importance,0.8606666666666667,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,orlraws10P,cif_no_bootstrap,split_count,0.8625333333333334,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,orlraws10P,cif_no_bootstrap,split_importance,0.8692,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,orlraws10P,cif_no_mute,split_count,0.8790666666666667,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,orlraws10P,cif_no_mute,split_importance,0.8667999999999999,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,orlraws10P,cif_one_tree,split_count,0.8118666666666667,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,orlraws10P,cif_one_tree,split_importance,0.8094666666666667,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,page-blocks,cif_default,split_count,0.8530013880614801,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,page-blocks,cif_default,split_importance,0.8655878975500721,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,page-blocks,cif_no_bootstrap,split_count,0.8570887634288723,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,page-blocks,cif_no_bootstrap,split_importance,0.8651081715793407,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,page-blocks,cif_no_mute,split_count,0.8530054572374719,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,page-blocks,cif_no_mute,split_importance,0.8664048297342646,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,page-blocks,cif_one_tree,split_count,0.8604122830488771,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,page-blocks,cif_one_tree,split_importance,0.8609551983260034,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pendigits,cif_default,split_count,0.8843795833099583,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pendigits,cif_default,split_importance,0.8931391080061348,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pendigits,cif_no_bootstrap,split_count,0.8915720239658693,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pendigits,cif_no_bootstrap,split_importance,0.8986185687964533,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pendigits,cif_no_mute,split_count,0.8851284926276474,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pendigits,cif_no_mute,split_importance,0.8960182199290562,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pendigits,cif_one_tree,split_count,0.8825348691050037,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pendigits,cif_one_tree,split_importance,0.8841856481680055,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pixraw10P,cif_default,split_count,0.9288000000000001,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pixraw10P,cif_default,split_importance,0.9433333333333334,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pixraw10P,cif_no_bootstrap,split_count,0.9322666666666667,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pixraw10P,cif_no_bootstrap,split_importance,0.9402666666666667,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pixraw10P,cif_no_mute,split_count,0.9286666666666666,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pixraw10P,cif_no_mute,split_importance,0.9436,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pixraw10P,cif_one_tree,split_count,0.9317333333333333,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,pixraw10P,cif_one_tree,split_importance,0.9298666666666667,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,spam,cif_default,split_count,0.8922606443384935,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,spam,cif_default,split_importance,0.8900473627089799,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,spam,cif_no_bootstrap,split_count,0.8891133808519832,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,spam,cif_no_bootstrap,split_importance,0.8883504853089822,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,spam,cif_no_mute,split_count,0.8916961422568436,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,spam,cif_no_mute,split_importance,0.8897199866165478,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,spam,cif_one_tree,split_count,0.8502312238568935,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,spam,cif_one_tree,split_importance,0.8589867911094143,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,vowel-context,cif_default,split_count,0.8102356902356903,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,vowel-context,cif_default,split_importance,0.8088552188552188,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,vowel-context,cif_no_bootstrap,split_count,0.809023569023569,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,vowel-context,cif_no_bootstrap,split_importance,0.8085185185185185,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,vowel-context,cif_no_mute,split_count,0.8096296296296296,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,vowel-context,cif_no_mute,split_importance,0.8077441077441078,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,vowel-context,cif_one_tree,split_count,0.8021885521885522,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,vowel-context,cif_one_tree,split_importance,0.7822895622895624,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpAR10P,cif_default,split_count,0.7803555555555556,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpAR10P,cif_default,split_importance,0.7951555555555555,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpAR10P,cif_no_bootstrap,split_count,0.7568888888888889,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpAR10P,cif_no_bootstrap,split_importance,0.7843555555555555,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpAR10P,cif_no_mute,split_count,0.7807111111111111,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpAR10P,cif_no_mute,split_importance,0.7980888888888888,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpAR10P,cif_one_tree,split_count,0.6295999999999999,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpAR10P,cif_one_tree,split_importance,0.6201777777777778,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpPIE10P,cif_default,split_count,0.9023333333333333,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpPIE10P,cif_default,split_importance,0.9066933333333334,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpPIE10P,cif_no_bootstrap,split_count,0.9023866666666667,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpPIE10P,cif_no_bootstrap,split_importance,0.9078133333333334,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpPIE10P,cif_no_mute,split_count,0.903,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpPIE10P,cif_no_mute,split_importance,0.9054933333333334,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpPIE10P,cif_one_tree,split_count,0.88856,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,warpPIE10P,cif_one_tree,split_importance,0.8904533333333333,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,wine,cif_default,split_count,0.9777944524611192,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,wine,cif_default,split_importance,0.9783860830527497,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,wine,cif_no_bootstrap,split_count,0.9759672919672919,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,wine,cif_no_bootstrap,split_importance,0.9791550424883758,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,wine,cif_no_mute,split_count,0.9773182619849288,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,wine,cif_no_mute,split_importance,0.9783860830527497,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,wine,cif_one_tree,split_count,0.9542364919031586,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,wine,cif_one_tree,split_importance,0.9552417829084496,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra1,cif_default,split_count,-0.02120993568385597,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra1,cif_default,split_importance,-0.013382992347816832,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra1,cif_no_bootstrap,split_count,-0.022894682589752937,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra1,cif_no_bootstrap,split_importance,-0.05101325828621743,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra1,cif_no_mute,split_count,-0.06501782704091735,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra1,cif_no_mute,split_importance,-0.0455830923753833,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra1,cif_one_tree,split_count,-0.7070295789572907,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra1,cif_one_tree,split_importance,-0.7070295789572907,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra2,cif_default,split_count,-0.6094440787009068,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra2,cif_default,split_importance,-0.4610549203962996,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra2,cif_no_bootstrap,split_count,-2.0505335498059387,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra2,cif_no_bootstrap,split_importance,-2.047876985298997,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra2,cif_no_mute,split_count,-0.6329785107064119,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra2,cif_no_mute,split_importance,-0.44206922429441387,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra2,cif_one_tree,split_count,-3.5861758687847716,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra2,cif_one_tree,split_importance,-3.5861758687847702,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra3,cif_default,split_count,-0.11640469736450566,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra3,cif_default,split_importance,-0.09066593447253421,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra3,cif_no_bootstrap,split_count,-0.09946423595671179,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra3,cif_no_bootstrap,split_importance,-0.1158047863169804,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra3,cif_no_mute,split_count,-0.12904993414395033,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra3,cif_no_mute,split_importance,-0.07901439497117423,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra3,cif_one_tree,split_count,-0.388263687866963,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,coepra3,cif_one_tree,split_importance,-0.38830355119061505,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,comm_violence,cif_default,split_count,0.5420568511458753,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,comm_violence,cif_default,split_importance,0.5402473974556495,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,comm_violence,cif_no_bootstrap,split_count,0.5386012152996819,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,comm_violence,cif_no_bootstrap,split_importance,0.5370693504383782,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,comm_violence,cif_no_mute,split_count,0.5420572151005624,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
