study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_splits,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices
single_tree_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,rt,4,66,7,59,43,"9,71"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cit,0,1,1,0,0,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cit,1,1,1,0,0,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cit,2,1,1,0,0,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cit,3,1,1,0,0,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cit,4,1,1,0,0,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,dt,0,2,1,1,1,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,dt,1,2,1,1,1,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,dt,2,2,1,1,1,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,dt,3,2,1,1,1,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,dt,4,2,1,1,1,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,rt,0,72,0,72,66,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,rt,1,72,2,70,65,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,rt,2,71,2,69,65,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,rt,3,72,1,71,65,"219,253"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,rt,4,46,3,43,41,"219,253"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,cit,0,1,1,0,0,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,cit,1,1,1,0,0,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,cit,2,1,1,0,0,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,cit,3,1,1,0,0,"441,267"
