task,k,method_base,method_id,n_datasets,n_cells,mean_score_minus_endpoint,median_score_minus_endpoint,support_type
classification,100,cif,cif__6556bbc3e830b25a,15,45,0.03690131580173901,-0.0005387205387206162,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,cit,cit__bc8d0ddbb26c15b5,15,45,-0.04178108050730958,-0.04149999999999998,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,cpi,cpi__6e89acc5e72da5a8,15,45,-0.10226634540863862,-0.08767857142857138,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,et,et__f5580a1865f967c8,15,45,0.02963399018341954,-0.003978318297735206,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,lgbm,lgbm__71ba9ba402678146,15,45,0.034420863540081295,0.0,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,pi,pi__6e89acc5e72da5a8,15,45,-0.0437327121459299,-0.040000000000000036,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,ptest_mc,ptest_mc__307d6fc3284c28e2,15,45,-0.0014991676335829294,-0.02000000000000013,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,ptest_rdc,ptest_rdc__307d6fc3284c28e2,15,45,-0.015041217892997692,-0.03613333333333324,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,r_cforest,r_cforest__37be32340835a93b,14,42,-0.03009237748209599,-0.026199999999999973,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,r_ctree,r_ctree__b6e09ceb0eb26367,14,42,-0.09144525891931773,-0.07123611111111106,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,rf,rf__27caa3a0a3b84fd9,15,45,0.033055628785609206,-0.0039999999999998925,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,rfe,rfe__99914b932bd37a50,15,45,0.011425464292095077,-0.010399999999999965,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,xgb,xgb__1c62fadfc5e2988f,15,45,0.02940345930682226,0.0014999999999999458,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,boruta,boruta__7f986516a1727870,6,18,0.03460065099133204,0.058579519416952164,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,cat,cat__024a0842d4337711,6,18,0.27379420707840635,0.11451334786680425,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,cif,cif__a01a3672a449d400,6,18,0.2131745640523035,0.0597796057667033,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,cit,cit__2cd925b5323e9208,6,18,-0.1404560964935425,0.08029705236488205,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,cpi,cpi__6e89acc5e72da5a8,6,18,-0.44239537763855236,-0.021288072734671343,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,et,et__f09eb85fc7f75870,6,18,0.26350725296629,0.07974591407378101,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,lgbm,lgbm__71ba9ba402678146,6,18,-0.169607878482395,0.05883349286735545,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,pi,pi__6e89acc5e72da5a8,6,18,-0.060450606303369785,0.05591410765420547,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,ptest_dc,ptest_dc__307d6fc3284c28e2,6,18,-0.12765919174624862,0.060669090049225285,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,ptest_pc,ptest_pc__307d6fc3284c28e2,6,18,-0.040327324751181025,0.06250459618694638,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,ptest_rdc,ptest_rdc__307d6fc3284c28e2,6,18,-0.25785175259258325,0.06827448828744048,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,r_cforest,r_cforest__37be32340835a93b,6,18,0.45359767965710784,-0.02215119227787376,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,r_ctree,r_ctree__b6e09ceb0eb26367,6,18,0.13140030616678,0.051128076160093426,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,rf,rf__aed17443e3db937d,6,18,0.1800354269465726,0.09615858617420615,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,rfe,rfe__99914b932bd37a50,6,18,0.22628586967913644,0.12416013777320224,dataset_downstream_mean_over_high_p_with_endpoint
regression,5,xgb,xgb__c2661145d45caaf6,6,18,0.2691600222818655,0.03836247764848495,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,boruta,boruta__7f986516a1727870,6,18,0.11315151079610995,0.06323903401510161,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,cat,cat__024a0842d4337711,6,18,0.22070100773451773,0.1378892892076974,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,cif,cif__a01a3672a449d400,6,18,0.3055956879934152,0.10281576941263784,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,cit,cit__2cd925b5323e9208,6,18,-0.0662188954165292,0.05042871159361377,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,cpi,cpi__6e89acc5e72da5a8,6,18,-0.36092946206176074,0.024541403704621014,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,et,et__f09eb85fc7f75870,6,18,0.3371384882898781,0.1230392128551204,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,lgbm,lgbm__71ba9ba402678146,6,18,-0.17026789285903277,0.04374087655450598,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,pi,pi__6e89acc5e72da5a8,6,18,-0.015940715979616143,0.05740968031556752,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,ptest_dc,ptest_dc__307d6fc3284c28e2,6,18,-0.1576172825721705,0.051217102471748197,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,ptest_pc,ptest_pc__307d6fc3284c28e2,6,18,0.046356752322350016,0.0525780834669682,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,ptest_rdc,ptest_rdc__307d6fc3284c28e2,6,18,-0.10034127465476712,0.05828354460414377,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,r_cforest,r_cforest__37be32340835a93b,6,18,0.47301744097039283,-0.007643892293757282,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,r_ctree,r_ctree__b6e09ceb0eb26367,6,18,0.1458201274037328,0.07015435423445376,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,rf,rf__aed17443e3db937d,6,18,0.31514332168058234,0.09863687349504748,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,rfe,rfe__99914b932bd37a50,6,18,0.2080693295543618,0.10908061151638868,dataset_downstream_mean_over_high_p_with_endpoint
regression,10,xgb,xgb__c2661145d45caaf6,6,18,0.287779769571875,0.15077429936024184,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,boruta,boruta__7f986516a1727870,6,18,-0.0029626030735892487,0.04243814678912919,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,cat,cat__024a0842d4337711,6,18,0.29138423711231304,0.20940346619579847,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,cif,cif__a01a3672a449d400,6,18,0.31616976748050324,0.17955324522389743,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,cit,cit__2cd925b5323e9208,6,18,-0.23422439255231772,0.036632731786973974,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,cpi,cpi__6e89acc5e72da5a8,6,18,-0.7095575771405424,-0.010932348736236011,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,et,et__f09eb85fc7f75870,6,18,0.3474572486831934,0.15452783134962034,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,lgbm,lgbm__71ba9ba402678146,6,18,-0.21420897157172158,0.02306494775234547,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,pi,pi__6e89acc5e72da5a8,6,18,0.023214301117334055,0.035399882918545955,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,ptest_dc,ptest_dc__307d6fc3284c28e2,6,18,0.07113409869181145,0.04193202154779304,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,ptest_pc,ptest_pc__307d6fc3284c28e2,6,18,0.17583444502186685,0.04289879914347091,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,ptest_rdc,ptest_rdc__307d6fc3284c28e2,6,18,0.0805988225235158,0.048468482310546415,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,r_cforest,r_cforest__37be32340835a93b,6,18,-0.000808941813987715,0.0008213602497021133,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,r_ctree,r_ctree__b6e09ceb0eb26367,6,18,-0.11250839109798688,0.013250961985499576,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,rf,rf__aed17443e3db937d,6,18,0.3141389346397527,0.13037273179545167,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,rfe,rfe__99914b932bd37a50,6,18,0.19766534361980678,0.13570608165782516,dataset_downstream_mean_over_high_p_with_endpoint
regression,25,xgb,xgb__c2661145d45caaf6,6,18,0.32163445998772666,0.14375389072831363,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,boruta,boruta__7f986516a1727870,6,18,0.266774602526703,0.03909608265864441,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,cat,cat__024a0842d4337711,6,18,0.3692385366344009,0.21539830734239107,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,cif,cif__a01a3672a449d400,6,18,0.35810524903553426,0.19564756326411148,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,cit,cit__2cd925b5323e9208,6,18,-0.22830223438307218,0.025096978597257562,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,cpi,cpi__6e89acc5e72da5a8,6,18,-0.6537742605272964,-0.006381323326810781,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,et,et__f09eb85fc7f75870,6,18,0.3583403142707602,0.20788983556876056,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,lgbm,lgbm__71ba9ba402678146,6,18,-0.1589604566900611,0.017793654001661708,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,pi,pi__6e89acc5e72da5a8,6,18,0.09239698844689781,0.04806645349545551,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,ptest_dc,ptest_dc__307d6fc3284c28e2,6,18,0.1868594468522618,0.03695737867717695,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,ptest_pc,ptest_pc__307d6fc3284c28e2,6,18,0.2477650648022252,0.048108123570449655,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,ptest_rdc,ptest_rdc__307d6fc3284c28e2,6,18,0.11082189234552002,0.037467812273762044,dataset_downstream_mean_over_high_p_with_endpoint
