task,dataset,downstream_model,method_base,method_id,k,endpoint_k,dataset_mean_score,endpoint_score,score_minus_endpoint,is_standard_k,is_endpoint,is_best_over_observed_k
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,1783,7129,0.7575555555555556,0.7575555555555556,0.0,False,False,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,3565,7129,0.7655555555555555,0.7575555555555556,0.007999999999999896,False,False,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,5347,7129,0.7455555555555555,0.7575555555555556,-0.012000000000000122,False,False,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,7129,7129,0.7575555555555556,0.7575555555555556,0.0,False,True,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,5,7129,0.532,0.7575555555555556,-0.22555555555555562,True,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,10,7129,0.5362222222222222,0.7575555555555556,-0.2213333333333335,True,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,25,7129,0.7126666666666667,0.7575555555555556,-0.04488888888888898,True,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,50,7129,0.6313333333333333,0.7575555555555556,-0.12622222222222235,True,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,100,7129,0.6048888888888889,0.7575555555555556,-0.15266666666666673,True,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,150,7129,0.5891111111111111,0.7575555555555556,-0.1684444444444445,False,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,200,7129,0.6393333333333333,0.7575555555555556,-0.11822222222222234,False,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,300,7129,0.62,0.7575555555555556,-0.13755555555555565,False,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,500,7129,0.7153333333333333,0.7575555555555556,-0.04222222222222238,False,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,750,7129,0.7088888888888889,0.7575555555555556,-0.04866666666666675,False,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,1000,7129,0.7155555555555556,0.7575555555555556,-0.04200000000000004,False,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,1783,7129,0.7075555555555556,0.7575555555555556,-0.050000000000000044,False,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,3565,7129,0.7455555555555555,0.7575555555555556,-0.012000000000000122,False,False,False
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,5347,7129,0.7535555555555555,0.7575555555555556,-0.004000000000000115,False,False,False
