task,dataset,model_variant,ranking_variant,delta_vs_reference,n_paired_fold_seeds,n_learner_k,reference_model_variant,reference_ranking_variant,included
classification,wine,cif_one_tree,split_count,-0.013730479397146072,25,6,cif_default,split_importance,True
classification,ALLAML,cif_one_tree,split_importance,-0.19253333333333333,25,15,cif_default,split_importance,True
classification,CLL_SUB_111,cif_one_tree,split_importance,-0.13688260381593714,25,15,cif_default,split_importance,True
classification,ORL,cif_one_tree,split_importance,-0.07263333333333334,25,15,cif_default,split_importance,True
classification,TOX_171,cif_one_tree,split_importance,-0.09216534391534392,25,15,cif_default,split_importance,True
classification,Yale,cif_one_tree,split_importance,-0.10835555555555555,25,15,cif_default,split_importance,True
classification,arcene,cif_one_tree,split_importance,-0.047429292929292925,25,15,cif_default,split_importance,True
classification,dexter,cif_one_tree,split_importance,-0.25533333333333336,25,15,cif_default,split_importance,True
classification,gamma,cif_one_tree,split_importance,-0.018808823324944365,25,3,cif_default,split_importance,True
classification,gisette,cif_one_tree,split_importance,-0.062357777777777776,25,15,cif_default,split_importance,True
classification,glass,cif_one_tree,split_importance,-0.02961177248677249,25,6,cif_default,split_importance,True
classification,letter,cif_one_tree,split_importance,-0.00887323349855834,25,6,cif_default,split_importance,True
classification,madelon,cif_one_tree,split_importance,-0.13052666666666668,25,15,cif_default,split_importance,True
classification,musk,cif_one_tree,split_importance,-0.01895200006694437,25,15,cif_default,split_importance,True
classification,orlraws10P,cif_one_tree,split_importance,-0.10733333333333332,25,15,cif_default,split_importance,True
classification,page-blocks,cif_one_tree,split_importance,-0.016652413196389278,25,6,cif_default,split_importance,True
classification,pendigits,cif_one_tree,split_importance,-0.006537380193357438,25,6,cif_default,split_importance,True
classification,pixraw10P,cif_one_tree,split_importance,-0.0023999999999999963,25,15,cif_default,split_importance,True
classification,spam,cif_one_tree,split_importance,-0.0197872469358813,25,12,cif_default,split_importance,True
classification,vowel-context,cif_one_tree,split_importance,-0.023097643097643096,25,6,cif_default,split_importance,True
classification,warpAR10P,cif_one_tree,split_importance,-0.1603111111111111,25,15,cif_default,split_importance,True
classification,warpPIE10P,cif_one_tree,split_importance,-0.03953333333333334,25,15,cif_default,split_importance,True
classification,wine,cif_one_tree,split_importance,-0.014719897386564063,25,6,cif_default,split_importance,True
regression,coepra1,cif_default,split_count,-0.027674218077449443,25,15,cif_default,split_importance,True
regression,coepra2,cif_default,split_count,-0.35444966909656556,25,15,cif_default,split_importance,True
regression,coepra3,cif_default,split_count,-0.03690377397077879,25,15,cif_default,split_importance,True
regression,comm_violence,cif_default,split_count,0.002885572761958586,25,15,cif_default,split_importance,True
regression,community_crime,cif_default,split_count,0.00353128879165889,25,15,cif_default,split_importance,True
regression,facebook,cif_default,split_count,-0.0021854165497682556,25,6,cif_default,split_importance,True
regression,imports-85,cif_default,split_count,-0.004512589979115879,25,12,cif_default,split_importance,True
regression,residential,cif_default,split_count,-0.001354038095200491,25,15,cif_default,split_importance,True
regression,coepra1,cif_no_bootstrap,split_count,-0.07962801522786611,25,15,cif_default,split_importance,True
regression,coepra2,cif_no_bootstrap,split_count,-0.1216435614705652,25,15,cif_default,split_importance,True
regression,coepra3,cif_no_bootstrap,split_count,-0.13427150149807482,25,15,cif_default,split_importance,True
regression,comm_violence,cif_no_bootstrap,split_count,0.0024548160409691364,25,15,cif_default,split_importance,True
regression,community_crime,cif_no_bootstrap,split_count,0.003151429120789072,25,15,cif_default,split_importance,True
regression,facebook,cif_no_bootstrap,split_count,-0.0016450576753167109,25,6,cif_default,split_importance,True
regression,imports-85,cif_no_bootstrap,split_count,-0.009515428985484173,25,12,cif_default,split_importance,True
regression,residential,cif_no_bootstrap,split_count,0.0003267022484018129,25,15,cif_default,split_importance,True
regression,coepra1,cif_no_bootstrap,split_importance,-0.09054212214694625,25,15,cif_default,split_importance,True
regression,coepra2,cif_no_bootstrap,split_importance,-0.20458457193322885,25,15,cif_default,split_importance,True
regression,coepra3,cif_no_bootstrap,split_importance,-0.20690019119890937,25,15,cif_default,split_importance,True
regression,comm_violence,cif_no_bootstrap,split_importance,0.0007972020638485933,25,15,cif_default,split_importance,True
regression,community_crime,cif_no_bootstrap,split_importance,0.00017872181249706766,25,15,cif_default,split_importance,True
regression,facebook,cif_no_bootstrap,split_importance,0.0005546814562621478,25,6,cif_default,split_importance,True
regression,imports-85,cif_no_bootstrap,split_importance,-0.014985090750625027,25,12,cif_default,split_importance,True
regression,residential,cif_no_bootstrap,split_importance,0.0014411766166241805,25,15,cif_default,split_importance,True
regression,coepra1,cif_no_mute,split_count,-1.5830264484746595,25,15,cif_default,split_importance,True
regression,coepra2,cif_no_mute,split_count,-0.3651052646326095,25,15,cif_default,split_importance,True
regression,coepra3,cif_no_mute,split_count,-0.032039485735470524,25,15,cif_default,split_importance,True
regression,comm_violence,cif_no_mute,split_count,0.0037450271591042976,25,15,cif_default,split_importance,True
regression,community_crime,cif_no_mute,split_count,0.0036171213938387503,25,15,cif_default,split_importance,True
regression,facebook,cif_no_mute,split_count,-0.0021698467679062434,25,6,cif_default,split_importance,True
regression,imports-85,cif_no_mute,split_count,-0.004535756585019069,25,12,cif_default,split_importance,True
regression,residential,cif_no_mute,split_count,-0.0013125531123316667,25,15,cif_default,split_importance,True
regression,coepra1,cif_no_mute,split_importance,-1.239315260986841,25,15,cif_default,split_importance,True
regression,coepra2,cif_no_mute,split_importance,-0.023239519166776575,25,15,cif_default,split_importance,True
regression,coepra3,cif_no_mute,split_importance,0.004752784913962205,25,15,cif_default,split_importance,True
regression,comm_violence,cif_no_mute,split_importance,0.0005079291906117512,25,15,cif_default,split_importance,True
regression,community_crime,cif_no_mute,split_importance,0.0004805440436321845,25,15,cif_default,split_importance,True
