experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,mean_depth_mean,mean_depth_std,max_depth_mean,max_depth_std,mean_features_used_mean,mean_features_used_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std,knn_r2_mean,knn_r2_std
strictness_continuum,clf,clf_toeplitz,strict_default,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8396243657263784,0.04299624842946874,0.800628862756415,0.057179487942956596,29.449076878399683,3.2626705654654775,4.540000000000001,0.3369866466197138,7.4,0.4898979485566356,4.638000000000001,0.7030049786452441,,,,,,,,
strictness_continuum,clf,clf_toeplitz,no_bonf_a05,100,1000,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.7616161616161616,0.11598141490430162,0.8390279681600654,0.043017227876580154,0.801429670778924,0.05949959702836372,38.841977608999876,1.981824052445951,4.976000000000001,0.2637119640820266,8.6,0.48989794855663565,5.474000000000001,0.6523066763417341,,,,,,,,
strictness_continuum,clf,clf_toeplitz,no_bonf_a10,100,1000,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.7616161616161616,0.11598141490430162,0.8388283673616621,0.042739843803566616,0.7996344660077435,0.057068133296514216,40.5045709562004,1.8417728213000597,4.976000000000001,0.292342265161916,9.0,0.6324555320336759,5.386,0.5939562273433961,,,,,,,,
strictness_continuum,clf,clf_toeplitz,no_bonf_a20,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.785858585858586,0.1343700133197244,0.8426279970180122,0.040354414357814734,0.8042240819565688,0.05733037232738712,44.589105332399775,2.628803435454658,5.044,0.33624990706318403,8.4,0.4898979485566356,5.486,0.6869526912386326,,,,,,,,
strictness_continuum,clf,clf_toeplitz,no_bonf_a50,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7656565656565657,0.1150628756840254,0.8396255681408269,0.04320038230619966,0.8000252507034125,0.05686125899080983,46.32246264759997,2.5057390724312794,5.058,0.315493264587376,8.2,0.4,5.546,0.7112411686622198,,,,,,,,
strictness_continuum,clf,clf_toeplitz,wide_open_a99,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7616161616161616,0.11598141490430162,0.8396255681408269,0.04320038230619966,0.8020236635163407,0.05953752917135593,45.85896693399991,2.738289668365737,5.089999999999999,0.31874754901018454,8.4,0.4898979485566356,5.63,0.7100140843673454,,,,,,,,
strictness_continuum,clf,clf_toeplitz,no_bonf_a20_no_es,100,1000,0.76,0.14966629547095767,0.76,0.14966629547095767,0.76,0.14966629547095767,0.8101010101010102,0.13958411854646222,0.8364319553663757,0.0448240551472931,0.7962184065603732,0.05548893964634397,184.41140620419975,7.975992440047623,3.742,0.2864541848184452,10.2,0.7483314773547883,3.346,0.3871227195606065,,,,,,,,
strictness_continuum,clf,clf_toeplitz,no_bonf_a05_no_boot,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7737373737373737,0.10133281780997538,0.8398239665247818,0.043268317057896945,0.8004256547146671,0.0569160741586691,47.633450003200416,3.157126332134927,4.223999999999999,0.2916573331839952,6.4,0.4898979485566356,4.198,0.6967754301064296,,,,,,,,
strictness_continuum,clf,clf_toeplitz,optimized_a20,100,1000,0.8800000000000001,0.039999999999999994,0.8800000000000001,0.039999999999999994,0.8800000000000001,0.039999999999999945,0.7737373737373737,0.10133281780997538,0.8382247553086598,0.0428224029277986,0.800628862756415,0.05694818098047675,19.598274457599835,1.061497215498531,3.844,0.21509067855209352,6.8,0.39999999999999997,3.4260000000000006,0.43357121675683236,,,,,,,,
strictness_continuum,clf,clf_toeplitz,rf,100,1000,0.9800000000000001,0.039999999999999994,0.9800000000000001,0.039999999999999994,0.9800000000000001,0.039999999999999994,0.795959595959596,0.12144758274900312,0.8430211865425775,0.04028400794616744,0.7976059928336098,0.05657365327726452,0.20836365999930423,0.028762512533944514,0.0,0.0,0.0,0.0,58.434000000000005,7.018047021786047,,,,,,,,
strictness_continuum,clf,clf_toeplitz,et,100,1000,0.9,0.06324555320336757,0.9,0.06324555320336757,0.9,0.06324555320336754,0.8202020202020203,0.12638781672417823,0.8414279873986967,0.04034344597713083,0.7996176322054686,0.05212680386561919,0.14670535139994173,0.005078520341290288,0.0,0.0,0.0,0.0,90.928,3.2851508336756776,,,,,,,,
strictness_continuum,clf,clf_confounder,strict_default,120,1000,0.38,0.040000000000000015,0.38,0.040000000000000015,0.38000000000000006,0.040000000000000036,0.8672268907563027,0.09645946119181004,0.7916143616381695,0.07334842750891032,0.8413895101363538,0.03827037973632609,29.802536870800395,2.5199860192276566,5.5040000000000004,0.7236186841147759,9.4,0.7999999999999999,6.984,1.4347626981490704,0.64,0.14966629547095767,0.62,0.039999999999999994,,,,
strictness_continuum,clf,clf_confounder,no_bonf_a05,120,1000,0.42000000000000004,0.07483314773547883,0.42000000000000004,0.07483314773547883,0.4200000000000001,0.07483314773547882,0.8571428571428571,0.11607594386441689,0.79340956640935,0.07084229690387978,0.8381814683885243,0.03485878779943927,37.678064010799424,2.08163085989515,6.208,0.5236945674723006,10.8,0.9797958971132713,8.498000000000001,1.201489076105147,0.64,0.08000000000000003,0.58,0.0748331477354788,,,,
strictness_continuum,clf,clf_confounder,no_bonf_a10,120,1000,0.38,0.040000000000000015,0.38,0.040000000000000015,0.38000000000000006,0.040000000000000036,0.9226890756302522,0.030715406525205127,0.7891951037683669,0.07255599939711244,0.851389991102133,0.023343404676910415,39.770304950600256,3.6003188948220615,6.386,0.43614676428926985,10.8,0.7483314773547882,8.708,1.0010674302962812,0.68,0.09797958971132716,0.62,0.039999999999999994,,,,
strictness_continuum,clf,clf_confounder,no_bonf_a20,120,1000,0.42000000000000004,0.07483314773547883,0.42000000000000004,0.07483314773547883,0.42000000000000004,0.07483314773547882,0.9142857142857144,0.022169589845836807,0.7862179255945939,0.07373577860983437,0.8385987062020537,0.03257050474456781,41.86332352659993,3.360686180107963,6.456,0.4220710840604934,11.0,0.6324555320336759,8.856,0.9456976260940915,0.64,0.14966629547095767,0.58,0.0748331477354788,,,,
strictness_continuum,clf,clf_confounder,no_bonf_a50,120,1000,0.4,0.0632455532033676,0.4,0.0632455532033676,0.4,0.0632455532033676,0.9210084033613446,0.02842274710132395,0.7808142750643291,0.08226454313089654,0.817996537046389,0.05678316750764523,42.50146417940014,3.58767848263262,6.4399999999999995,0.3932937833223403,10.6,0.8,8.98,0.9020199554333594,0.56,0.19595917942265426,0.6,0.06324555320336757,,,,
strictness_continuum,clf,clf_confounder,wide_open_a99,120,1000,0.4,0.10954451150103323,0.4,0.10954451150103323,0.4,0.10954451150103323,0.9159663865546219,0.022548584647056672,0.7920063487482866,0.07335936047205713,0.8571940456436525,0.01747401506448542,42.40130251779992,3.2353280530535096,6.414,0.4811901910887213,10.6,0.8,8.906,1.060162251733196,0.56,0.19595917942265426,0.6,0.1095445115010332,,,,
strictness_continuum,clf,clf_confounder,no_bonf_a20_no_es,120,1000,0.44000000000000006,0.16248076809271916,0.44000000000000006,0.16248076809271916,0.44000000000000006,0.16248076809271916,0.8470588235294118,0.15453048086013568,0.7944268090325373,0.06642347750582887,0.8728230286415121,0.016230368471935975,161.17213749999974,9.493639145776813,2.948,0.25607811308270767,8.8,0.39999999999999997,2.2960000000000003,0.3545475990611133,0.52,0.2039607805437114,0.52,0.116619037896906,,,,
strictness_continuum,clf,clf_confounder,no_bonf_a05_no_boot,120,1000,0.34,0.04898979485566358,0.34,0.04898979485566358,0.34,0.048989794855663606,0.8470588235294118,0.10714203328073428,0.793217180097636,0.06819971546182906,0.8298006396844864,0.05110014304172406,48.87873452399945,3.506262645377592,4.868,0.6018438335648211,8.8,0.7483314773547882,5.606,1.1619225447507249,0.64,0.14966629547095767,0.6599999999999999,0.04898979485566354,,,,
