experiment,task,n_samples,n_features,model,variant,repeats,seconds_median,seconds_min,seconds_max
scaling_curves,reg,2000,500,cif,no_adaptive,2,45.70071591599981,43.876516284999525,47.52491554700009
scaling_curves,clf,2000,100,cit,default,2,0.8747480815000017,0.7893378790000014,0.960158284000002
scaling_curves,clf,2000,100,cit,no_adaptive,2,0.8089449340000101,0.7166660930000148,0.9012237750000054
scaling_curves,clf,2000,100,cif,default,2,45.640843292,45.569592054,45.71209453
scaling_curves,clf,2000,100,cif,no_adaptive,2,46.10269166149999,46.040179506000015,46.16520381699996
scaling_curves,reg,500,20,cit,default,2,0.0768463135000274,0.0680136340000103,0.0856789930000445
scaling_curves,reg,500,20,cit,no_adaptive,2,0.0754886489999933,0.0691275379999751,0.0818497600000114
scaling_curves,reg,500,20,cif,default,2,12.177748151000031,12.03220344600004,12.323292856000023
scaling_curves,reg,500,20,cif,no_adaptive,2,12.245431466500008,12.07758966,12.413273273000016
scaling_curves,reg,8000,20,cit,default,2,1.702575072000002,1.5852583409999852,1.8198918030000184
scaling_curves,reg,8000,20,cit,no_adaptive,2,1.6105584924999905,1.5068753059999835,1.714241678999997
scaling_curves,reg,8000,20,cif,default,2,191.47767261800004,183.41791703399997,199.53742820200011
scaling_curves,reg,8000,20,cif,no_adaptive,2,193.1020525389999,187.14918673199983,199.054918346
scaling_curves,clf,2000,500,cit,default,2,12.578123151,11.940860619000006,13.215385682999994
scaling_curves,clf,2000,500,cit,no_adaptive,2,10.960837220000002,10.533260669000017,11.388413770999987
scaling_curves,clf,2000,500,cif,default,2,48.571317276000016,46.879849570000005,50.26278498200003
scaling_curves,clf,2000,500,cif,no_adaptive,2,49.720737377000006,47.24431349400004,52.19716125999997
scaling_curves,reg,500,100,cit,default,2,0.2469604295000067,0.2381533370000284,0.2557675219999851
scaling_curves,reg,500,100,cit,no_adaptive,2,0.2182818585000063,0.2106761539999979,0.2258875630000147
scaling_curves,reg,500,100,cif,default,2,12.46030565700002,12.39796683000003,12.522644484000011
scaling_curves,reg,500,100,cif,no_adaptive,2,12.257981244500002,12.18150627199998,12.334456217000024
scaling_curves,reg,8000,100,cit,default,2,3.870458562499948,3.5491452109999955,4.191771913999901
scaling_curves,reg,8000,100,cit,no_adaptive,2,3.538251106500013,3.22242673300002,3.854075480000006
scaling_curves,reg,8000,100,cif,default,2,162.51643704049997,161.28436478599997,163.74850929499996
scaling_curves,reg,8000,100,cif,no_adaptive,2,163.2897760815,162.20054969299986,164.37900247000016
