study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_splits,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,rt,0,249,19,230,212,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,rt,1,249,16,233,205,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,rt,2,249,16,233,214,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,rt,3,249,18,231,212,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,rt,4,249,15,234,215,"140,481"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cit,0,12,12,0,0,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cit,1,12,12,0,0,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cit,2,12,12,0,0,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cit,3,12,12,0,0,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cit,4,13,13,0,0,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,dt,0,249,31,218,82,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,dt,1,249,33,216,87,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,dt,2,249,25,224,84,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,dt,3,249,30,219,83,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,dt,4,249,28,221,81,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,rt,0,249,28,221,85,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,rt,1,249,33,216,88,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,rt,2,249,39,210,86,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,rt,3,249,40,209,83,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,rt,4,249,25,224,83,"86,2,57,28,1"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,cit,0,12,11,1,1,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,cit,1,13,12,1,1,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,cit,2,12,11,1,1,"203,473,284,314,459"
