task,signal,method,informative_share_at_5_mean,informative_share_at_5_std,informative_share_at_5_count,noise_highcard_share_at_5_mean,noise_highcard_share_at_5_std,noise_highcard_share_at_5_count,noise_binary_share_at_5_mean,noise_binary_share_at_5_std,noise_binary_share_at_5_count,noise_gaussian_share_at_5_mean,noise_gaussian_share_at_5_std,noise_gaussian_share_at_5_count,informative_share_at_10_mean,informative_share_at_10_std,informative_share_at_10_count,noise_highcard_share_at_10_mean,noise_highcard_share_at_10_std,noise_highcard_share_at_10_count,noise_binary_share_at_10_mean,noise_binary_share_at_10_std,noise_binary_share_at_10_count,noise_gaussian_share_at_10_mean,noise_gaussian_share_at_10_std,noise_gaussian_share_at_10_count,informative_share_at_25_mean,informative_share_at_25_std,informative_share_at_25_count,noise_highcard_share_at_25_mean,noise_highcard_share_at_25_std,noise_highcard_share_at_25_count,noise_binary_share_at_25_mean,noise_binary_share_at_25_std,noise_binary_share_at_25_count,noise_gaussian_share_at_25_mean,noise_gaussian_share_at_25_std,noise_gaussian_share_at_25_count,support_size_mean,support_size_std,support_size_count,informative_share_at_5_se,noise_highcard_share_at_5_se,noise_binary_share_at_5_se,noise_gaussian_share_at_5_se,informative_share_at_10_se,noise_highcard_share_at_10_se,noise_binary_share_at_10_se,noise_gaussian_share_at_10_se,informative_share_at_25_se,noise_highcard_share_at_25_se,noise_binary_share_at_25_se,noise_gaussian_share_at_25_se,support_size_se,downstream_at_5,downstream_at_10,downstream_at_25
classification,0.2,lgbm,1.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.956,0.05830951894845299,25,0.036000000000000004,0.056862407030773277,25,0.0,0.0,25,0.008,0.027688746209726917,25,0.4,0.0,25,0.4304,0.04513682901282869,25,0.0,0.0,25,0.1696,0.04513682901282869,25,69.84,0.3741657386773941,25,0.0,0.0,0.0,0.0,0.011661903789690597,0.011372481406154655,0.0,0.005537749241945384,0.0,0.009027365802565739,0.0,0.009027365802565739,0.07483314773547882,0.6268720337862282,0.6826465727906229,0.672002778091289
classification,0.2,rf,1.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.988,0.03316624790355399,25,0.008,0.027688746209726917,25,0.0,0.0,25,0.004,0.02,25,0.4,0.0,25,0.42560000000000003,0.04144072071445346,25,0.0,0.0,25,0.1744,0.04144072071445348,25,70.0,0.0,25,0.0,0.0,0.0,0.0,0.006633249580710798,0.005537749241945384,0.0,0.004,0.0,0.008288144142890693,0.0,0.008288144142890697,0.0,0.6344735478053626,0.6899151027430787,0.6729216965480287
classification,0.2,rf_oobperm,0.992,0.04000000000000001,25,0.008,0.04,25,0.0,0.0,25,0.0,0.0,25,0.868,0.05567764362830024,25,0.08800000000000001,0.0725718035235908,25,0.004,0.02,25,0.04,0.05000000000000001,25,0.38880000000000003,0.018330302779823386,25,0.33759999999999996,0.06332982446420223,25,0.1456,0.06205374015050718,25,0.128,0.041633319989322654,25,39.28,5.44303836718672,25,0.008000000000000002,0.008,0.0,0.0,0.011135528725660048,0.01451436070471816,0.004,0.010000000000000002,0.003666060555964677,0.012665964892840446,0.012410748030101436,0.00832666399786453,1.088607673437344,0.6318089615900396,0.6735866861433044,0.6737070551771948
classification,0.2,xgb,0.632,0.24953289696283867,25,0.032,0.07483314773547883,25,0.336,0.26907248094147423,25,0.0,0.0,25,0.684,0.12476644848141936,25,0.07600000000000001,0.08306623862918075,25,0.20800000000000002,0.14977761292440647,25,0.032,0.06904105059069326,25,0.38880000000000003,0.027129319932501075,25,0.30560000000000004,0.07561305002004172,25,0.1696,0.08585258683736131,25,0.136,0.050332229568471665,25,68.48,1.0847426730182006,25,0.049906579392567735,0.014966629547095767,0.05381449618829485,0.0,0.024953289696283874,0.01661324772583615,0.029955522584881294,0.013808210118138653,0.005425863986500215,0.015122610004008344,0.017170517367472264,0.010066445913694332,0.2169485346036401,0.5932296113569048,0.6472806680660554,0.6696027036857121
regression,0.05,cif,0.36,0.18257418583505536,25,0.18400000000000002,0.14047538337136986,25,0.344,0.20428737928059418,25,0.11200000000000002,0.10132456102380442,25,0.256,0.11930353445448853,25,0.23600000000000002,0.13808210118138653,25,0.396,0.17435595774162693,25,0.11200000000000002,0.0725718035235908,25,0.1984,0.06681317235396027,25,0.2912,0.0648279774994305,25,0.392,0.07118052168020876,25,0.1184,0.0482769786406178,25,17.04,4.513682901282868,25,0.03651483716701107,0.028095076674273974,0.04085747585611883,0.020264912204760885,0.023860706890897705,0.027616420236277306,0.03487119154832539,0.01451436070471816,0.013362634470792053,0.012965595499886101,0.014236104336041753,0.00965539572812356,0.9027365802565737,-0.10331353619467498,-0.11431922181396496,-0.10489360083900263
regression,0.05,cif_maxt,0.44800000000000006,0.18511257835886427,25,0.136,0.13808210118138653,25,0.29600000000000004,0.2169485346036397,25,0.12,0.11547005383792516,25,0.34,0.10801234497346433,25,0.22399999999999998,0.11284207253207171,25,0.3,0.18257418583505536,25,0.136,0.10754843869934452,25,0.2336,0.0512249938994628,25,0.2992,0.0567097875150313,25,0.3344,0.0701237002256251,25,0.1328,0.05381449618829485,25,21.28,5.342596122984904,25,0.03702251567177285,0.027616420236277306,0.04338970692072794,0.023094010767585032,0.021602468994692866,0.022568414506414343,0.03651483716701107,0.021509687739868905,0.01024499877989256,0.01134195750300626,0.014024740045125019,0.01076289923765897,1.0685192245969808,-0.10220253539946635,-0.10578010331461367,-0.10513670533667817
regression,0.05,cif_noadjust,0.47200000000000003,0.16206994374857625,25,0.15200000000000002,0.1446835627614047,25,0.24,0.2081665999466133,25,0.136,0.09521904571390467,25,0.332,0.11803954139750515,25,0.252,0.11224972160321824,25,0.29600000000000004,0.16703293088490068,25,0.12,0.09574271077563382,25,0.2352,0.04052982440952178,25,0.3072,0.05503937984146744,25,0.3328,0.06605048574133776,25,0.12480000000000001,0.04805552344250694,25,22.16,5.273202695389839,25,0.03241398874971525,0.02893671255228094,0.04163331998932266,0.019043809142780935,0.02360790827950103,0.022449944320643647,0.033406586176980134,0.019148542155126763,0.008105964881904355,0.011007875968293487,0.013210097148267552,0.009611104688501387,1.0546405390779678,-0.0924136743573387,-0.11549403891560618,-0.11132608664150924
regression,0.05,cit,0.136,0.1604161255402129,25,0.4,0.12909944487358058,25,0.384,0.12806248474865697,25,0.08,0.10000000000000002,25,0.132,0.08020806277010643,25,0.436,0.10360180178613367,25,0.35600000000000004,0.05066228051190226,25,0.07600000000000001,0.07234178138070235,25,0.1312,0.08526038548665692,25,0.376,0.07571877794400365,25,0.3968,0.05764257685657944,25,0.096,0.041633319989322654,25,0.12,0.33166247903553997,25,0.03208322510804258,0.025819888974716116,0.025612496949731396,0.020000000000000004,0.016041612554021287,0.020720360357226734,0.010132456102380453,0.01446835627614047,0.017052077097331385,0.01514375558880073,0.011528515371315887,0.00832666399786453,0.066332495807108,-0.09303526827220751,-0.10596041367871792,-0.10670794444769612
regression,0.05,lgbm,0.248,0.1661324772583615,25,0.52,0.19148542155126763,25,0.0,0.0,25,0.23200000000000004,0.16,25,0.24,0.11547005383792514,25,0.504,0.11718930554164628,25,0.0,0.0,25,0.256,0.11930353445448853,25,0.2368,0.058787753826796275,25,0.528,0.08164965809277261,25,0.0,0.0,25,0.2352,0.04805552344250693,25,69.96,0.19999999999999848,25,0.0332264954516723,0.038297084310253526,0.0,0.032,0.02309401076758503,0.023437861108329256,0.0,0.023860706890897705,0.011757550765359255,0.016329931618554522,0.0,0.009611104688501387,0.039999999999999696,-0.11021814156161057,-0.12349802145794231,-0.1076680668441218
regression,0.05,rf,0.584,0.1518771433319269,25,0.248,0.1446835627614047,25,0.0,0.0,25,0.168,0.13759844960366863,25,0.43200000000000005,0.0988264472024906,25,0.376,0.09695359714832658,25,0.0,0.0,25,0.192,0.10376254944182252,25,0.28800000000000003,0.056568542494923796,25,0.49439999999999995,0.06721111019268566,25,0.0,0.0,25,0.21760000000000002,0.05301572093885613,25,70.0,0.0,25,0.03037542866638538,0.02893671255228094,0.0,0.027519689920733725,0.019765289440498122,0.019390719429665314,0.0,0.020752509888364502,0.011313708498984758,0.013442222038537132,0.0,0.010603144187771226,0.0,-0.09240262633131409,-0.10670996338891399,-0.1022387520812942
