dataset_type,method_base,mean,std
weak_signal,cif,0.48150000000000004,0.32916484849910255
weak_signal,cit,0.38049999999999995,0.2820772729939414
weak_signal,cpi,0.56,0.29897785052080494
weak_signal,et,0.738,0.1383429633563055
weak_signal,lgbm,0.8059999999999999,0.10132456102380447
weak_signal,pi,0.5660000000000001,0.2825611727158043
weak_signal,ptest_dc,0.8360000000000001,0.04898979485566354
weak_signal,ptest_mc,0.068,0.07483314773547883
weak_signal,ptest_pc,0.8240000000000001,0.043588989435406726
weak_signal,ptest_rdc,0.5680000000000001,0.2668332812825267
weak_signal,r_cforest,0.183,0.2558088953785108
weak_signal,r_ctree,0.028000000000000004,0.049400445751066266
weak_signal,rf,0.7120000000000001,0.18029454359181152
weak_signal,rfe,0.84,0.08329931278350439
weak_signal,xgb,0.5992000000000001,0.22743408948581337
