experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std
bootstrap_vs_featsubsample,clf,clf_standard_hard,noboot_sqrt,1000,200,0.14,0.10198039027185568,0.28,0.20396078054371136,0.18666666666666668,0.1359738536958076,0.6124124124124124,0.21849758499375124,0.6438799762329175,0.0672334782002825,0.6249851455733809,0.08309729292009577,7.332827802197426,0.6265915835161888,,,,
bootstrap_vs_featsubsample,clf,clf_standard_hard,noboot_log2,1000,200,0.1,0.0632455532033676,0.2,0.1264911064067352,0.13333333333333333,0.08432740427115679,0.48028028028028025,0.18787420828724996,0.6251336898395722,0.045774642916751825,0.6139928698752228,0.04701594747563604,6.568523648599512,0.1391770852420032,,,,
bootstrap_vs_featsubsample,clf,clf_standard_hard,noboot_half,1000,200,0.16,0.13564659966250536,0.32,0.2712931993250107,0.21333333333333332,0.1808621328833405,0.47587587587587593,0.3056176547577846,0.6385918003565063,0.08557568006503892,0.6206773618538325,0.09262311407082947,80.37967372400453,11.897041088108269,,,,
bootstrap_vs_featsubsample,clf,clf_weak_signal,boot_allfeats,100,1000,0.12000000000000002,0.116619037896906,0.12000000000000002,0.116619037896906,0.12000000000000002,0.11661903789690602,0.7737373737373737,0.10213514876577404,0.5287493239672014,0.019006514476022612,0.5159491172560215,0.013576495835490232,28.505460196599596,0.9710558801162733,,,,
bootstrap_vs_featsubsample,clf,clf_weak_signal,boot_sqrt,100,1000,0.12000000000000002,0.116619037896906,0.12000000000000002,0.116619037896906,0.12000000000000002,0.11661903789690602,0.7737373737373737,0.10213514876577404,0.5287493239672014,0.019006514476022612,0.5159491172560215,0.013576495835490232,28.091830562593533,0.7774093718803881,,,,
bootstrap_vs_featsubsample,clf,clf_weak_signal,boot_log2,100,1000,0.16,0.10198039027185568,0.16,0.10198039027185568,0.16,0.10198039027185571,0.8565656565656565,0.04110503020075921,0.5376941261689836,0.028467023420048344,0.5254636117115375,0.019866904517765002,28.79357460999745,0.8694746572484583,,,,
bootstrap_vs_featsubsample,clf,clf_weak_signal,boot_half,100,1000,0.18,0.14696938456699069,0.18,0.14696938456699069,0.18000000000000002,0.1469693845669907,0.8666666666666666,0.08314794192830981,0.5525675285844105,0.009759908250433895,0.5385551436635414,0.03435361136697537,29.54119005399989,1.1063307634131765,,,,
bootstrap_vs_featsubsample,clf,clf_weak_signal,noboot_allfeats,100,1000,0.16,0.08,0.16,0.08,0.16,0.07999999999999999,0.09090909090909091,0.0,0.49664917153644517,0.019708474265724817,0.5212860629338516,0.02396194317545562,5.983530714598601,11.368927786227061,,,,
bootstrap_vs_featsubsample,clf,clf_weak_signal,noboot_sqrt,100,1000,0.16,0.08,0.16,0.08,0.16,0.07999999999999999,0.09090909090909091,0.0,0.49664917153644517,0.019708474265724817,0.5212860629338516,0.02396194317545562,6.343928073998541,12.022233407886688,,,,
bootstrap_vs_featsubsample,clf,clf_weak_signal,noboot_log2,100,1000,0.16,0.08,0.16,0.08,0.16,0.07999999999999999,0.14949494949494951,0.11717171717171716,0.49844192775456764,0.021680790430057464,0.520467362619985,0.02395309780056645,27.374529437394813,1.6323557964039375,,,,
bootstrap_vs_featsubsample,clf,clf_weak_signal,noboot_half,100,1000,0.16,0.08,0.16,0.08,0.16,0.07999999999999999,0.09090909090909091,0.0,0.49664917153644517,0.019708474265724817,0.5212860629338516,0.02396194317545562,3.930054023998673,0.023830787160647578,,,,
bootstrap_vs_featsubsample,clf,clf_toeplitz,boot_allfeats,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8396243657263784,0.04299624842946874,0.800628862756415,0.057179487942956596,31.56412710339937,3.3598981717271075,,,,
bootstrap_vs_featsubsample,clf,clf_toeplitz,boot_sqrt,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8396243657263784,0.04299624842946874,0.800628862756415,0.057179487942956596,31.0706215712009,2.47396888336914,,,,
