experiment,task,dataset_source,dataset_key,dataset_type,n_samples,n_features,n_classes,seed_offset,seed,variant,method_family,variant_description,changes_statistical_rule,changes_sampling_scheme,n_jobs,n_estimators_requested,run_shard_id,ec2_instance_id,ec2_instance_type,aws_region,host,python,git_sha,created_at_utc,elapsed_seconds,importance_sum,importance_nonzero_count,importance_max,mean_depth,max_depth,mean_features_used_per_tree,n_estimators_actual,fit_success,error,source_file,precision_at_5,recall_at_5,f1_at_5,precision_at_10,recall_at_10,f1_at_10,precision_at_25,recall_at_25,f1_at_25,precision_at_50,recall_at_50,f1_at_50,precision_at_100,recall_at_100,f1_at_100,default_elapsed_seconds,elapsed_ratio_vs_default,elapsed_speedup_vs_default
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,2,1720,cit_no_bonferroni,cit,CIT without Bonferroni correction,True,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,0.2419350090000023,1.0,44,0.1193334670424493,16.0,16.0,44.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.4086048830000095,0.10044611746309465,9.955586390558246
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,3,1721,cit_default,cit,CIT with the paper default runtime controls,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,2.0793051830000024,1.0,37,0.1216364202101598,13.0,13.0,37.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.0793051830000024,1.0,1.0
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,3,1721,cit_no_adaptive,cit,CIT with full permutation tests instead of adaptive stopping,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,7.872130494000004,1.0,48,0.0662702511437755,19.0,19.0,48.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.0793051830000024,3.7859428035677603,0.2641349993606955
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,3,1721,cit_no_feature_scan,cit,CIT without feature scan ordering,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,4.041792691000012,1.0,44,0.0867798356121972,15.0,15.0,44.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.0793051830000024,1.9438188891389914,0.51445122052649
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,3,1721,cit_no_threshold_scan,cit,CIT without threshold scan ordering,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,2.863400783000003,1.0,33,0.0938427540730387,15.0,15.0,33.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.0793051830000024,1.3770950057791491,0.7261663108234193
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,3,1721,cit_no_feature_mute,cit,CIT without muting features after failed selector tests,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,2.0914853710000045,1.0,37,0.1216364202101598,13.0,13.0,37.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.0793051830000024,1.00585781639924,0.9941762977791337
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,3,1721,cit_exact_thresholds,cit,CIT using all exact split thresholds,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,2.1066117370000086,1.0,37,0.1256646064678881,13.0,13.0,37.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.0793051830000024,1.0131325378416114,0.9870376901825806
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,3,1721,cit_no_bonferroni,cit,CIT without Bonferroni correction,True,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,0.2307735009999874,1.0,44,0.1080885789537908,13.0,13.0,44.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.0793051830000024,0.11098587301505665,9.010155732742106
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,4,1722,cit_default,cit,CIT with the paper default runtime controls,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,2.148957875000008,1.0,40,0.125410032869382,16.0,16.0,40.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.148957875000008,1.0,1.0
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,4,1722,cit_no_adaptive,cit,CIT with full permutation tests instead of adaptive stopping,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,7.121834833999998,1.0,47,0.0867406873732024,19.0,19.0,47.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.148957875000008,3.3140876872702645,0.301742166883845
