experiment,method,base_dataset,p_noise,p_total,n_samples,n_informative,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std
noise_injection,cif,moderate,500,550,1000,10,0.5399999999999999,0.10198039027185568,0.5399999999999999,0.10198039027185568,0.54,0.10198039027185567,0.7176684881602915,0.2101785810105479,0.6838155015270664,0.04657022650275685,0.7436223937666835,0.05649313507998085,28.925707723399956,1.6589952958317242
noise_injection,cif,moderate,1000,1050,1000,10,0.42000000000000004,0.116619037896906,0.42000000000000004,0.116619037896906,0.4200000000000001,0.11661903789690599,0.9174451858913251,0.08263777240258462,0.6612185268018181,0.048661576255159204,0.6916191712959623,0.06062258042841776,29.013876335199985,1.5415455098913928
noise_injection,rf,moderate,0,50,1000,10,1.0,0.0,1.0,0.0,1.0,0.0,0.1836734693877551,0.0,0.681629512060217,0.058662239588459925,0.8850263328764157,0.015837685057369766,0.16800725119983326,0.0047134811008804406
noise_injection,rf,moderate,10,60,1000,10,0.9800000000000001,0.03999999999999999,0.9800000000000001,0.03999999999999999,0.9800000000000001,0.03999999999999999,0.3186440677966102,0.33220338983050846,0.6820299160714716,0.05908508429386685,0.8864211336363418,0.015189474710199111,0.17982106340004975,0.022864505656441915
noise_injection,rf,moderate,50,100,1000,10,0.9800000000000001,0.03999999999999999,0.9800000000000001,0.03999999999999999,0.9800000000000001,0.03999999999999999,0.21414141414141413,0.24646464646464644,0.6814275064329174,0.05845191548462432,0.8886251593199145,0.015187729880573169,0.16676520539986087,0.004578358637975775
noise_injection,rf,moderate,100,150,1000,10,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999995,0.20671140939597316,0.2368813789901292,0.6864283481230311,0.0554475751334279,0.8732246350672149,0.031106789776559864,0.17011697379994076,0.0035231130313398587
noise_injection,rf,moderate,500,550,1000,10,0.8400000000000001,0.08000000000000002,0.8400000000000001,0.08000000000000002,0.8400000000000001,0.08,0.6724954462659382,0.2031284740508227,0.6906067383305677,0.04810463808926708,0.8430043527403026,0.048656332099819524,0.1834875714000191,0.007707530827668907
noise_injection,rf,moderate,1000,1050,1000,10,0.7799999999999999,0.07483314773547886,0.7799999999999999,0.07483314773547886,0.78,0.07483314773547886,0.6072449952335558,0.20715736534032653,0.6870235432748959,0.05186979329497979,0.8178053531491234,0.038008686527788674,0.1860616495998329,0.003597825193588108
noise_injection,et,moderate,0,50,1000,10,1.0,0.0,1.0,0.0,1.0,0.0,0.1836734693877551,0.0,0.681629512060217,0.058662239588459925,0.8850263328764157,0.015837685057369766,0.1188955787998566,0.0017401114327117834
noise_injection,et,moderate,10,60,1000,10,1.0,0.0,1.0,0.0,1.0,0.0,0.15254237288135594,0.0,0.681629512060217,0.058662239588459925,0.8850263328764157,0.015837685057369766,0.12083780100001604,0.004567799980533318
