study,task,n,k,threshold_test,stopping,nominal_alpha,effect,step_quantile,replicates,split_rate,ci_low,ci_high,seconds_per_fit,budget_note
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.05,0.0,0.5,500,0.0,0.0,0.0,0.00684438469,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.05,0.05,0.5,200,0.0,0.0,0.0,0.0082755726099999,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.05,0.1,0.5,200,0.0,0.0,0.0,0.0106288186199999,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.05,0.2,0.5,200,0.0,0.0,0.0,0.0126932677500001,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.1,0.0,0.5,500,0.01,0.0012785505791755,0.0187214494208245,0.006727765938,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.1,0.05,0.5,200,0.025,0.0033621858774967,0.0466378141225032,0.00800817928,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.1,0.1,0.5,200,0.165,0.1135570004762552,0.2164429995237447,0.008761639555,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.1,0.2,0.5,200,0.83,0.7779399500576497,0.8820600499423502,0.0032683152299999,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.2,0.0,0.5,500,0.02,0.0077284589394811,0.0322715410605188,0.0066629255679999,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.2,0.05,0.5,200,0.065,0.0308332588618697,0.0991667411381302,0.0075582996149999,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.2,0.1,0.5,200,0.275,0.2131162783924561,0.336883721607544,0.0075080224950001,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.2,0.2,0.5,200,0.895,0.8525138634375871,0.937486136562413,0.002534472895,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.35,0.0,0.5,500,0.036,0.0196709530957866,0.0523290469042133,0.006455810492,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.35,0.05,0.5,200,0.075,0.0384958221569092,0.1115041778430907,0.0074424793,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.35,0.1,0.5,200,0.35,0.2838953859401629,0.416104614059837,0.0066450917899999,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.35,0.2,0.5,200,0.925,0.8884958221569093,0.9615041778430908,0.0021932244499998,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.5,0.0,0.5,500,0.056,0.035846472150018,0.076153527849982,0.0062451352699999,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.5,0.05,0.5,200,0.1,0.058422121266231,0.141577878733769,0.00716425584,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.5,0.1,0.5,200,0.42,0.3515962808028686,0.4884037191971314,0.0058508523449998,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.5,0.2,0.5,200,0.94,0.9070860029774565,0.9729139970225434,0.0020223386,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.02,0.0,0.5,500,0.002,0.0,0.0059160780380375,0.042543232256,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.02,0.05,0.5,200,0.01,0.0,0.0237898223338808,0.0514587692150001,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.02,0.1,0.5,200,0.07,0.0346384276367693,0.1053615723632307,0.06210039711,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.02,0.2,0.5,200,0.74,0.6792083953164584,0.8007916046835416,0.0216865183199999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.05,0.0,0.5,500,0.006,0.0,0.0127692396027914,0.0177761306259999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.05,0.05,0.5,200,0.015,0.0,0.0318463111689176,0.0216051730250001,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.05,0.1,0.5,200,0.11,0.0666356920959183,0.1533643079040816,0.025045021365,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.05,0.2,0.5,200,0.815,0.7611847029182222,0.8688152970817777,0.00744430141,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.1,0.0,0.5,500,0.012,0.0024557860878959,0.021544213912104,0.0100160244799999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.1,0.05,0.5,200,0.025,0.0033621858774967,0.0466378141225032,0.0124473564850001,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.1,0.1,0.5,200,0.17,0.1179399500576497,0.2220600499423502,0.0129958059099999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.1,0.2,0.5,200,0.83,0.7779399500576497,0.8820600499423502,0.00450126882,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.2,0.0,0.5,500,0.012,0.0024557860878959,0.021544213912104,0.0110032344619999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.2,0.05,0.5,200,0.025,0.0033621858774967,0.0466378141225032,0.0132389233649999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.2,0.1,0.5,200,0.17,0.1179399500576497,0.2220600499423502,0.0143667568199998,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.2,0.2,0.5,200,0.83,0.7779399500576497,0.8820600499423502,0.0048309989649999,raised to the floor ceil(K/alpha) by the sequential path
