kind,dataset,n,p,signal,config,median,count
real,spam,4601,57,real,sklearn_rf,0.17,2
real,vowel-context,990,10,real,citrees,3.61,2
real,vowel-context,990,10,real,citrees_maxt,3.255,2
real,vowel-context,990,10,real,citrees_splitgate_nobonf,2.585,2
real,vowel-context,990,10,real,partykit_sqrt_1,40.87,2
real,vowel-context,990,10,real,partykit_sqrt_32,2.18,2
real,vowel-context,990,10,real,sklearn_rf,0.165,2
synthetic,syn,500,20,strong,citrees,11.600000000000001,2
synthetic,syn,500,20,strong,citrees_maxt,2.715,2
synthetic,syn,500,20,strong,citrees_splitgate_nobonf,2.535,2
synthetic,syn,500,20,strong,partykit_sqrt_1,13.05,2
synthetic,syn,500,20,strong,partykit_sqrt_32,0.755,2
synthetic,syn,500,20,strong,sklearn_rf,0.125,2
synthetic,syn,500,20,weak,citrees,11.855,2
synthetic,syn,500,20,weak,citrees_maxt,2.745,2
synthetic,syn,500,20,weak,citrees_splitgate_nobonf,2.565,2
synthetic,syn,500,20,weak,partykit_sqrt_1,12.3,2
synthetic,syn,500,20,weak,partykit_sqrt_32,0.67,2
synthetic,syn,500,20,weak,sklearn_rf,0.135,2
synthetic,syn,500,100,strong,citrees,12.58,2
synthetic,syn,500,100,strong,citrees_maxt,3.3150000000000004,2
synthetic,syn,500,100,strong,citrees_splitgate_nobonf,3.885,2
synthetic,syn,500,100,strong,partykit_sqrt_1,21.0,2
synthetic,syn,500,100,strong,partykit_sqrt_32,1.27,2
synthetic,syn,500,100,strong,sklearn_rf,0.13,2
synthetic,syn,500,100,weak,citrees,11.254999999999999,2
synthetic,syn,500,100,weak,citrees_maxt,3.885,2
synthetic,syn,500,100,weak,citrees_splitgate_nobonf,3.81,2
synthetic,syn,500,100,weak,partykit_sqrt_1,20.395,2
synthetic,syn,500,100,weak,partykit_sqrt_32,1.355,2
synthetic,syn,500,100,weak,sklearn_rf,0.13,2
synthetic,syn,500,500,strong,citrees,12.24,2
synthetic,syn,500,500,strong,citrees_maxt,3.13,2
synthetic,syn,500,500,strong,citrees_splitgate_nobonf,3.01,2
synthetic,syn,500,500,strong,partykit_sqrt_1,45.96,2
synthetic,syn,500,500,strong,partykit_sqrt_32,2.8,2
synthetic,syn,500,500,strong,sklearn_rf,0.135,2
synthetic,syn,500,500,weak,citrees,11.844999999999999,2
synthetic,syn,500,500,weak,citrees_maxt,3.13,2
synthetic,syn,500,500,weak,citrees_splitgate_nobonf,2.96,2
synthetic,syn,500,500,weak,partykit_sqrt_1,49.405,2
synthetic,syn,500,500,weak,partykit_sqrt_32,3.23,2
synthetic,syn,500,500,weak,sklearn_rf,0.13,2
synthetic,syn,2000,20,strong,citrees,34.065,2
synthetic,syn,2000,20,strong,citrees_maxt,4.59,2
synthetic,syn,2000,20,strong,citrees_splitgate_nobonf,2.625,2
synthetic,syn,2000,20,strong,partykit_sqrt_1,49.9,2
synthetic,syn,2000,20,strong,partykit_sqrt_32,2.625,2
synthetic,syn,2000,20,strong,sklearn_rf,0.16,2
synthetic,syn,2000,20,weak,citrees,38.91,2
synthetic,syn,2000,20,weak,citrees_maxt,3.82,2
synthetic,syn,2000,20,weak,citrees_splitgate_nobonf,2.5700000000000003,2
synthetic,syn,2000,20,weak,partykit_sqrt_1,50.92,2
synthetic,syn,2000,20,weak,partykit_sqrt_32,2.625,2
synthetic,syn,2000,20,weak,sklearn_rf,0.16,2
synthetic,syn,2000,100,strong,citrees,40.765,2
synthetic,syn,2000,100,strong,citrees_maxt,4.475,2
synthetic,syn,2000,100,strong,citrees_splitgate_nobonf,2.79,2
synthetic,syn,2000,100,strong,partykit_sqrt_1,78.16,2
synthetic,syn,2000,100,strong,partykit_sqrt_32,4.585,2
synthetic,syn,2000,100,strong,sklearn_rf,0.155,2
synthetic,syn,2000,100,weak,citrees,42.125,2
synthetic,syn,2000,100,weak,citrees_maxt,4.215,2
synthetic,syn,2000,100,weak,citrees_splitgate_nobonf,4.029999999999999,2
synthetic,syn,2000,100,weak,partykit_sqrt_1,73.655,2
synthetic,syn,2000,100,weak,partykit_sqrt_32,3.965,2
synthetic,syn,2000,100,weak,sklearn_rf,0.16,2
synthetic,syn,2000,500,strong,citrees,39.625,2
synthetic,syn,2000,500,strong,citrees_maxt,5.07,2
synthetic,syn,2000,500,strong,citrees_splitgate_nobonf,4.165,2
synthetic,syn,2000,500,strong,partykit_sqrt_1,181.61,2
synthetic,syn,2000,500,strong,partykit_sqrt_32,11.305,2
synthetic,syn,2000,500,strong,sklearn_rf,0.17,2
synthetic,syn,2000,500,weak,citrees,35.885000000000005,2
synthetic,syn,2000,500,weak,citrees_maxt,5.07,2
synthetic,syn,2000,500,weak,citrees_splitgate_nobonf,4.295,2
synthetic,syn,2000,500,weak,partykit_sqrt_1,186.97500000000002,2
synthetic,syn,2000,500,weak,partykit_sqrt_32,10.955,2
synthetic,syn,2000,500,weak,sklearn_rf,0.17,2
synthetic,syn,8000,20,strong,citrees,140.22,2
synthetic,syn,8000,20,strong,citrees_maxt,8.855,2
synthetic,syn,8000,20,strong,citrees_splitgate_nobonf,3.0549999999999997,2
synthetic,syn,8000,20,strong,partykit_sqrt_1,200.685,2
synthetic,syn,8000,20,strong,partykit_sqrt_32,9.49,2
synthetic,syn,8000,20,strong,sklearn_rf,0.19,2
synthetic,syn,8000,20,weak,citrees,85.105,2
synthetic,syn,8000,20,weak,citrees_maxt,9.0,2
synthetic,syn,8000,20,weak,citrees_splitgate_nobonf,3.125,2
synthetic,syn,8000,20,weak,partykit_sqrt_1,201.08,2
synthetic,syn,8000,20,weak,partykit_sqrt_32,9.61,2
synthetic,syn,8000,20,weak,sklearn_rf,0.18,2
synthetic,syn,8000,100,strong,citrees,153.88,2
synthetic,syn,8000,100,strong,citrees_maxt,8.375,2
synthetic,syn,8000,100,strong,citrees_splitgate_nobonf,3.815,2
synthetic,syn,8000,100,strong,partykit_sqrt_1,298.565,2
synthetic,syn,8000,100,strong,partykit_sqrt_32,17.494999999999997,2
synthetic,syn,8000,100,strong,sklearn_rf,0.215,2
synthetic,syn,8000,100,weak,citrees,99.445,2
synthetic,syn,8000,100,weak,citrees_maxt,8.2,2
synthetic,syn,8000,100,weak,citrees_splitgate_nobonf,5.095,2
synthetic,syn,8000,100,weak,partykit_sqrt_1,306.595,2
synthetic,syn,8000,100,weak,partykit_sqrt_32,14.755,2
synthetic,syn,8000,100,weak,sklearn_rf,0.22,2
synthetic,syn,32000,20,strong,citrees,616.725,2
synthetic,syn,32000,20,strong,citrees_maxt,27.585,2
synthetic,syn,32000,20,strong,citrees_splitgate_nobonf,4.970000000000001,2
synthetic,syn,32000,20,strong,partykit_sqrt_1,817.1500000000001,2
synthetic,syn,32000,20,strong,partykit_sqrt_32,42.075,2
synthetic,syn,32000,20,strong,sklearn_rf,0.305,2
synthetic,syn,32000,20,weak,citrees,671.7149999999999,2
synthetic,syn,32000,20,weak,citrees_maxt,32.775,2
synthetic,syn,32000,20,weak,citrees_splitgate_nobonf,4.83,2
synthetic,syn,32000,20,weak,partykit_sqrt_1,810.485,2
synthetic,syn,32000,20,weak,partykit_sqrt_32,42.31,2
synthetic,syn,32000,20,weak,sklearn_rf,0.3,2
synthetic,syn,32000,100,strong,citrees,592.85,2
synthetic,syn,32000,100,strong,citrees_maxt,22.33,2
synthetic,syn,32000,100,strong,citrees_splitgate_nobonf,8.16,2
synthetic,syn,32000,100,strong,partykit_sqrt_1,1232.665,2
synthetic,syn,32000,100,strong,partykit_sqrt_32,77.005,2
synthetic,syn,32000,100,strong,sklearn_rf,0.44,2
synthetic,syn,32000,100,weak,citrees,679.1800000000001,2
synthetic,syn,32000,100,weak,citrees_maxt,20.935000000000002,2
synthetic,syn,32000,100,weak,citrees_splitgate_nobonf,9.545000000000002,2
synthetic,syn,32000,100,weak,partykit_sqrt_1,1219.76,2
synthetic,syn,32000,100,weak,partykit_sqrt_32,76.71000000000001,2
synthetic,syn,32000,100,weak,sklearn_rf,0.44,2
