task,focus_method,baseline,n_datasets,mean_dataset_cells,mean_delta,q25_delta,median_delta,q75_delta,wins,losses,ties,win_share,nonloss_share,mean_cell_win_share,mean_cell_nonloss_share,support_type
classification,cif,xgb,22,11.863636363636363,-0.008811411621219628,-0.022069999999999992,1.850371707708594e-17,0.006390933140933151,11,10,1,0.5,0.5454545454545454,0.38333333333333336,0.506060606060606,dataset_mean_over_all_complete_case_downstream_k
classification,cif,lgbm,22,11.863636363636363,-0.01079961952222432,-0.022519999999999984,-0.006493860104800118,0.007330471269057143,9,12,1,0.4090909090909091,0.45454545454545453,0.34393939393939393,0.4575757575757576,dataset_mean_over_all_complete_case_downstream_k
regression,cif,r_cforest,8,13.5,0.7155596295713221,0.007610608210432223,0.030860766164206882,0.3069659366455608,7,1,0,0.875,0.875,0.7791666666666667,0.7791666666666667,dataset_mean_over_all_complete_case_downstream_k
regression,cif,cpi,8,13.5,0.6160565705298847,0.021228025936920913,0.04710117919665204,0.2336599876484111,7,1,0,0.875,0.875,0.8666666666666667,0.8666666666666667,dataset_mean_over_all_complete_case_downstream_k
regression,cif,cit,8,13.5,0.35456780555183415,0.00029392377283157323,0.008073910981326949,0.17180223487677598,6,2,0,0.75,0.75,0.55625,0.55625,dataset_mean_over_all_complete_case_downstream_k
regression,cif,lgbm,8,13.5,0.3520574525666761,-0.0026005791215754502,0.014543268931462485,0.1669607877535662,5,3,0,0.625,0.625,0.55625,0.55625,dataset_mean_over_all_complete_case_downstream_k
regression,cif,r_ctree,8,13.5,0.2208672424641127,0.02699976841893449,0.1614363979195408,0.29677806876754126,7,1,0,0.875,0.875,0.8666666666666667,0.8666666666666667,dataset_mean_over_all_complete_case_downstream_k
regression,cif,ptest_rdc,8,13.5,0.22006368613407898,-0.0029917366476073333,0.008931284600186985,0.29757063050443344,5,3,0,0.625,0.625,0.5770833333333334,0.5770833333333334,dataset_mean_over_all_complete_case_downstream_k
regression,cif,pi,8,13.5,0.2122302325303364,0.004933451411436032,0.023001286449415237,0.17783981868192833,6,2,0,0.75,0.75,0.6958333333333333,0.6958333333333333,dataset_mean_over_all_complete_case_downstream_k
regression,cif,ptest_dc,8,13.5,0.1981244159594895,0.001576237341301988,0.011184095333697236,0.2881029738269937,6,2,0,0.75,0.75,0.6375,0.6375,dataset_mean_over_all_complete_case_downstream_k
regression,cif,ptest_pc,8,13.5,0.11660280440185586,0.0007561536513602334,0.006165480264818007,0.21982459288539347,6,2,0,0.75,0.75,0.61875,0.61875,dataset_mean_over_all_complete_case_downstream_k
regression,cif,boruta,8,13.5,0.11055998989928882,0.007915933233891392,0.02839829695653589,0.08901368070369138,8,0,0,1.0,1.0,0.6895833333333333,0.6895833333333333,dataset_mean_over_all_complete_case_downstream_k
regression,cif,xgb,8,13.5,0.054186937113907346,0.019811120161241185,0.035220938121370546,0.06924431483652749,7,1,0,0.875,0.875,0.6291666666666667,0.6291666666666667,dataset_mean_over_all_complete_case_downstream_k
regression,cif,cat,8,13.5,0.019507744032927772,-0.011324886903863862,0.002620130551560282,0.030430070265535583,4,4,0,0.5,0.5,0.475,0.475,dataset_mean_over_all_complete_case_downstream_k
regression,cif,rf,8,13.5,-0.0029492538314693506,-0.009155186769792076,0.004580666346942588,0.014069784885364426,5,3,0,0.625,0.625,0.6083333333333334,0.6083333333333334,dataset_mean_over_all_complete_case_downstream_k
regression,cif,et,8,13.5,-0.029429234603143898,-0.028189235599365467,-0.011022773074985632,0.004610915930231985,3,5,0,0.375,0.375,0.43125,0.43125,dataset_mean_over_all_complete_case_downstream_k
regression,cif,rfe,8,13.5,-0.046319258971506724,-0.04169318583416477,0.0034670753221938194,0.02041199609729204,5,3,0,0.625,0.625,0.5645833333333333,0.5645833333333333,dataset_mean_over_all_complete_case_downstream_k
