study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_estimators,n_split_events,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices,sweep_n_estimators
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif,2,1000,887,92,795,272,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif,3,1000,885,92,793,270,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif,4,1000,883,92,791,270,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif_all,0,1000,1000,1000,0,0,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif_all,1,1000,1000,1000,0,0,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif_all,2,1000,1000,1000,0,0,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif_all,3,1000,1000,1000,0,0,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif_all,4,1000,1000,1000,0,0,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rf,0,1000,23171,831,22340,499,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rf,1,1000,24127,749,23378,499,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rf,2,1000,23489,752,22737,499,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rf,3,1000,23513,762,22751,499,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rf,4,1000,23479,789,22690,499,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,et,0,1000,62747,1648,61099,499,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,et,1,1000,62165,1629,60536,499,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,et,2,1000,61439,1614,59825,499,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,et,3,1000,62444,1570,60874,499,338,1000
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,et,4,1000,62142,1638,60504,499,338,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif,0,1000,991,98,893,442,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif,1,1000,991,98,893,442,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif,2,1000,991,98,893,442,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif,3,1000,989,98,891,441,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif,4,1000,993,98,895,443,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif_all,0,1000,1000,1000,0,0,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif_all,1,1000,1000,1000,0,0,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif_all,2,1000,1000,1000,0,0,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif_all,3,1000,1000,1000,0,0,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif_all,4,1000,1000,1000,0,0,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,rf,0,1000,23677,539,23138,999,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,rf,1,1000,23945,525,23420,999,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,rf,2,1000,23690,533,23157,999,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,rf,3,1000,23464,572,22892,999,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,rf,4,1000,23994,528,23466,999,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,et,0,1000,60396,1037,59359,999,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,et,1,1000,60556,1061,59495,999,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,et,2,1000,59852,1080,58772,999,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,et,3,1000,60430,1039,59391,999,742,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,et,4,1000,60406,978,59428,999,742,1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif,0,1000,403,161,242,70,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif,1,1000,403,161,242,70,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif,2,1000,404,162,242,70,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif,3,1000,404,162,242,70,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif,4,1000,404,162,242,70,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif_all,0,1000,1000,1000,0,0,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif_all,1,1000,1000,1000,0,0,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif_all,2,1000,1000,1000,0,0,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif_all,3,1000,1000,1000,0,0,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif_all,4,1000,1000,1000,0,0,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,rf,0,1000,20754,1920,18834,98,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,rf,1,1000,20626,2035,18591,98,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,rf,2,1000,20768,2028,18740,98,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,rf,3,1000,21379,1965,19414,98,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,rf,4,1000,20606,1994,18612,98,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,et,0,1000,62364,4761,57603,98,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,et,1,1000,61660,4655,57005,98,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,et,2,1000,63304,4814,58490,98,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,et,3,1000,62959,4837,58122,98,"9,71",1000
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,et,4,1000,62541,4744,57797,98,"9,71",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cif,0,1000,765,93,672,281,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cif,1,1000,765,93,672,281,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cif,2,1000,765,93,672,281,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cif,3,1000,765,93,672,281,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cif,4,1000,765,93,672,281,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cif_all,0,1000,1109,1000,109,17,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cif_all,1,1000,1109,1000,109,17,"219,253",1000
