task,dataset_group,variant,n_dataset_types,n_dataset_variant_rows,runtime_ratio_vs_default_mean,runtime_ratio_vs_default_median,runtime_ratio_vs_default_p25,runtime_ratio_vs_default_p75,runtime_speedup_vs_default_mean,runtime_speedup_vs_default_median,n_dataset_types_faster_5pct,n_dataset_types_near_default,n_dataset_types_slower_5pct,mean_downstream_score,mean_precision_over_standard_k,mean_precision_at_10,mean_max_depth,mean_features_used,mean_estimators_actual,default_downstream_score,default_precision_over_standard_k,default_precision_at_10,default_max_depth,default_features_used,runtime_ratio_scope,delta_downstream_score,delta_precision_over_standard_k,delta_precision_at_10,delta_max_depth,delta_features_used
regression,real,rf,2,2,0.04038078814473131,0.04038078814473131,0.02195967974490934,0.05880189654455329,147.77471747818055,147.77471747818055,2,0,0,0.5177865313184653,,,0.0,9.0,100.0,0.5120927966821894,,,12.0,6.258,dataset_mean_vs_cif_default,0.005693734636275871,,,-12.0,2.742
regression,synthetic,cif_all_off,6,6,0.012779207925549402,0.012778472453444536,0.007488723267633501,0.016646863419300134,102.87069333430632,83.1644516698401,6,0,0,0.5178862877536373,0.36040000000000005,0.5466666666666666,21.599999999999998,45.846000000000004,100.0,0.5330219162531232,0.3897333333333333,0.6,10.766666666666666,6.600333333333334,dataset_mean_vs_cif_default,-0.01513562849948591,-0.029333333333333267,-0.053333333333333344,10.833333333333332,39.24566666666667
regression,synthetic,cif_default,6,6,1.0,1.0,1.0,1.0,1.0,1.0,0,6,0,0.5330219162531232,0.3897333333333333,0.6,10.766666666666666,6.600333333333334,100.0,0.5330219162531232,0.3897333333333333,0.6,10.766666666666666,6.600333333333334,dataset_mean_vs_cif_default,0.0,0.0,0.0,0.0,0.0
regression,synthetic,cif_no_adaptive,6,6,6.046540300964936,6.511051238304606,5.445873145857906,7.532559421943896,0.37555302572399213,0.15534220420852415,1,0,5,0.5302240094920834,0.3884666666666667,0.6066666666666667,13.466666666666667,8.332333333333333,100.0,0.5330219162531232,0.3897333333333333,0.6,10.766666666666666,6.600333333333334,dataset_mean_vs_cif_default,-0.002797906761039859,-0.0012666666666666382,0.00666666666666671,2.700000000000001,1.7319999999999984
regression,synthetic,cif_no_bonferroni,6,6,0.0030760946318529572,0.0030749636437876248,0.0018973059923452222,0.003600042908769572,414.43034703948905,327.73333510353126,6,0,0,0.5302782724534548,0.38680000000000003,0.6033333333333334,17.833333333333332,40.661,100.0,0.5330219162531232,0.3897333333333333,0.6,10.766666666666666,6.600333333333334,dataset_mean_vs_cif_default,-0.002743643799668405,-0.002933333333333288,0.0033333333333334103,7.066666666666666,34.06066666666667
regression,synthetic,cif_no_bootstrap,6,6,0.6020597493116098,0.5536369211082945,0.5460261905554556,0.6164012134440282,1.6943836061513127,1.8062492611273067,6,0,0,0.5326358293606034,0.3898000000000001,0.61,6.866666666666667,3.374,100.0,0.5330219162531232,0.3897333333333333,0.6,10.766666666666666,6.600333333333334,dataset_mean_vs_cif_default,-0.0003860868925198435,6.666666666677035e-05,0.010000000000000009,-3.8999999999999986,-3.226333333333334
regression,synthetic,cif_no_mute,6,6,1.000796689998852,1.0031301654084066,0.9947459570877932,1.0104066027114915,0.9993844776981864,0.9968831859222222,0,6,0,0.5334351796788094,0.39006666666666673,0.6066666666666667,11.033333333333333,6.617333333333334,100.0,0.5330219162531232,0.3897333333333333,0.6,10.766666666666666,6.600333333333334,dataset_mean_vs_cif_default,0.00041326342568615004,0.00033333333333340764,0.00666666666666671,0.2666666666666675,0.01699999999999946
regression,synthetic,cif_no_scan,6,6,1.1655970971507308,1.156245709432886,1.0555737120024358,1.203600755804427,0.8728205200482315,0.8659478798259806,0,2,4,0.5349203119656963,0.39200000000000007,0.6,11.1,7.0616666666666665,100.0,0.5330219162531232,0.3897333333333333,0.6,10.766666666666666,6.600333333333334,dataset_mean_vs_cif_default,0.0018983957125731088,0.00226666666666675,0.0,0.3333333333333339,0.46133333333333226
regression,synthetic,cif_no_threshold_scan,6,6,1.082693564343051,1.0366636690940958,1.0004258017680718,1.0884904897399066,0.9332982235282802,0.9657194362589177,0,3,3,0.5351429463564595,0.39093333333333335,0.5966666666666667,12.833333333333334,7.361999999999999,100.0,0.5330219162531232,0.3897333333333333,0.6,10.766666666666666,6.600333333333334,dataset_mean_vs_cif_default,0.0021210301033363077,0.0012000000000000344,-0.0033333333333332993,2.066666666666668,0.7616666666666649
regression,synthetic,cit,6,6,0.0180724958498465,0.015358141162496702,0.00833867671091285,0.019958197959200626,90.22462684396517,65.33756397459531,6,0,0,0.5163768313901506,0.3404666666666667,0.47333333333333333,7.1000000000000005,6.7,1.0,0.5330219162531232,0.3897333333333333,0.6,10.766666666666666,6.600333333333334,dataset_mean_vs_cif_default,-0.01664508486297267,-0.049266666666666625,-0.12666666666666665,-3.666666666666665,0.0996666666666659
