task,dataset,model_variant,ranking_variant,candidate_dataset_score,candidate_n_cells,candidate_score_missing_rows,reference_dataset_score,reference_n_cells,reference_score_missing_rows,reference_model_variant,reference_ranking_variant,delta_vs_reference
classification,vowel-context,cif_one_tree,split_count,0.8021885521885522,6,0,0.8088552188552188,6,0,cif_default,split_importance,-0.006666666666666599
classification,vowel-context,cif_one_tree,split_importance,0.7822895622895624,6,0,0.8088552188552188,6,0,cif_default,split_importance,-0.02656565656565646
classification,warpAR10P,cif_default,split_count,0.7803555555555556,15,0,0.7951555555555555,15,0,cif_default,split_importance,-0.014799999999999924
classification,warpAR10P,cif_no_bootstrap,split_count,0.7568888888888889,15,0,0.7951555555555555,15,0,cif_default,split_importance,-0.03826666666666656
classification,warpAR10P,cif_no_bootstrap,split_importance,0.7843555555555555,15,0,0.7951555555555555,15,0,cif_default,split_importance,-0.010800000000000032
classification,warpAR10P,cif_no_mute,split_count,0.7807111111111111,15,0,0.7951555555555555,15,0,cif_default,split_importance,-0.014444444444444371
classification,warpAR10P,cif_no_mute,split_importance,0.7980888888888888,15,0,0.7951555555555555,15,0,cif_default,split_importance,0.0029333333333333433
classification,warpAR10P,cif_one_tree,split_count,0.6295999999999999,15,0,0.7951555555555555,15,0,cif_default,split_importance,-0.16555555555555557
classification,warpAR10P,cif_one_tree,split_importance,0.6201777777777778,15,0,0.7951555555555555,15,0,cif_default,split_importance,-0.17497777777777768
classification,warpPIE10P,cif_default,split_count,0.9023333333333333,15,0,0.9066933333333334,15,0,cif_default,split_importance,-0.0043600000000000305
classification,warpPIE10P,cif_no_bootstrap,split_count,0.9023866666666667,15,0,0.9066933333333334,15,0,cif_default,split_importance,-0.004306666666666681
classification,warpPIE10P,cif_no_bootstrap,split_importance,0.9078133333333334,15,0,0.9066933333333334,15,0,cif_default,split_importance,0.0011200000000000099
classification,warpPIE10P,cif_no_mute,split_count,0.903,15,0,0.9066933333333334,15,0,cif_default,split_importance,-0.0036933333333333263
classification,warpPIE10P,cif_no_mute,split_importance,0.9054933333333334,15,0,0.9066933333333334,15,0,cif_default,split_importance,-0.0011999999999999789
classification,warpPIE10P,cif_one_tree,split_count,0.88856,15,0,0.9066933333333334,15,0,cif_default,split_importance,-0.018133333333333335
classification,warpPIE10P,cif_one_tree,split_importance,0.8904533333333333,15,0,0.9066933333333334,15,0,cif_default,split_importance,-0.016240000000000032
classification,wine,cif_default,split_count,0.9777944524611192,6,0,0.9783860830527497,6,0,cif_default,split_importance,-0.0005916305916304765
classification,wine,cif_no_bootstrap,split_count,0.9759672919672919,6,0,0.9783860830527497,6,0,cif_default,split_importance,-0.0024187910854577277
classification,wine,cif_no_bootstrap,split_importance,0.9791550424883758,6,0,0.9783860830527497,6,0,cif_default,split_importance,0.0007689594356261598
classification,wine,cif_no_mute,split_count,0.9773182619849288,6,0,0.9783860830527497,6,0,cif_default,split_importance,-0.0010678210678208844
classification,wine,cif_no_mute,split_importance,0.9783860830527497,6,0,0.9783860830527497,6,0,cif_default,split_importance,0.0
classification,wine,cif_one_tree,split_count,0.9542364919031586,6,0,0.9783860830527497,6,0,cif_default,split_importance,-0.024149591149591032
classification,wine,cif_one_tree,split_importance,0.9552417829084496,6,0,0.9783860830527497,6,0,cif_default,split_importance,-0.023144300144300023
