task,dataset_group,variant,n_dataset_types,mean_elapsed_seconds,mean_depth,mean_max_depth,mean_features_used,mean_real_downstream_score,mean_synthetic_quality,mean_precision_over_standard_k,mean_precision_at_10,mean_confounder_rate_at_10,default_elapsed_seconds,default_depth,default_features_used,default_real_downstream_score,default_synthetic_quality,default_precision_over_standard_k,default_precision_at_10,default_confounder_rate_at_10,elapsed_seconds_ratio_vs_default,delta_depth_vs_default,delta_features_used_vs_default,delta_real_downstream_vs_default,delta_synthetic_quality_vs_default,delta_precision_over_standard_k_vs_default,delta_precision_at_10_vs_default,delta_confounder_rate_at_10_vs_default
classification,synthetic,cit,8,8.930520123975077,4.825,4.825,5.3,0.7698940311067466,0.5265764177891202,0.43,0.43,0.4,20.74333024750003,3.80825,4.25925,0.7958598314690153,0.6177905468549117,0.51,0.51,0.5399999999999999,0.4305248972763848,1.01675,1.04075,-0.0259658003622687,-0.09121412906579152,-0.08000000000000002,-0.08000000000000002,-0.1399999999999999
classification,synthetic,et,8,0.10810988860006315,0.0,0.0,85.56925,0.8307950075420658,0.7073195767760985,0.6375,0.6375,0.6199999999999999,20.74333024750003,3.80825,4.25925,0.7958598314690153,0.6177905468549117,0.51,0.51,0.5399999999999999,0.0052117903591248314,-3.80825,81.31,0.03493517607305052,0.08952902992118672,0.12749999999999995,0.12749999999999995,0.07999999999999996
classification,synthetic,exact_all,8,106.98181850157502,3.8235,8.275,4.30025,0.7920174180616659,0.6279911599967014,0.5175000000000001,0.5175000000000001,0.6,20.74333024750003,3.80825,4.25925,0.7958598314690153,0.6177905468549117,0.51,0.51,0.5399999999999999,5.157408054787557,0.015249999999999986,0.04100000000000037,-0.0038424134073493654,0.01020061314178966,0.007500000000000062,0.007500000000000062,0.06000000000000005
classification,synthetic,histogram_128,8,6.8260009660999295,3.8482499999999997,8.1,4.35875,0.7927417362435301,0.6294264210568559,0.515,0.515,0.58,20.74333024750003,3.80825,4.25925,0.7958598314690153,0.6177905468549117,0.51,0.51,0.5399999999999999,0.32906967611541516,0.03999999999999959,0.09949999999999992,-0.003118095225485229,0.011635874201944119,0.0050000000000000044,0.0050000000000000044,0.040000000000000036
classification,synthetic,histogram_256,8,20.74333024750003,3.80825,7.975,4.25925,0.7958598314690153,0.6177905468549117,0.51,0.51,0.5399999999999999,20.74333024750003,3.80825,4.25925,0.7958598314690153,0.6177905468549117,0.51,0.51,0.5399999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,synthetic,histogram_32,8,1.1274565211499863,4.01175,8.3,4.658250000000001,0.7979170481673776,0.621538434671427,0.52,0.52,0.6,20.74333024750003,3.80825,4.25925,0.7958598314690153,0.6177905468549117,0.51,0.51,0.5399999999999999,0.054352724837221665,0.20350000000000001,0.3990000000000009,0.0020572166983623408,0.0037478878165152496,0.010000000000000009,0.010000000000000009,0.06000000000000005
classification,synthetic,histogram_512,8,69.55697459237497,3.76975,8.075,4.19025,0.7873969682669784,0.6231541696865652,0.515,0.515,0.6,20.74333024750003,3.80825,4.25925,0.7958598314690153,0.6177905468549117,0.51,0.51,0.5399999999999999,3.3532211926654316,-0.03849999999999998,-0.06899999999999995,-0.00846286320203693,0.005363622831653481,0.0050000000000000044,0.0050000000000000044,0.06000000000000005
classification,synthetic,histogram_64,8,2.4376589020500514,3.91425,8.3,4.45475,0.7866623678379034,0.6140415425666917,0.505,0.505,0.6599999999999999,20.74333024750003,3.80825,4.25925,0.7958598314690153,0.6177905468549117,0.51,0.51,0.5399999999999999,0.1175153108476319,0.10599999999999987,0.1955,-0.009197463631111846,-0.0037490042882200036,-0.0050000000000000044,-0.0050000000000000044,0.12
classification,synthetic,histogram_all,8,102.37432184335013,3.7627499999999996,8.1,4.199999999999999,0.7876421957486968,0.6182036659892585,0.505,0.505,0.6199999999999999,20.74333024750003,3.80825,4.25925,0.7958598314690153,0.6177905468549117,0.51,0.51,0.5399999999999999,4.935288626361633,-0.04550000000000054,-0.05925000000000047,-0.008217635720318528,0.00041311913434671776,-0.0050000000000000044,-0.0050000000000000044,0.07999999999999996
classification,synthetic,rf,8,0.1495470064749838,0.0,0.0,54.81275,0.8299651113926196,0.7034931994693291,0.6425,0.6425,0.5800000000000001,20.74333024750003,3.80825,4.25925,0.7958598314690153,0.6177905468549117,0.51,0.51,0.5399999999999999,0.007209401995275426,-3.80825,50.5535,0.03410527992360435,0.08570265261441734,0.13249999999999995,0.13249999999999995,0.04000000000000015
