study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_fit_seeds,n_estimators_per_fit,total_trees,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts,sweep_n_estimators
ensemble_split_counts,make_regression_n250_p500_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,10,0.02,cif_all,5,100,500,2104.2,626.6,1477.6,0.29778538161771695,465,64,14.706122448979592,"342,512,438,38,50,25,199,824,20,685","294,400,337,38,50,25,199,495,20,477",100
ensemble_split_counts,make_regression_n250_p500_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,10,0.02,et,5,100,500,24900.0,1322.8,23577.2,0.05312449799196787,490,255,190.73061224489797,"744,922,789,327,314,200,554,1441,245,1078","423,449,433,244,223,167,348,498,194,494",100
ensemble_split_counts,make_regression_n250_p500_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,10,0.02,rf,5,100,500,15721.4,759.0,14962.4,0.04827814316791126,490,178,131.34285714285716,"341,540,405,179,196,162,386,802,143,641","251,391,311,151,163,144,286,477,130,454",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,cif,5,100,500,116.4,24.8,91.6,0.21305841924398625,82,15,0.9096385542168675,"55,69","40,59",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,cif_all,5,100,500,3103.0,1469.4,1633.6,0.4735417338059942,472,114,16.08433734939759,"3421,3926","500,500",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,et,5,100,500,24900.0,2099.2,22800.8,0.08430522088353413,498,232,183.93574297188755,"5263,5233","500,500",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,rf,5,100,500,15721.4,1145.4,14576.0,0.07285610696248426,498,177,126.86345381526104,"2745,2982","500,500",100
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,cif,5,100,500,132.8,30.0,102.8,0.22590361445783133,92,20,1.0383838383838384,"30,6,18,46,50","30,6,18,46,40",100
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,cif_all,5,100,500,2506.6,848.8,1657.8,0.33862602728795976,470,65,16.393939393939394,"1300,20,334,1149,1441","500,20,269,500,500",100
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,et,5,100,500,24900.0,1423.0,23477.0,0.05714859437751004,495,247,188.93737373737375,"1778,274,705,2206,2152","500,215,409,500,500",100
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,rf,5,100,500,15721.4,809.8,14911.6,0.051509407559123234,495,166,130.43434343434345,"1254,148,370,952,1325","499,122,276,500,499",100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,cif,5,500,2500,582.6,40.0,542.6,0.06865774116031582,368,40,2.710710710710711,200,170,500
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,cif_all,5,500,2500,18486.8,9244.8,9242.0,0.500075729709847,994,390,45.647647647647645,46224,2500,500
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,et,5,500,2500,124500.0,9985.4,114514.6,0.08020401606425703,999,796,512.5555555555555,49927,2500,500
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,rf,5,500,2500,78618.2,7107.0,71511.2,0.09039891526389564,999,506,333.7607607607608,35535,2500,500
ensemble_split_counts,make_regression_n250_p1000_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,10,0.01,cif,5,500,2500,845.2,161.2,684.0,0.19072408897302415,449,65,3.4545454545454546,"141,75,5,5,115,135,5,10,176,139","141,75,5,5,115,135,5,10,171,139",500
ensemble_split_counts,make_regression_n250_p1000_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,10,0.01,cif_all,5,500,2500,12181.2,2567.6,9613.6,0.21078383082126556,990,230,47.93333333333333,"1160,660,240,145,917,3393,30,85,3353,2855","1060,630,225,145,859,2435,30,80,2455,2165",500
ensemble_split_counts,make_regression_n250_p1000_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,10,0.01,et,5,500,2500,124500.0,4495.4,120004.6,0.03610763052208835,990,754,538.5636363636364,"1972,1904,795,707,2419,4818,691,738,4835,3598","1504,1468,687,617,1722,2401,619,639,2417,2208",500
ensemble_split_counts,make_regression_n250_p1000_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,10,0.01,rf,5,500,2500,78618.2,2665.4,75952.8,0.033903091141745806,990,485,356.1,"1074,1027,475,432,1209,2867,384,374,3106,2379","928,893,435,389,1011,2134,356,343,2286,1856",500
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,cif,5,500,2500,700.2,93.2,607.0,0.1331048271922308,386,45,3.036072144288577,"185,281","175,231",500
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,cif_all,5,500,2500,15914.2,5737.0,10177.2,0.3604956579658418,997,240,50.37074148296593,"12222,16463","2500,2500",500
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,et,5,500,2500,124500.0,8066.6,116433.4,0.06479196787148594,998,738,520.7124248496993,"16070,24263","2500,2500",500
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,rf,5,500,2500,78618.2,4276.2,74342.0,0.05439198557077114,998,630,346.26352705410824,"7761,13620","2499,2500",500
ensemble_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,cif,5,500,2500,734.6,122.8,611.8,0.1671658045194664,410,35,3.0743718592964826,"168,105,65,256,20","163,105,60,226,20",500
ensemble_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,cif_all,5,500,2500,13893.4,3855.0,10038.4,0.27746987778369586,994,362,49.73869346733668,"7249,2937,766,7911,412","2500,2026,696,2500,382",500
ensemble_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,et,5,500,2500,124500.0,5734.6,118765.4,0.046061044176706825,995,833,531.1306532663317,"9698,4291,1683,12114,887","2500,2283,1302,2500,743",500
ensemble_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,rf,5,500,2500,78618.2,3345.6,75272.6,0.04255503178653289,995,680,351.33869346733667,"6028,2359,679,7080,582","2496,1686,603,2500,529",500
ensemble_split_counts,make_regression_n250_p100_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,1,0.01,cif,5,500,2500,344.2,97.2,247.0,0.2823939570017432,80,95,12.383838383838384,486,348,500
ensemble_split_counts,make_regression_n250_p100_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,1,0.01,cif_all,5,500,2500,15228.2,9188.2,6040.0,0.603367436729226,99,687,285.2121212121212,45941,2500,500
ensemble_split_counts,make_regression_n250_p100_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,1,0.01,et,5,500,2500,124500.0,13551.0,110949.0,0.10884337349397591,99,2346,2237.2929292929293,67755,2500,500
