task,dataset,model_variant,ranking_variant,downstream_model,k,mean_score,median_score,std_score,n_fold_seed_rows,n_nonnull_score_rows,n_seeds,n_folds,n_features,score_missing_rows,scores_complete
classification,ALLAML,cif_one_tree,split_importance,knn,50,0.6402222222222222,0.6444444444444444,0.14371503869003763,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,knn,100,0.7346666666666667,0.7444444444444445,0.11787600725516521,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,lr,5,0.7613333333333334,0.8,0.14842693675864754,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,lr,10,0.7568888888888888,0.8,0.1346317947760077,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,lr,25,0.7286666666666668,0.7444444444444445,0.14674696174671897,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,lr,50,0.7871111111111111,0.8,0.1284775524419791,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,lr,100,0.8146666666666667,0.8444444444444444,0.10489412651706378,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,svm,5,0.7384444444444445,0.8,0.16597014952990619,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,svm,10,0.7366666666666667,0.7444444444444445,0.14775410559495328,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,svm,25,0.7528888888888889,0.7444444444444445,0.11193123256287883,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,svm,50,0.7586666666666667,0.788888888888889,0.12539115753047053,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,svm,100,0.7482222222222222,0.8,0.1055765086416232,25,25,5,5,7129,0,True
classification,CLL_SUB_111,cif_default,split_count,knn,5,0.6752323232323232,0.6999999999999998,0.13135543075366315,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,knn,10,0.6812794612794613,0.7333333333333334,0.11293109487408295,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,knn,25,0.736040404040404,0.7333333333333334,0.08622961139632722,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,knn,50,0.6682154882154882,0.6666666666666666,0.0853617255670651,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,knn,100,0.7040942760942761,0.7000000000000001,0.10962279406878178,25,25,5,5,11340,0,True
