task,model_family,method,axis,axis_value,median,q1,q3,n,citrees_budget
regression,tree,citrees,predictor_count,10,1.3313820475000284,1.3266208549996463,1.3625574445002258,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,citrees,predictor_count,200,0.1620956230003685,0.15862364950010033,0.1656685419995938,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,citrees,reference,reference,1.4074620364999646,1.4039801407493542,1.4123870519999286,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,citrees,sample_size,250,0.021854939499689863,0.02147328250021019,0.02264047499983235,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,citrees,sample_size,4000,0.15153842499989878,0.15123999675029154,0.15369882400023016,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,partykit,permutation_budget,99,0.3915651945000036,0.39109500649997386,0.39193733725028324,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,partykit,permutation_budget,9999,28.125427496000327,28.10948691524998,28.15643539499998,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,partykit,predictor_count,10,0.6077252994999043,0.6069130330000689,0.6079747162498279,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,partykit,predictor_count,200,11.679654615000103,11.673301955250054,11.693328449000091,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,partykit,reference,reference,2.940501988500273,2.93756343125051,2.942775151499916,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,partykit,sample_size,250,0.8226650420001533,0.8105444427498583,0.8234434600000569,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,partykit,sample_size,4000,11.343169222000142,11.339503115499596,11.345807347250002,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,sklearn,predictor_count,10,0.0028166979996058217,0.0028008050000210005,0.0028699434997179196,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,sklearn,predictor_count,200,0.04152794050014563,0.04150065525050195,0.04160777774990976,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,sklearn,reference,reference,0.01095254599999862,0.010891685999922629,0.011013777999927754,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,sklearn,sample_size,250,0.002833874500083766,0.002815596999880654,0.002842624750030609,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,sklearn,sample_size,4000,0.04952848349967098,0.04947312475042054,0.04966726049999437,10,999 permutations per predictor (scale_resamples_with_tests=False)
