task,model_variant,ranking_variant,reference_model_variant,reference_ranking_variant,downstream_model,k,n_datasets,mean_delta_vs_reference,median_delta_vs_reference,ci95_mean_delta_lower,ci95_mean_delta_upper,wins,losses,ties,win_share,nonloss_share,sign_test_pvalue_two_sided,bootstrap_replicates
regression,cif_no_bootstrap,split_count,cif_default,split_importance,svr,25,7,-0.04576520621314022,-0.003625463040099121,-0.12025817199802104,-0.00029767810595078076,2,5,0,0.2857142857142857,0.2857142857142857,0.453125,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,svr,50,7,-0.06014289844668438,-0.0006096889220709445,-0.1639405757356974,0.0014741114440725398,2,5,0,0.2857142857142857,0.2857142857142857,0.453125,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,svr,100,6,-0.09606394948802448,-0.05493445168264107,-0.20301172256852343,-0.01891958640110557,0,6,0,0.0,0.0,0.03125,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,knn,5,8,-0.004565260960262794,-0.0006084072504683458,-0.20504237723108243,0.22846956377430538,4,4,0,0.5,0.5,1.0,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,knn,10,8,-0.10234645926515316,-0.007288481421962756,-0.22122368182041424,-0.01184447912305256,2,6,0,0.25,0.25,0.2890625,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,knn,25,7,-0.1173608752127353,-0.0030804308093752564,-0.29915820676282084,0.0004269718099092812,2,5,0,0.2857142857142857,0.2857142857142857,0.453125,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,knn,50,7,-0.13875055651463114,-0.005153433498910176,-0.3891831755875207,-0.0022353544160344263,2,5,0,0.2857142857142857,0.2857142857142857,0.453125,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,knn,100,6,-0.16919677718957346,-0.01804926117573681,-0.456876855491273,-0.004557600589568449,2,4,0,0.3333333333333333,0.3333333333333333,0.6875,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,ridge,5,8,-0.036999156840420225,-0.0008708449181230038,-0.10715031390444715,0.002058041990076899,3,5,0,0.375,0.375,0.7265625,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,ridge,10,8,-0.06399721899336902,-0.0003217435615154307,-0.2376615468670847,0.045348707778033036,3,5,0,0.375,0.375,0.7265625,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,ridge,25,7,-0.7356336151602589,-0.0008539849625337492,-2.212544329860978,0.03123826849774785,2,5,0,0.2857142857142857,0.2857142857142857,0.453125,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,ridge,50,7,-1.0497640831883726,-0.004580747647292216,-3.15559857890272,0.060064979847799224,1,6,0,0.14285714285714285,0.14285714285714285,0.125,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,ridge,100,6,-1.1209138448755882,-0.000552133966167323,-3.7901652094444755,0.33212776068328,2,4,0,0.3333333333333333,0.3333333333333333,0.6875,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,svr,5,8,0.016540867095125613,0.0005912431980179128,-0.018320451727842114,0.06419654036044205,5,3,0,0.625,0.625,0.7265625,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,svr,10,8,-0.0077457428233459495,-0.0005894735582773064,-0.027365332286793827,0.007090528249137812,2,6,0,0.25,0.25,0.2890625,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,svr,25,7,-0.03704315563025906,1.856430545507659e-05,-0.1156400100332654,0.008874926684947868,4,3,0,0.5714285714285714,0.5714285714285714,1.0,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,svr,50,7,-0.060563532801562237,-0.0004816073365695381,-0.16398550070155174,0.0006434972229519029,2,5,0,0.2857142857142857,0.2857142857142857,0.453125,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,svr,100,6,-0.0959634490912462,-0.05466257850758479,-0.20673529962877754,-0.01880920999923438,0,6,0,0.0,0.0,0.03125,20000
regression,cif_no_mute,split_count,cif_default,split_importance,knn,5,8,-0.05412925268677045,0.0012970758813656835,-0.14461972405333023,0.00421830883356554,4,4,0,0.5,0.5,1.0,20000
regression,cif_no_mute,split_count,cif_default,split_importance,knn,10,8,-0.20181916937311145,0.004597340457510091,-0.7020725827750331,0.08640144711472308,5,3,0,0.625,0.625,0.7265625,20000
regression,cif_no_mute,split_count,cif_default,split_importance,knn,25,7,-0.03195615008595463,0.000548178312113623,-0.11034374894158021,0.04229958130786488,4,3,0,0.5714285714285714,0.5714285714285714,1.0,20000
regression,cif_no_mute,split_count,cif_default,split_importance,knn,50,7,-0.03262519685791181,-0.000537774175615624,-0.08095826912070077,0.0045856982599037895,3,4,0,0.42857142857142855,0.42857142857142855,1.0,20000
regression,cif_no_mute,split_count,cif_default,split_importance,knn,100,6,-0.012129105933331961,-0.003035362989363133,-0.038571053732457804,0.006343295698171138,2,4,0,0.3333333333333333,0.3333333333333333,0.6875,20000
regression,cif_no_mute,split_count,cif_default,split_importance,ridge,5,8,-0.018899252402881987,0.0016749636699557313,-0.08070927585545647,0.01909382864746571,5,3,0,0.625,0.625,0.7265625,20000
regression,cif_no_mute,split_count,cif_default,split_importance,ridge,10,8,0.027947060739992976,-0.0003395793633478861,-0.009220776487752203,0.09543607425950697,4,4,0,0.5,0.5,1.0,20000
regression,cif_no_mute,split_count,cif_default,split_importance,ridge,25,7,-0.035088580971263196,-0.0017528674789016874,-0.08450836313497877,-0.0006735822223582677,2,5,0,0.2857142857142857,0.2857142857142857,0.453125,20000
regression,cif_no_mute,split_count,cif_default,split_importance,ridge,50,7,-0.030056708519075548,-0.000607046787531762,-0.06335867667950854,-0.002254686701306722,2,5,0,0.2857142857142857,0.2857142857142857,0.453125,20000
regression,cif_no_mute,split_count,cif_default,split_importance,ridge,100,6,-0.043804120897016206,-0.00011560522508435866,-0.19529482775992055,0.07457200204061375,2,4,0,0.3333333333333333,0.3333333333333333,0.6875,20000
regression,cif_no_mute,split_count,cif_default,split_importance,svr,5,8,-0.0022603527536592663,0.001363434825481919,-0.02268837059730445,0.016084872268663758,4,4,0,0.5,0.5,1.0,20000
regression,cif_no_mute,split_count,cif_default,split_importance,svr,10,8,-0.029536694897487982,-0.001832605402190192,-0.09686377800085368,0.011573291393173759,3,5,0,0.375,0.375,0.7265625,20000
regression,cif_no_mute,split_count,cif_default,split_importance,svr,25,7,-0.024920334299835253,-0.0001924468562652104,-0.05890061200928456,0.004671872785014487,3,4,0,0.42857142857142855,0.42857142857142855,1.0,20000
regression,cif_no_mute,split_count,cif_default,split_importance,svr,50,7,-0.02034165434907451,-0.0018025740045953392,-0.049168874578974446,0.0005928981231026317,1,6,0,0.14285714285714285,0.14285714285714285,0.125,20000
regression,cif_no_mute,split_count,cif_default,split_importance,svr,100,6,-0.01105710713962726,-0.006927076223891672,-0.022907787840381846,-0.002707027499939151,0,6,0,0.0,0.0,0.03125,20000
regression,cif_no_mute,split_importance,cif_default,split_importance,knn,5,8,0.06545885351346287,-0.00020422606699821433,-0.04063513165589362,0.2432941107815845,3,4,1,0.375,0.5,1.0,20000
regression,cif_no_mute,split_importance,cif_default,split_importance,knn,10,8,0.02292353051445805,5.0922284143023466e-05,-0.02095169013377504,0.08962916127161541,4,4,0,0.5,0.5,1.0,20000
