task,downstream_model,dataset,focus_method,baseline,n_k,supported_k,mean_delta,median_delta,start_delta,end_delta,delta_change,win_share,nonloss_share
classification,svm,Yale,cif,ptest_mc,5,"5,10,25,50,100",0.06542222222222226,0.05466666666666664,0.10800000000000004,0.05111111111111111,-0.05688888888888893,1.0,1.0
classification,svm,Yale,cif,ptest_rdc,5,"5,10,25,50,100",0.19031111111111113,0.1995555555555556,0.1995555555555556,0.10177777777777774,-0.09777777777777785,1.0,1.0
classification,svm,Yale,cif,r_cforest,5,"5,10,25,50,100",0.10106666666666664,0.1044444444444444,0.13377777777777777,0.04933333333333334,-0.08444444444444443,1.0,1.0
classification,svm,Yale,cif,r_ctree,5,"5,10,25,50,100",0.15893333333333332,0.17155555555555568,0.12577777777777782,0.20977777777777773,0.08399999999999991,1.0,1.0
classification,svm,Yale,cif,rf,5,"5,10,25,50,100",0.023377777777777775,0.019555555555555548,0.04844444444444446,0.014666666666666717,-0.03377777777777774,1.0,1.0
classification,svm,Yale,cif,rfe,5,"5,10,25,50,100",-0.010222222222222244,-0.015555555555555545,-0.040888888888888864,-0.015555555555555545,0.02533333333333332,0.2,0.2
classification,svm,Yale,cif,xgb,5,"5,10,25,50,100",0.042044444444444454,0.03600000000000014,0.1004444444444445,0.0004444444444443585,-0.10000000000000014,1.0,1.0
classification,svm,arcene,cif,boruta,5,"5,10,25,50,100",-0.02079797979797975,-0.021868686868686815,-0.031792929292929206,-0.010176767676767673,0.021616161616161533,0.0,0.0
classification,svm,arcene,cif,cat,5,"5,10,25,50,100",-0.03518181818181816,-0.035050505050505,-0.028585858585858492,-0.04340909090909095,-0.01482323232323246,0.0,0.0
classification,svm,arcene,cif,cit,5,"5,10,25,50,100",0.05946969696969699,0.0606313131313132,0.005429292929293061,0.10755050505050501,0.10212121212121195,1.0,1.0
classification,svm,arcene,cif,cpi,5,"5,10,25,50,100",0.07804040404040402,0.07194444444444437,0.021893939393939466,0.12431818181818177,0.1024242424242423,1.0,1.0
classification,svm,arcene,cif,et,5,"5,10,25,50,100",-0.02720202020202016,-0.02952020202020189,-0.020631313131313056,-0.037575757575757485,-0.01694444444444443,0.0,0.0
classification,svm,arcene,cif,lgbm,5,"5,10,25,50,100",-0.017631313131313164,-0.017398989898989914,-0.010808080808080822,0.0031818181818180635,0.013989898989898886,0.2,0.2
