experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,svm_ba_mean,svm_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,mean_depth_mean,mean_depth_std,max_depth_mean,max_depth_std,mean_features_used_mean,mean_features_used_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std,svr_r2_mean,svr_r2_std,knn_r2_mean,knn_r2_std
threshold_search_ablation,clf,clf_standard_hard,exact_all,1000,200,0.12,0.04,0.24,0.08,0.15999999999999998,0.05333333333333334,0.8502502502502504,0.10556570034847038,0.6921271538918599,0.023090220720815995,0.6581402257872846,0.019238311945434208,0.627005347593583,0.04484265763017919,2.3694394275999913,0.0445596282634784,1.9259999999999997,0.17681628884240275,5.8,0.7483314773547882,0.9780000000000001,0.20291870293297265,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_hard,histogram_32,1000,200,0.15999999999999998,0.07999999999999999,0.31999999999999995,0.15999999999999998,0.21333333333333332,0.10666666666666667,0.8596596596596596,0.07694931105440139,0.7051990493166965,0.05915857039241338,0.6920083184789068,0.07698203086617203,0.6518716577540107,0.05829173783482186,0.6084276901999146,0.042855398554669986,2.0140000000000002,0.18768057970924967,6.2,0.39999999999999997,1.074,0.21133859089148863,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_hard,histogram_64,1000,200,0.15999999999999998,0.07999999999999999,0.31999999999999995,0.15999999999999998,0.21333333333333332,0.10666666666666667,0.7473473473473474,0.1886992825398201,0.6891859774212715,0.05142769830382792,0.6958704693998811,0.06376938739346252,0.6308674985145574,0.05629800252967921,0.8962337927999215,0.10921944132556738,1.9579999999999997,0.18540765895722866,6.0,0.6324555320336759,1.0379999999999998,0.2137662274541982,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_hard,histogram_128,1000,200,0.16,0.07999999999999999,0.32,0.15999999999999998,0.21333333333333332,0.10666666666666667,0.8266266266266266,0.03726306056713508,0.7078728461081402,0.04993337989569896,0.7072192513368984,0.057499871809482454,0.6669340463458111,0.05898373904866545,2.2176472029999785,0.07193820357028369,1.8960000000000001,0.15213152204589286,6.2,0.7483314773547882,0.95,0.17005881335585052,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_hard,histogram_256,1000,200,0.16,0.07999999999999999,0.32,0.15999999999999998,0.21333333333333332,0.10666666666666667,0.8036036036036036,0.07996839058053243,0.6985145573380868,0.04991296008992955,0.7038027332144979,0.04804207257515218,0.6517825311942959,0.05119408694472561,2.352768463999928,0.1021023972195845,1.8940000000000001,0.18423897524682445,6.0,0.8944271909999159,0.944,0.20343057783922258,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_hard,histogram_512,1000,200,0.16,0.07999999999999999,0.32,0.15999999999999998,0.21333333333333332,0.10666666666666667,0.8036036036036036,0.07996839058053243,0.6985145573380868,0.04991296008992955,0.7038027332144979,0.04804207257515218,0.6517825311942959,0.05119408694472561,2.3605381532000136,0.12093261353155509,1.8940000000000001,0.18423897524682445,6.0,0.8944271909999159,0.944,0.20343057783922258,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_hard,histogram_all,1000,200,0.16,0.07999999999999999,0.32,0.15999999999999998,0.21333333333333332,0.10666666666666667,0.8036036036036036,0.07996839058053243,0.6985145573380868,0.04991296008992955,0.7038027332144979,0.04804207257515218,0.6517825311942959,0.05119408694472561,2.347979503799979,0.07928755920463304,1.8940000000000001,0.18423897524682445,6.0,0.8944271909999159,0.944,0.20343057783922258,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_hard,rf,1000,200,0.13999999999999999,0.07999999999999999,0.27999999999999997,0.15999999999999998,0.18666666666666665,0.10666666666666667,0.8008008008008008,0.06581686248154375,0.7028223410576351,0.0568653837541894,0.7243909685086155,0.050998827010666374,0.6856209150326797,0.06109599484441471,0.11765882860008788,0.006256864910428321,0.0,0.0,0.0,0.0,21.080000000000002,0.16935170504013175,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_hard,et,1000,200,0.16,0.1356465996625054,0.32,0.2712931993250108,0.21333333333333332,0.1808621328833405,0.8972972972972972,0.08014411853899857,0.7482768865121806,0.04635929233972043,0.7379679144385026,0.049035540002588515,0.6946226975638741,0.04562707307119564,0.09056121200001144,0.0022170041245268544,0.0,0.0,0.0,0.0,51.818,0.17069270634681546,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_hard,cit,1000,200,0.12000000000000002,0.07483314773547883,0.24000000000000005,0.14966629547095767,0.16,0.09977753031397177,0.27187187187187184,0.27068340499923194,0.603475935828877,0.07340754047941098,0.5921271538918598,0.10477729209845359,0.5636957813428402,0.07311960196200067,81.12716065040013,48.40522493701602,2.0,0.8944271909999159,2.0,0.8944271909999159,1.0,0.8944271909999159,,,,,,,,,,
