experiment,dataset_type,variant,n_features,n_samples,elapsed_seconds_mean,elapsed_seconds_std,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,n_features_used_mean,n_features_used_std,lr_ba_mean,lr_ba_std
maxt_comparison,clf_weak_signal,bonferroni_mc,100,1000,29.95217492619995,1.5935532098884182,0.08,0.116619037896906,0.08,0.116619037896906,0.08,0.116619037896906,49.6,9.891410415102591,0.7024388438843883,0.0368542709189399
maxt_comparison,clf_weak_signal,no_bonf_mc_a05,100,1000,44.39187159759458,2.5834042433448743,0.08,0.16,0.08,0.16,0.08000000000000002,0.16000000000000003,73.0,4.516635916254486,0.6960222822282229,0.03168092702873872
maxt_comparison,clf_weak_signal,no_bonf_mc_a10,100,1000,49.81776341020013,1.921496990290606,0.08,0.16,0.08,0.16,0.08000000000000002,0.16000000000000003,75.2,8.084553172563094,0.6976264026402641,0.03223520274858784
maxt_comparison,clf_weak_signal,maxt_mc_rdc,100,1000,33.182950602006166,2.2722407947566694,0.06,0.12000000000000001,0.06,0.12000000000000001,0.06,0.12000000000000001,33.2,5.2306787322488075,0.6975821582158216,0.04480821520480597
maxt_comparison,clf_weak_signal,maxt_mc_rdc_a10,100,1000,31.785051706794185,2.1137287326751486,0.06,0.12000000000000001,0.06,0.12000000000000001,0.06,0.12000000000000001,44.8,6.368673331236263,0.7051985198519852,0.03795041074039561
maxt_comparison,clf_nonlinear,bonferroni_mc,100,1000,31.21915674180491,1.5898011861426842,0.42000000000000004,0.039999999999999994,0.8400000000000001,0.07999999999999999,0.5599999999999999,0.05333333333333332,40.8,6.462197768561405,0.8284,0.014595889832415079
maxt_comparison,clf_nonlinear,no_bonf_mc_a05,100,1000,45.328357298998164,1.7283344468359962,0.4,0.0,0.8,0.0,0.5333333333333333,0.0,65.8,8.034923770640267,0.8276,0.012338557452149755
maxt_comparison,clf_nonlinear,no_bonf_mc_a10,100,1000,54.69185881778831,1.2289380414676956,0.42000000000000004,0.039999999999999994,0.8400000000000001,0.07999999999999999,0.5599999999999999,0.05333333333333332,72.8,7.934733769950949,0.8295999999999999,0.01628004913997493
maxt_comparison,clf_nonlinear,maxt_mc_rdc,100,1000,34.565585419599664,1.9342711068118992,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,30.2,4.874423042781577,0.8308,0.011249888888340196
maxt_comparison,clf_nonlinear,maxt_mc_rdc_a10,100,1000,35.20228385180235,3.100449707573544,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,38.6,5.748043145279966,0.833,0.013608820668963215
maxt_comparison,clf_toeplitz,bonferroni_mc,100,1000,35.40958371159504,7.342323155017535,0.8200000000000001,0.11661903789690603,0.8200000000000001,0.11661903789690603,0.8200000000000001,0.11661903789690603,58.4,6.183849933496123,0.9537856102659596,0.01849092966388568
maxt_comparison,clf_toeplitz,no_bonf_mc_a05,100,1000,43.41566044400097,3.1151223143661557,0.8,0.10954451150103324,0.8,0.10954451150103324,0.8,0.10954451150103324,75.6,5.0039984012787215,0.9389292602603485,0.027905481590517766
maxt_comparison,clf_toeplitz,no_bonf_mc_a10,100,1000,46.461383791803385,3.1329776667073785,0.8,0.10954451150103324,0.8,0.10954451150103324,0.8,0.10954451150103324,75.2,5.491812087098393,0.9421241915157047,0.029401014472370167
maxt_comparison,clf_toeplitz,maxt_mc_rdc,100,1000,30.41337593619246,2.600869579409611,0.78,0.11661903789690603,0.78,0.11661903789690603,0.78,0.11661903789690603,51.6,5.388877434122992,0.9399591896676505,0.02388503760003263
maxt_comparison,clf_toeplitz,maxt_mc_rdc_a10,100,1000,38.13530814900296,2.1176291195184227,0.78,0.11661903789690603,0.78,0.11661903789690603,0.78,0.11661903789690603,58.2,5.035871324805669,0.9367468684355271,0.0247320827583119
maxt_comparison,clf_confounder,bonferroni_mc,70,1000,28.73607463040389,2.30032694998131,0.13999999999999999,0.08,0.13999999999999999,0.08,0.14000000000000004,0.08000000000000002,55.6,0.8,0.9645953995399539,0.008915529972047028
maxt_comparison,clf_confounder,no_bonf_mc_a05,70,1000,36.52611926140962,1.0051169453937596,0.12000000000000002,0.07483314773547883,0.12000000000000002,0.07483314773547883,0.12000000000000002,0.07483314773547885,58.4,3.8781438859330635,0.9700015001500152,0.010778914060136783
maxt_comparison,clf_confounder,no_bonf_mc_a10,70,1000,37.78330459400313,2.1712707452843403,0.12000000000000002,0.07483314773547883,0.12000000000000002,0.07483314773547883,0.12000000000000002,0.07483314773547885,59.2,3.6000000000000005,0.9692113611361135,0.012219735737956138
maxt_comparison,clf_confounder,maxt_mc_rdc,70,1000,34.47498831100529,3.309959447838615,0.12000000000000002,0.07483314773547883,0.12000000000000002,0.07483314773547883,0.12000000000000002,0.07483314773547885,50.8,4.019950248448357,0.9665974997499749,0.01238454864553651
maxt_comparison,clf_confounder,maxt_mc_rdc_a10,70,1000,34.85892527459655,2.6301147273217187,0.13999999999999999,0.08,0.13999999999999999,0.08,0.14000000000000004,0.08000000000000002,53.8,3.4292856398964493,0.9691974997499748,0.010925550833167444
maxt_comparison,clf_bias,bonferroni_mc,100,1000,32.681667056994044,2.726862619159861,0.06,0.12000000000000001,0.06,0.12000000000000001,0.06,0.12000000000000001,47.6,5.4626001134990645,0.9410142014201421,0.03904105245304341
maxt_comparison,clf_bias,no_bonf_mc_a05,100,1000,43.40086908640806,2.836204885242816,0.06,0.12000000000000001,0.06,0.12000000000000001,0.06,0.12000000000000001,67.8,5.114684741017769,0.9384060006000599,0.029741484306513535
maxt_comparison,clf_bias,no_bonf_mc_a10,100,1000,48.62527503740275,2.101791473768396,0.08,0.16,0.08,0.16,0.08000000000000002,0.16000000000000003,72.2,3.4871191548325386,0.9462143214321431,0.0323605625916823
maxt_comparison,clf_bias,maxt_mc_rdc,100,1000,34.17936800799798,1.9380517406287507,0.08,0.116619037896906,0.08,0.116619037896906,0.08,0.116619037896906,38.6,4.841487374764082,0.9534205820582059,0.026498975424196113
maxt_comparison,clf_bias,maxt_mc_rdc_a10,100,1000,36.315395308594454,1.1725948201545908,0.06,0.12000000000000001,0.06,0.12000000000000001,0.06,0.12000000000000001,44.4,5.276362383309167,0.9502345634563456,0.02030484148830294
maxt_comparison,clf_redundant,bonferroni_mc,100,1000,30.889330619206884,4.450959997559293,0.45999999999999996,0.04898979485566354,0.45999999999999996,0.04898979485566354,0.4600000000000001,0.04898979485566352,68.2,4.308131845707604,0.9148032891362569,0.018043422148656982
maxt_comparison,clf_redundant,no_bonf_mc_a05,100,1000,42.420640946395,2.0176064877769497,0.42000000000000004,0.07483314773547883,0.42000000000000004,0.07483314773547883,0.4200000000000001,0.07483314773547882,88.4,3.49857113690718,0.9176173719833635,0.019912884880487213
maxt_comparison,clf_redundant,no_bonf_mc_a10,100,1000,45.33066655839794,0.8666166606774551,0.42000000000000004,0.07483314773547883,0.42000000000000004,0.07483314773547883,0.4200000000000001,0.07483314773547882,88.0,3.687817782917155,0.9145833516491763,0.017782394895878007
maxt_comparison,clf_redundant,maxt_mc_rdc,100,1000,33.10926900219056,3.6446708569513144,0.42000000000000004,0.07483314773547883,0.42000000000000004,0.07483314773547883,0.4200000000000001,0.07483314773547882,56.4,3.7735924528226414,0.929779981808883,0.020756718598212424
maxt_comparison,clf_redundant,maxt_mc_rdc_a10,100,1000,34.17281397620682,2.511816992617384,0.42000000000000004,0.07483314773547883,0.42000000000000004,0.07483314773547883,0.4200000000000001,0.07483314773547882,68.2,6.910861017268399,0.9233996637770799,0.0270563066508642
