study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_estimators,n_split_events,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices,sweep_n_estimators
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,rf,0,100,15743,1612,14131,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,rf,1,100,15756,1615,14141,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,rf,2,100,15694,1594,14100,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,rf,3,100,15709,1632,14077,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,rf,4,100,15705,1603,14102,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,et,0,100,24900,3209,21691,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,et,1,100,24900,3178,21722,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,et,2,100,24900,3166,21734,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,et,3,100,24900,3161,21739,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,et,4,100,24900,3214,21686,98,"99,98",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cif,0,100,121,25,96,78,"304,195",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cif,1,100,121,25,96,78,"304,195",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cif,2,100,109,24,85,72,"304,195",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cif,3,100,115,25,90,76,"304,195",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cif,4,100,116,25,91,76,"304,195",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cif_all,0,100,3099,1471,1628,472,"304,195",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cif_all,1,100,3098,1470,1628,472,"304,195",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cif_all,2,100,3100,1466,1634,471,"304,195",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cif_all,3,100,3107,1468,1639,471,"304,195",100
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cif_all,4,100,3111,1472,1639,470,"304,195",100
