study,task,n,k,threshold_test,stopping,repeats,censored,timeout_seconds,seconds_per_fit,seconds_min,seconds_max,depth
synthetic_scaling,classification,1000,256,bonferroni,exhaustive,3,False,1200.0,5.635649240999982,5.600474883999993,5.6848887780000155,4.0
synthetic_scaling,classification,1000,256,bonferroni_fixed,adaptive,3,False,1200.0,0.5941287880000061,0.5687392049999858,0.5997817859999941,4.0
synthetic_scaling,classification,1000,256,bonferroni_fixed,exhaustive,3,False,1200.0,0.2368818959999998,0.2358616329999847,0.237629308999999,0.0
synthetic_scaling,classification,1000,256,maxt,adaptive,3,False,1200.0,0.0809900900000002,0.0741197389999683,0.0980230260000212,5.0
synthetic_scaling,classification,1000,256,maxt,exhaustive,3,False,1200.0,0.2837657379999996,0.2826040109999894,0.2839494940000122,5.0
synthetic_scaling,classification,4000,16,bonferroni,adaptive,3,False,1200.0,0.1233994689999917,0.1225086229999874,0.1244265830000017,6.0
synthetic_scaling,classification,4000,16,bonferroni,exhaustive,3,False,1200.0,0.1938649890000192,0.1929382489999511,0.1983051820000128,6.0
synthetic_scaling,classification,4000,16,bonferroni_fixed,adaptive,3,False,1200.0,0.1145523860000139,0.1137245300000131,0.1150969629999849,6.0
synthetic_scaling,classification,4000,16,bonferroni_fixed,exhaustive,3,False,1200.0,0.1426617540000165,0.142461566999998,0.1467562739999834,6.0
synthetic_scaling,classification,4000,16,maxt,adaptive,3,False,1200.0,0.106322294999984,0.1053541669999731,0.1087523669999654,9.0
synthetic_scaling,classification,4000,16,maxt,exhaustive,3,False,1200.0,0.2182828239999708,0.2173857359999829,0.2248796259999608,6.0
synthetic_scaling,classification,4000,64,bonferroni,adaptive,3,False,1200.0,0.3374754579999717,0.335969620999947,0.3535979270000098,7.0
synthetic_scaling,classification,4000,64,bonferroni,exhaustive,3,False,1200.0,1.134838626999965,1.1314242069999525,1.1380617859999802,7.0
synthetic_scaling,classification,4000,64,bonferroni_fixed,adaptive,3,False,1200.0,0.2657791599999655,0.2651097670000126,0.2661212450000221,6.0
synthetic_scaling,classification,4000,64,bonferroni_fixed,exhaustive,3,False,1200.0,0.2205726280000135,0.2196775019999677,0.2208476690000225,0.0
synthetic_scaling,classification,4000,64,maxt,adaptive,3,False,1200.0,0.1431736380000074,0.1412115839999614,0.1518775139999775,7.666666666666667
synthetic_scaling,classification,4000,64,maxt,exhaustive,3,False,1200.0,0.5047535369999991,0.4821896830000014,0.5189428859999907,7.0
synthetic_scaling,classification,4000,256,bonferroni,adaptive,3,False,1200.0,1.1780337839999788,1.1727309290000107,1.1799641840000277,7.0
synthetic_scaling,classification,4000,256,bonferroni,exhaustive,3,False,1200.0,7.563432334999959,7.509951901000022,7.6350172339999745,7.0
synthetic_scaling,classification,4000,256,bonferroni_fixed,adaptive,3,False,1200.0,1.791196317000015,1.7877554429999805,1.7976359099999968,6.0
synthetic_scaling,classification,4000,256,bonferroni_fixed,exhaustive,3,False,1200.0,0.8543848920000414,0.8534097129999623,0.8556696519999605,0.0
synthetic_scaling,classification,4000,256,maxt,adaptive,3,False,1200.0,0.341965928000036,0.3386988679999945,0.3421444120000387,7.0
synthetic_scaling,classification,4000,256,maxt,exhaustive,3,False,1200.0,1.3068669979999754,1.3026429430000237,1.3152945009999826,7.0
