experiment,task,dataset_type,variant,n_features,n_samples,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,mean_depth_mean,mean_depth_std,max_depth_mean,max_depth_std,mean_features_used_mean,mean_features_used_std,ridge_r2_mean,ridge_r2_std,knn_r2_mean,knn_r2_std
real_ablation,clf,real_wine,cit,13,178,1.0,0.0,0.9683913891007713,0.0049156092636960125,0.9567230273752013,0.00625355637704148,0.27620205299754164,0.002482957308781522,4.0,0.0,4.0,0.0,4.0,0.0,,,,
real_ablation,clf,real_breast_cancer,cif_default,30,569,0.9310344827586207,0.0,0.9659076024776108,0.004451256755478852,0.9524495995581331,0.006544268732313025,29.55633747020038,0.5670165480511572,5.325999999999999,0.010198039027185631,10.0,0.0,4.696,0.024166091947188967,,,,
real_ablation,clf,real_breast_cancer,cif_no_scan,30,569,0.9034482758620689,0.03378606541769902,0.9463711681855841,0.0028645530990544627,0.9372292579003432,0.008899242787207379,22.554785946998162,0.6786855398086394,5.676,0.0205912602819742,9.0,0.0,6.218,0.011661903789690719,,,,
real_ablation,clf,real_breast_cancer,cif_no_mute,30,569,0.9310344827586207,0.0,0.9659076024776108,0.004451256755478852,0.9524495995581331,0.006544268732313025,29.978531742599444,0.5697204470281791,5.335999999999999,0.010198039027185352,10.0,0.0,4.706,0.024166091947189144,,,,
real_ablation,clf,real_breast_cancer,cif_no_bootstrap,30,569,0.9310344827586207,0.0,0.9648846017280152,0.0041042864686673544,0.9530019331676332,0.00514881662452018,52.24812848119764,1.5738543980833302,5.206,0.01743559577416267,9.0,0.0,4.517999999999999,0.013266499161421611,,,,
real_ablation,clf,real_breast_cancer,cif_no_bonferroni,30,569,0.9310344827586207,0.0,0.9659076024776108,0.004598646929617618,0.9532283899475285,0.007068777096261685,30.48916469120013,0.8487146167751728,5.484,0.013564659966250562,10.0,0.0,4.9399999999999995,0.0252982212813472,,,,
real_ablation,clf,real_breast_cancer,cif_optimized,30,569,0.9310344827586207,0.0,0.9671333885666943,0.003509097676133468,0.949852448021462,0.005089557465612801,9.500974723196123,0.33115632527281375,3.6620000000000004,0.007483314773547867,8.0,0.0,2.7859999999999996,0.00800000000000003,,,,
real_ablation,clf,real_breast_cancer,rf,30,569,0.9172413793103449,0.027586206896551738,0.9467566181402137,0.0034963694651402935,0.935163135676806,0.0056713917046836,0.15119517720013392,0.0048071877879742415,0.0,0.0,0.0,0.0,14.884,0.08014985963805518,,,,
real_ablation,clf,real_breast_cancer,et,30,569,0.9172413793103449,0.027586206896551738,0.9461178837732275,0.0035372409492021215,0.9346029115871701,0.003493972985805203,0.11464377820375375,0.00218512622360968,0.0,0.0,0.0,0.0,26.270000000000003,0.18471599822430115,,,,
real_ablation,clf,real_breast_cancer,cit,30,569,0.6137931034482759,0.2638776064787447,0.971342959719099,0.0016228660498607448,0.947623781907129,0.007831529560291947,20.974124019002193,0.21964206575136067,5.8,0.9797958971132712,5.8,0.9797958971132712,3.2,0.7483314773547882,,,,
real_ablation,clf,real_digits,cif_default,64,1797,0.5238095238095238,0.0,0.863611895173095,0.003531156801898077,0.9151910151713064,0.0009935854404833622,1.9714892555988626,0.04880817821858516,11.806000000000001,0.00799999999999983,17.0,0.0,32.406,0.019595917942263993,,,,
real_ablation,clf,real_digits,cif_no_scan,64,1797,0.7619047619047619,0.0,0.8508396148781218,0.002067813784702801,0.8913023785874961,0.004152358263729761,2.3567255696019855,0.0822327458210244,12.754000000000001,0.026532998322842633,18.0,0.0,37.356,0.05351635264103884,,,,
real_ablation,clf,real_digits,cif_no_mute,64,1797,0.5047619047619047,0.092772312356841,0.8488564075376408,0.009893873311927318,0.9025815876909187,0.006358517402287076,2.0208330024033785,0.0539394998987579,11.806000000000001,0.00799999999999983,17.0,0.0,33.172000000000004,0.029933259094191745,,,,
real_ablation,clf,real_digits,cif_no_bootstrap,64,1797,0.8095238095238095,0.0,0.8919291491144306,0.0024552307084757365,0.9293986005052488,0.0024234774801469086,2.300151031598216,0.04492721515231641,11.18,0.006324555320336624,14.0,0.0,29.035999999999994,0.04223742416388509,,,,
real_ablation,clf,real_digits,cif_no_bonferroni,64,1797,0.7999999999999999,0.007776157913597417,0.8878648517734279,0.002729589108639069,0.9266014261092108,0.006193036795389966,1.5583757794025588,0.04609371785540681,12.021999999999998,0.01600000000000028,15.0,0.0,34.738,0.05381449618829623,,,,
real_ablation,clf,real_digits,cif_optimized,64,1797,0.5396825396825397,0.0,0.8675819262268467,0.0033012055204377794,0.9220583410249124,0.002231677364657819,0.9587803369999165,0.04612497357082798,10.436,0.0162480768092721,13.0,0.0,24.945999999999998,0.0344093010681711,,,,
real_ablation,clf,real_digits,rf,64,1797,0.5809523809523809,0.08553773704957132,0.8479841548152478,0.01822403544519342,0.892455214784013,0.017782746044664465,0.16998278260289226,0.0024057412558901167,0.0,0.0,0.0,0.0,47.912,0.14971973817770232,,,,
real_ablation,clf,real_digits,et,64,1797,0.6253968253968254,0.12840475184861386,0.8512559587113918,0.012909294765158464,0.9049226072802256,0.009809987089178355,0.12635794339585119,0.001865133528961188,0.0,0.0,0.0,0.0,51.898,0.07652450587883712,,,,
real_ablation,clf,real_digits,cit,64,1797,0.8730158730158731,1.1102230246251565e-16,0.8132360670641802,0.004420490317166819,0.8298170734952983,0.011222705941570129,0.7881395638018148,0.08225504455731006,9.2,0.9797958971132713,9.2,0.9797958971132713,17.8,2.5612496949731396,,,,
real_ablation,clf,real_openml_madelon,cif_default,500,2600,0.8308617234468937,0.014428857715430832,0.6109270512943313,0.0019282635617317166,0.8460770958163494,0.0032783178274966213,35.67664624240133,0.42741489019883455,3.6480000000000006,0.03429285639896452,10.0,0.0,3.4900000000000007,0.06356099432828279,,,,
real_ablation,clf,real_openml_madelon,cif_no_scan,500,2600,0.907815631262525,0.019635188318903252,0.6123074112309007,0.001965463789824507,0.8636134495517643,0.02120789498559531,40.50662380739523,0.44457958568588274,3.6519999999999997,0.024819347291981708,11.0,0.0,3.6019999999999994,0.049558046773455475,,,,
real_ablation,clf,real_openml_madelon,cif_no_mute,500,2600,0.8308617234468937,0.014428857715430832,0.6112337388207163,0.0011177178187000462,0.8502297052323128,0.004794718755008545,36.82000480660063,1.7589696347082582,3.75,0.04147288270665544,10.0,0.0,3.7479999999999998,0.07386474125047761,,,,
real_ablation,clf,real_openml_madelon,cif_no_bootstrap,500,2600,0.8597194388777554,1.1102230246251565e-16,0.6093107778759272,0.002721206917285891,0.8866114664594885,0.007246570060623599,28.53490020800091,3.920883968522122,1.902,0.02039607805437116,6.0,0.0,0.922,0.024819347291981687,,,,
real_ablation,clf,real_openml_madelon,cif_no_bonferroni,500,2600,0.8236472945891784,0.0,0.6090787667223635,0.004064305375817785,0.7839204563595535,0.005798377229937802,61.16161864459864,1.4518725088612658,7.151999999999999,0.0879545337091841,14.0,0.0,12.508,0.20546532554180547,,,,
real_ablation,clf,real_openml_madelon,cif_optimized,500,2600,0.8917835671342684,1.1102230246251565e-16,0.6108475857004502,0.002191507408102467,0.8836125271832641,0.00277863420727585,41.29292457260017,0.4901611190349004,3.12,0.04516635916254481,9.0,0.0,2.724,0.0637495098020369,,,,
real_ablation,clf,real_openml_madelon,rf,500,2600,0.8653306613226454,0.02748926364646452,0.6095404831082399,0.003077265782725024,0.8761537588290176,0.012419306738013778,0.20586121360538528,0.0033973405999863427,0.0,0.0,0.0,0.0,213.20999999999998,1.1008360459214528,,,,
real_ablation,clf,real_openml_madelon,et,500,2600,0.8492985971943888,0.01282565130260518,0.6096169332666389,0.001989993873273626,0.8712276015226175,0.0029915616578186444,0.1301895625976613,0.0018572383616343154,0.0,0.0,0.0,0.0,380.156,0.7566399407908607,,,,
real_ablation,clf,real_openml_madelon,cit,500,2600,0.8997995991983968,0.01603206412825653,0.6149228580652256,0.0018017850220841904,0.8836868487989697,0.0032597284910012556,326.5473689384031,24.759112066302315,7.2,0.39999999999999997,7.2,0.39999999999999997,12.4,0.48989794855663565,,,,
real_ablation,clf,real_openml_waveform,cif_default,40,5000,0.28205128205128205,0.0,0.8517542818114396,0.0011597779040488834,0.8218774540190401,0.0025634870512601473,170.83566812239877,7.411528106417536,10.568000000000001,0.003999999999999915,15.0,0.0,18.352,0.020396078054371682,,,,
real_ablation,clf,real_openml_waveform,cif_no_scan,40,5000,0.28205128205128205,0.0,0.8517542818114396,0.0011597779040488834,0.8218774540190401,0.0025634870512601473,213.9099458493991,9.961930951954258,10.616,0.013564659966250876,17.0,0.0,18.92,0.019999999999999574,,,,
real_ablation,clf,real_openml_waveform,cif_no_mute,40,5000,0.3025641025641026,0.010256410256410265,0.8517100865394104,0.0002802515713307189,0.8192704288642041,0.004058280477262576,212.06839333979877,25.074647507604837,10.568000000000001,0.003999999999999915,15.0,0.0,18.342,0.020396078054370912,,,,
