task,n,k,threshold_test,stopping,nominal_alpha,effect,splits,replicates,n_shards,rate,ci_low,ci_high,study
classification,200,16,bonferroni,exhaustive,0.1,0.0,39,1500,3,0.026,0.01855239568494881,0.03537274562808389,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.1,0.05,89,600,3,0.14833333333333334,0.1208484601688217,0.1793320718950151,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.1,0.1,319,600,3,0.5316666666666666,0.4908337720222056,0.5721864454178116,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.1,0.2,600,600,3,1.0,0.9938707286693308,1.0,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.2,0.0,81,1500,3,0.054,0.04311185852139755,0.0666729473163583,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.2,0.05,124,600,3,0.20666666666666667,0.17494404561969695,0.241307353374262,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.2,0.1,397,600,3,0.6616666666666666,0.6222498440436097,0.6994826597821628,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.2,0.2,600,600,3,1.0,0.9938707286693308,1.0,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.35,0.0,87,1000,2,0.087,0.07026848607137862,0.10620785795702123,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.35,0.05,110,400,2,0.275,0.2317982574298698,0.32156695908340494,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.35,0.1,285,400,2,0.7125,0.6654351555247282,0.7563880864633771,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.35,0.2,400,400,2,1.0,0.9908201954163347,1.0,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.5,0.0,103,1000,2,0.103,0.08485136534991762,0.12352292640142576,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.5,0.05,121,400,2,0.3025,0.2578424935528615,0.35010851717579117,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.5,0.1,294,400,2,0.735,0.6888618789722711,0.7776218891234621,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.5,0.2,400,400,2,1.0,0.9908201954163347,1.0,stageb_only_pooled
classification,200,16,maxt,adaptive,0.02,0.0,17,1500,3,0.011333333333333334,0.006615559886822454,0.018083932361817392,stageb_only_pooled
classification,200,16,maxt,adaptive,0.02,0.05,61,600,3,0.10166666666666667,0.07866216001520317,0.12867646264539717,stageb_only_pooled
classification,200,16,maxt,adaptive,0.02,0.1,267,600,3,0.445,0.40475739463918675,0.48578649653609496,stageb_only_pooled
classification,200,16,maxt,adaptive,0.02,0.2,597,600,3,0.995,0.9854579578604367,0.9989676904830049,stageb_only_pooled
classification,200,16,maxt,adaptive,0.05,0.0,55,1500,3,0.03666666666666667,0.02773950351611336,0.047461398721799435,stageb_only_pooled
classification,200,16,maxt,adaptive,0.05,0.05,94,600,3,0.15666666666666668,0.12849751312972327,0.18826368002088878,stageb_only_pooled
classification,200,16,maxt,adaptive,0.05,0.1,351,600,3,0.585,0.5444032162274179,0.6247560339788891,stageb_only_pooled
classification,200,16,maxt,adaptive,0.05,0.2,600,600,3,1.0,0.9938707286693308,1.0,stageb_only_pooled
classification,200,16,maxt,adaptive,0.1,0.0,111,1500,3,0.074,0.06126385924816179,0.08843254013910927,stageb_only_pooled
classification,200,16,maxt,adaptive,0.1,0.05,140,600,3,0.23333333333333334,0.20003965514632138,0.2692761844708373,stageb_only_pooled
classification,200,16,maxt,adaptive,0.1,0.1,407,600,3,0.6783333333333333,0.6393138295359573,0.7155863451320618,stageb_only_pooled
classification,200,16,maxt,adaptive,0.1,0.2,600,600,3,1.0,0.9938707286693308,1.0,stageb_only_pooled
classification,200,16,maxt,adaptive,0.2,0.0,207,1500,3,0.138,0.12093436705517219,0.15649625505071688,stageb_only_pooled
classification,200,16,maxt,adaptive,0.2,0.05,207,600,3,0.345,0.30697357407162357,0.3845610435472933,stageb_only_pooled
