task,dataset_source,dataset_type,variant,n_runs,n_success,mean_elapsed_seconds,median_elapsed_seconds,p25_elapsed_seconds,p75_elapsed_seconds,mean_elapsed_ratio_vs_default,median_elapsed_ratio_vs_default,mean_elapsed_speedup_vs_default,median_elapsed_speedup_vs_default,mean_depth,mean_max_depth,mean_features_used,mean_importance_nonzero_count,mean_precision_at_10,mean_recall_at_10,mean_f1_at_10,changes_statistical_rule
clf,real,real_wine,cit_no_feature_mute,5,5,0.12909728760000116,0.1268903790000024,0.1244831150000038,0.1335829070000045,0.8255531265266967,1.0053974227353315,5.140404794596706,0.9946315530423313,4.0,4.0,4.0,4.0,,,,False
clf,real,real_wine,cit_no_feature_scan,5,5,0.3084947823999982,0.3416534209999895,0.2329632860000003,0.3519648789999934,1.9482389166856344,1.863660441953205,2.094946468987768,0.5365784332214254,4.2,4.2,4.8,4.8,,,,False
clf,real,real_wine,cit_no_threshold_scan,5,5,0.3037555839999982,0.212316102999992,0.1895646950000014,0.3496480270000006,2.1078155551441755,1.5310337935759784,3.1822337063304014,0.653153447164832,5.0,5.0,4.0,4.0,,,,False
clf,synthetic,clf_bias,cit_default,5,5,16.277835020399987,14.961144761000014,14.14571651199998,22.33271048999995,1.0,1.0,1.0,1.0,6.4,6.4,7.6,7.6,0.72,0.72,0.72,False
clf,synthetic,clf_bias,cit_exact_thresholds,5,5,28.606785685800002,29.053633913,19.65515071499999,40.06163921000001,1.8708627820009653,1.8490093569918533,0.6136751456751084,0.5408301457310614,6.6,6.6,7.6,7.6,0.74,0.74,0.74,False
clf,synthetic,clf_bias,cit_no_adaptive,5,5,4.070672864,3.1834343299999546,3.0736023229999887,3.568072677000032,0.28057408986253213,0.2127801301875226,4.4846418921589555,4.699686945010808,9.4,9.4,6.0,6.0,0.6,0.6,0.6,False
clf,synthetic,clf_bias,cit_no_bonferroni,5,5,0.20487066180003807,0.2032749670000271,0.1872465680000914,0.2103280130000371,0.014966578170038939,0.013586859177374877,79.1914342305445,73.60052731430535,10.4,10.4,29.2,29.2,0.62,0.62,0.62,True
clf,synthetic,clf_bias,cit_no_feature_mute,5,5,15.671000002999994,15.001419656999984,14.11098032000001,20.22105703400001,0.9735122954602493,0.9975595020196921,1.0303257497699836,1.002446468581941,6.4,6.4,7.6,7.6,0.72,0.72,0.72,False
clf,synthetic,clf_bias,cit_no_feature_scan,5,5,12.738482130800014,11.526361260000016,11.119608165999978,13.105459421999996,0.8984410435276533,0.8148305001179732,1.3078876695122463,1.2272491025498156,7.0,7.0,7.2,7.2,0.6799999999999999,0.6799999999999999,0.6799999999999999,False
clf,synthetic,clf_bias,cit_no_threshold_scan,5,5,11.642746145800015,10.376264214999992,10.054538706000017,10.662269627,0.8401881022545836,0.7537454619534522,1.4722812723245782,1.3267078217735995,9.6,9.6,7.8,7.8,0.74,0.74,0.74,False
