study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_fit_seeds,n_estimators_per_fit,total_trees,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts,sweep_n_estimators
ensemble_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,rf,5,100,500,2133.4,380.0,1753.4,0.17811943376769476,95,113,83.85263157894737,"412,414,686,197,191","314,317,427,168,146",100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,cif,5,100,500,111.6,8.6,103.0,0.07706093189964158,74,29,1.032064128256513,43,43,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,cif_all,5,100,500,100.0,100.0,0.0,1.0,0,0,0.0,500,500,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,et,5,100,500,6134.8,156.4,5978.4,0.025493903631740235,499,124,56.23246492985972,782,423,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,rf,5,100,500,2316.6,82.4,2234.2,0.035569368902702236,499,70,21.857715430861724,412,322,100
ensemble_split_counts,make_classification_n250_p500_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,10,0.02,cif,5,100,500,162.6,80.8,81.8,0.4969249692496925,70,15,0.8346938775510204,"40,79,23,29,60,35,59,0,0,79","35,74,23,29,60,35,54,0,0,74",100
ensemble_split_counts,make_classification_n250_p500_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,10,0.02,cif_all,5,100,500,369.8,282.4,87.4,0.7636560302866414,58,30,0.8918367346938776,"83,577,104,47,44,15,70,0,0,472","83,500,104,47,44,15,70,0,0,443",100
ensemble_split_counts,make_classification_n250_p500_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,10,0.02,et,5,100,500,6399.6,499.2,5900.4,0.07800487530470654,490,109,56.63265306122449,"246,506,213,280,199,248,292,125,84,303","209,343,183,219,165,205,227,112,74,234",100
ensemble_split_counts,make_classification_n250_p500_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,10,0.02,rf,5,100,500,2302.6,265.2,2037.4,0.11517415095978459,490,57,20.39183673469388,"108,294,113,147,93,125,139,59,31,217","101,244,108,138,91,117,132,54,31,200",100
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,cif,5,100,500,84.0,14.0,70.0,0.16666666666666666,59,15,0.7028112449799196,"5,65","5,60",100
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,cif_all,5,100,500,112.6,100.0,12.6,0.8880994671403197,6,33,0.12650602409638553,"0,500","0,500",100
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,et,5,100,500,6377.2,179.8,6197.4,0.02819419180831713,498,105,58.31726907630522,"77,822","71,424",100
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,rf,5,100,500,2350.6,90.0,2260.6,0.038288096656172894,498,64,22.174698795180724,"40,410","40,307",100
ensemble_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,cif,5,100,500,92.4,39.4,53.0,0.4264069264069264,47,10,0.5353535353535354,"5,33,43,45,71","5,33,43,45,71",100
ensemble_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,cif_all,5,100,500,323.6,301.2,22.4,0.930778739184178,19,20,0.22626262626262628,"5,505,241,431,324","5,500,241,408,319",100
ensemble_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,et,5,100,500,6562.0,315.4,6246.6,0.04806461444681499,495,100,59.31919191919192,"115,418,321,345,378","104,296,256,265,277",100
ensemble_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,rf,5,100,500,2474.6,163.4,2311.2,0.06603087367655379,495,48,22.864646464646466,"46,222,180,196,173","45,195,161,177,159",100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,cif,5,500,2500,497.8,48.0,449.8,0.09642426677380474,292,55,2.2512512512512513,240,235,500
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,cif_all,5,500,2500,500.0,500.0,0.0,1.0,0,0,0.0,2500,2500,500
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,et,5,500,2500,30086.0,526.8,29559.2,0.017509805225021605,999,334,143.57057057057057,2634,1700,500
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,rf,5,500,2500,11935.8,270.4,11665.4,0.022654535096097456,999,192,57.705705705705704,1352,1140,500
ensemble_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,cif,5,500,2500,671.8,190.4,481.4,0.2834176838344745,307,65,2.4313131313131313,"5,160,5,147,175,0,195,0,135,130","5,160,5,137,175,0,195,0,135,130",500
ensemble_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,cif_all,5,500,2500,2667.2,2003.6,663.6,0.7511997600479904,359,117,3.3464646464646464,"778,2888,0,588,1327,30,2007,448,1767,185","728,2095,0,588,1312,30,1887,443,1657,180",500
ensemble_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,et,5,500,2500,31776.6,1244.8,30531.8,0.03917347985624642,990,360,149.54040404040404,"253,815,223,863,1036,294,789,257,932,762","239,712,212,760,888,271,695,245,800,679",500
ensemble_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,rf,5,500,2500,12484.0,726.4,11757.6,0.05818647869272669,990,179,58.753535353535355,"101,579,100,485,570,124,480,121,586,486","98,548,98,464,536,121,463,118,562,473",500
ensemble_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,cif,5,500,2500,529.6,43.6,486.0,0.0823262839879154,283,90,2.434869739478958,"218,0","218,0",500
ensemble_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,cif_all,5,500,2500,500.0,500.0,0.0,1.0,0,0,0.0,"2500,0","2500,0",500
ensemble_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,et,5,500,2500,29964.4,593.0,29371.4,0.01979015097916194,998,388,142.77955911823648,"2682,283","1746,266",500
ensemble_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,rf,5,500,2500,11698.8,314.2,11384.6,0.02685745546551783,998,221,56.397795591182366,"1337,234","1129,222",500
ensemble_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,cif,5,500,2500,558.0,161.2,396.8,0.28888888888888886,258,50,1.9939698492462312,"175,168,179,128,156","175,168,174,128,156",500
ensemble_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,cif_all,5,500,2500,1328.0,1105.0,223.0,0.8320783132530121,88,75,1.1155778894472361,"30,743,2500,1700,552","30,743,2500,1690,542",500
ensemble_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,et,5,500,2500,30089.2,1218.0,28871.2,0.04047964053547452,995,314,140.96984924623115,"1068,805,1993,1166,1058","885,713,1438,981,884",500
ensemble_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,rf,5,500,2500,11275.4,696.4,10579.0,0.06176277559997871,995,158,52.641206030150755,"673,498,1151,568,592","636,476,992,537,553",500
