study,task,n,k,threshold_test,stopping,nominal_alpha,effect,step_quantile,replicates,split_rate,ci_low,ci_high,seconds_per_fit
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.2,0.0,0.5,500,0.456,0.4123430953364763,0.4996569046635237,0.0012964421159999
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.2,0.05,0.5,200,0.55,0.4810508883305956,0.6189491116694045,0.00120994762
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.2,0.1,0.5,200,0.765,0.7062367614915583,0.8237632385084417,0.001318114995
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.2,0.2,0.5,200,0.985,0.9681536888310824,1.0,0.00132907345
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.35,0.0,0.5,500,0.496,0.4521744701252797,0.5398255298747203,0.0011077167819999
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.35,0.05,0.5,200,0.56,0.4912042792028458,0.6287957207971543,0.001135534435
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.35,0.1,0.5,200,0.78,0.722588391417763,0.8374116085822371,0.0012231371599999
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.35,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.0012906914949999
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.5,0.0,0.5,500,0.506,0.4621762232937416,0.5498237767062585,0.001053824752
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.5,0.05,0.5,200,0.575,0.506487555874863,0.6435124441251369,0.001071339235
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.5,0.1,0.5,200,0.79,0.7335499583702545,0.8464500416297456,0.00117552438
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.5,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.00127539596
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.02,0.0,0.5,500,0.134,0.1041405080284342,0.1638594919715657,0.004715228896
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.02,0.05,0.5,200,0.235,0.1762367614915583,0.2937632385084416,0.004530166235
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.02,0.1,0.5,200,0.53,0.4608283815427165,0.5991716184572835,0.0040480639599999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.02,0.2,0.5,200,0.985,0.9681536888310824,1.0,0.0020156472649999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.05,0.0,0.5,500,0.226,0.1893397207211947,0.2626602792788053,0.0064331320619999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.05,0.05,0.5,200,0.34,0.2743473138401786,0.4056526861598214,0.00569890323
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.05,0.1,0.5,200,0.62,0.5527288709772163,0.6872711290227836,0.004726191325
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.05,0.2,0.5,200,0.985,0.9681536888310824,1.0,0.001823809595
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.1,0.0,0.5,500,0.332,0.2907210784637001,0.3732789215362999,0.0030903716299999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.1,0.05,0.5,200,0.42,0.3515962808028686,0.4884037191971314,0.00294263864
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.1,0.1,0.5,200,0.69,0.62590170673099,0.7540982932690099,0.00252092606
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.1,0.2,0.5,200,0.98,0.9605969899242413,0.9994030100757588,0.0016586365399999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.2,0.0,0.5,500,0.46,0.4163135389393922,0.5036864610606078,0.001474422416
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.2,0.05,0.5,200,0.56,0.4912042792028458,0.6287957207971543,0.0013080951099999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.2,0.1,0.5,200,0.77,0.7116755900158434,0.8283244099841567,0.0014837062549999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.2,0.2,0.5,200,0.985,0.9681536888310824,1.0,0.00152454328
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.35,0.0,0.5,500,0.498,0.4541734182578654,0.5418265817421345,0.0012115839919999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.35,0.05,0.5,200,0.565,0.4962915856681293,0.6337084143318705,0.0012410158149999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.35,0.1,0.5,200,0.785,0.7280629277184013,0.8419370722815988,0.0013601575999999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.35,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.00147833245
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.5,0.0,0.5,500,0.506,0.4621762232937416,0.5498237767062585,0.0011592387219999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.5,0.05,0.5,200,0.575,0.506487555874863,0.6435124441251369,0.0011859522899999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.5,0.1,0.5,200,0.79,0.7335499583702545,0.8464500416297456,0.0013332729699999
stageb_only,classification,100,256,bonferroni_unadjusted,adaptive,0.5,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.00147383392
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.02,0.0,0.5,500,0.134,0.1041405080284342,0.1638594919715657,0.0045089237579999
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.02,0.05,0.5,200,0.235,0.1762367614915583,0.2937632385084416,0.004288854905
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.02,0.1,0.5,200,0.53,0.4608283815427165,0.5991716184572835,0.0040180696599999
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.02,0.2,0.5,200,0.985,0.9681536888310824,1.0,0.001962123555
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.05,0.0,0.5,500,0.226,0.1893397207211947,0.2626602792788053,0.008962563472
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.05,0.05,0.5,200,0.34,0.2743473138401786,0.4056526861598214,0.0077673556749999
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.05,0.1,0.5,200,0.62,0.5527288709772163,0.6872711290227836,0.00621666892
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.05,0.2,0.5,200,0.985,0.9681536888310824,1.0,0.0018762771299999
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.1,0.0,0.5,500,0.332,0.2907210784637001,0.3732789215362999,0.0031717997
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.1,0.05,0.5,200,0.42,0.3515962808028686,0.4884037191971314,0.0029907939699999
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.1,0.1,0.5,200,0.69,0.62590170673099,0.7540982932690099,0.00255958711
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.1,0.2,0.5,200,0.98,0.9605969899242413,0.9994030100757588,0.0016671744550001
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.2,0.0,0.5,500,0.46,0.4163135389393922,0.5036864610606078,0.001501375336
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.2,0.05,0.5,200,0.56,0.4912042792028458,0.6287957207971543,0.001328459355
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.2,0.1,0.5,200,0.77,0.7116755900158434,0.8283244099841567,0.0015002543049999
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.2,0.2,0.5,200,0.985,0.9681536888310824,1.0,0.0015222180349999
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.35,0.0,0.5,500,0.498,0.4541734182578654,0.5418265817421345,0.0012228109499999
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.35,0.05,0.5,200,0.565,0.4962915856681293,0.6337084143318705,0.001267615305
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.35,0.1,0.5,200,0.785,0.7280629277184013,0.8419370722815988,0.0013872819499999
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.35,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.0014909504399999
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.5,0.0,0.5,500,0.506,0.4621762232937416,0.5498237767062585,0.001175863062
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.5,0.05,0.5,200,0.575,0.506487555874863,0.6435124441251369,0.001202268615
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.5,0.1,0.5,200,0.79,0.7335499583702545,0.8464500416297456,0.0013449629349999
stageb_only,classification,100,256,bonferroni_unadjusted,exhaustive,0.5,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.0014838272899999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.02,0.0,0.5,500,0.09,0.0649150626869429,0.115084937313057,0.0018463627479999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.02,0.05,0.5,200,0.22,0.1625883914177629,0.2774116085822371,0.0018386827499999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.02,0.1,0.5,200,0.665,0.5995854588031071,0.730414541196893,0.0017105593699999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.02,0.2,0.5,200,1.0,1.0,1.0,0.0013313464649999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.05,0.0,0.5,500,0.152,0.1205304314106469,0.1834695685893531,0.0024247725339999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.05,0.05,0.5,200,0.31,0.2459017067309901,0.3740982932690099,0.0022973081349999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.05,0.1,0.5,200,0.75,0.6899875013018122,0.8100124986981878,0.00191057721
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.05,0.2,0.5,200,1.0,1.0,1.0,0.0013856458799999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.1,0.0,0.5,500,0.256,0.2177459413290563,0.2942540586709437,0.001530482928
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.1,0.05,0.5,200,0.38,0.3127288709772164,0.4472711290227836,0.00148845168
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.1,0.1,0.5,200,0.815,0.7611847029182222,0.8688152970817777,0.001308017995
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.1,0.2,0.5,200,1.0,1.0,1.0,0.0011394538499999
