data,method,n_feats,mse,r2
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,55,7.461727543327801,0.46874269328733786
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,60,6.801686535272009,0.4735891130876529
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,65,6.7819539511242315,0.46317434460276663
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,70,4.943018326892135,0.48427507529852987
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,75,3.90546182703255,0.49001494378194066
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,80,3.655333342677963,0.4804072408813437
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,85,3.7587188465648884,0.4756280626297437
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,90,2.256010316625747,0.49324277424937923
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,95,1.7228017216059275,0.5401964991406851
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,100,1.0240700655383832,0.5526232661934453
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,5,0.7754856031124663,0.2854092302988275
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,10,0.7350963246084549,0.3208449312778495
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,15,0.7551264860799014,0.30623501498684663
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,20,0.7107419055892339,0.3498690519202573
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,25,0.732980422917717,0.33935653351205736
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,30,0.7311347885251493,0.34037228414413523
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,35,0.7380339755245282,0.33589441832772987
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,40,0.7507646560414813,0.3280176294913014
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,45,0.750282690385217,0.3281717798521121
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,50,0.7560293441509789,0.3246497455511717
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,55,0.7680061482590027,0.31653447584302513
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,60,0.7493033988195046,0.32942725910963855
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,65,0.7428402150866958,0.3318522363343752
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,70,0.7484530780779317,0.3269094468498296
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,75,0.7508744317833352,0.32472023764253494
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,80,0.7501650728003619,0.32484153428213436
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,85,0.7528407950977162,0.32378891682424915
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,90,0.7556592797771419,0.32422411297475523
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,95,0.6594979187191365,0.4043737841983336
coepra1,ct_es_1_vm_1_alpha_0.05_select_pearson,100,0.6674094971993565,0.39539480893348017
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,5,0.8295256728381692,0.2637182035186271
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,10,0.7022534509106795,0.39256759822274756
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,15,0.6571305060972437,0.4395479472274425
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,20,0.6559655822390051,0.44020151537402785
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,25,0.6769215347454509,0.42643062911301416
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,30,0.6689158339726131,0.43025518967744
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,35,0.6960638976784795,0.41366692747718786
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,40,0.6350945564796551,0.4577274912426887
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,45,0.6032248112412303,0.48338309184741723
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,50,0.5646087338279572,0.518544957083617
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,55,0.5277782033822505,0.533404029173582
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,60,0.5429275097599018,0.5205696352797616
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,65,0.5615216384021481,0.5108987889097161
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,70,0.5550116997812796,0.5150939321580629
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,75,0.5689147650570803,0.5068808729388508
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,80,0.594809610828464,0.4900575738991163
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,85,0.5673236856969787,0.5164866336077729
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,90,0.5670202844543419,0.5191101875132693
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,95,0.5496245278353615,0.5296932279187994
coepra1,cf_es_1_vm_1_alpha_0.05_select_pearson,100,0.557526004216043,0.5347834759556532
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,5,0.8641305699196155,0.20341531916179015
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,10,0.7927205250422917,0.2579418103167458
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,15,0.7305197060373094,0.3345134819902281
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,20,0.7408614540022769,0.3492438647905314
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,25,0.7046748905730673,0.3751531997249339
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,30,0.7041996113925206,0.3732303903167569
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,35,0.7178969450739643,0.36363659425932193
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,40,0.7252486136571471,0.36147949975080895
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,45,0.7198457835396971,0.36579806279870997
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,50,0.7208251402939986,0.36658394244970127
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,55,0.6969744826578788,0.3851121813309506
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,60,0.6780987067771178,0.3969529283103522
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,65,0.6846167614274113,0.3922227833774795
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,70,0.69032185704771,0.38970339955953814
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,75,0.6884601752672996,0.3912011747771967
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,80,0.6934298923962127,0.38978901083704365
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,85,0.6903594484567911,0.3911515657943965
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,90,0.6758253847337641,0.3994929431413279
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,95,1.227143232130817,0.35332150918963723
coepra1,ct_es_1_vm_1_alpha_0.95_select_pearson,100,1.161063097404155,0.35102544602349456
coepra1,cf_es_1_vm_1_alpha_0.95_select_pearson,5,0.9926639217363473,0.08733890534297678
coepra1,cf_es_1_vm_1_alpha_0.95_select_pearson,10,0.9998745357810108,0.11858303656210363
coepra1,cf_es_1_vm_1_alpha_0.95_select_pearson,15,0.8280428854960634,0.298208861024271
coepra1,cf_es_1_vm_1_alpha_0.95_select_pearson,20,0.8003237326909431,0.3296965580384278
coepra1,cf_es_1_vm_1_alpha_0.95_select_pearson,25,0.6763209119515802,0.42259818393198517
coepra1,cf_es_1_vm_1_alpha_0.95_select_pearson,30,0.6809176740982398,0.4304360521198216
coepra1,cf_es_1_vm_1_alpha_0.95_select_pearson,35,0.6416760901953205,0.44934011366417276
