data,method,n_feats,mse,r2
coepra2,r_cf_alpha_0.99,20,0.5604603302643422,0.43538822348297745
coepra2,r_cf_alpha_0.99,25,0.6096484368949089,0.39559368573041026
coepra2,r_cf_alpha_0.99,30,0.5082863816717688,0.3969134787394314
coepra2,r_cf_alpha_0.99,35,0.4533457486948815,0.4426817125674142
coepra2,r_cf_alpha_0.99,40,0.5368287072531484,0.4034611172221819
coepra2,r_cf_alpha_0.99,45,0.5797567548143144,0.3709171814708404
coepra2,r_cf_alpha_0.99,50,0.5197939544834951,0.3863138742341779
coepra2,r_cf_alpha_0.99,55,0.44189973821626627,0.43649165761291736
coepra2,r_cf_alpha_0.99,60,0.32264145394971033,0.5225606168721667
coepra2,r_cf_alpha_0.99,65,0.3103249731445772,0.5393879979583515
coepra2,r_cf_alpha_0.99,70,0.3091946688732442,0.5403829484573959
coepra2,r_cf_alpha_0.99,75,0.24010026120393774,0.6331741462148864
coepra2,r_cf_alpha_0.99,80,0.25181358324309566,0.6141228561611196
coepra2,r_cf_alpha_0.99,85,0.257961011747862,0.6053844515024678
coepra2,r_cf_alpha_0.99,90,0.2660994022810938,0.5927376559889457
coepra2,r_cf_alpha_0.99,95,0.2708834652386403,0.5849847952584756
coepra2,r_cf_alpha_0.99,100,0.2784621102676804,0.5755895202596262
coepra2,r_cf_alpha_0.95,5,0.4181169981559402,0.39294677473238354
coepra2,r_cf_alpha_0.95,10,0.28843751279335994,0.5863440918174483
coepra2,r_cf_alpha_0.95,15,0.5090300962897982,0.408826389368713
coepra2,r_cf_alpha_0.95,20,0.4928425624707161,0.41713492617705705
coepra2,r_cf_alpha_0.95,25,0.4264658054536188,0.4702793678355305
coepra2,r_cf_alpha_0.95,30,0.4423435638530545,0.4482874171892458
coepra2,r_cf_alpha_0.95,35,0.4442774349803334,0.4600757910738471
coepra2,r_cf_alpha_0.95,40,0.4351934231056343,0.43869443558864224
coepra2,r_cf_alpha_0.95,45,0.413876993646765,0.45999981777304944
coepra2,r_cf_alpha_0.95,50,0.43792805208417657,0.4269525458898853
coepra2,r_cf_alpha_0.95,55,0.45854273157876085,0.39598268620911836
coepra2,r_cf_alpha_0.95,60,0.4462254412695626,0.4137064940344402
coepra2,r_cf_alpha_0.95,65,0.48553512277936217,0.3727055002652302
coepra2,r_cf_alpha_0.95,70,0.47210198992247054,0.4011513073338949
coepra2,r_cf_alpha_0.95,75,0.4940034921925033,0.38731816720635315
coepra2,r_cf_alpha_0.95,80,0.4754208641632413,0.4009846952717388
coepra2,r_cf_alpha_0.95,85,0.48275662896811156,0.3881866268139458
coepra2,r_cf_alpha_0.95,90,0.45388800140780416,0.39936307943486904
coepra2,r_cf_alpha_0.95,95,0.45432427199101716,0.4335717099755988
coepra2,r_cf_alpha_0.95,100,0.4609863831490773,0.43486812812203157
coepra2,r_cf_alpha_0.05,5,0.4904886616494199,0.28433991263524655
coepra2,r_cf_alpha_0.05,10,0.32075068897064724,0.5354103078930815
coepra2,r_cf_alpha_0.05,15,0.28675704169963,0.5848473048559382
coepra2,r_cf_alpha_0.05,20,0.40482877298009246,0.49140470451485346
coepra2,r_cf_alpha_0.05,25,0.37244791895373397,0.5304243514096122
coepra2,r_cf_alpha_0.05,30,0.39607749755104116,0.4991181455359457
coepra2,r_cf_alpha_0.05,35,0.3287312501862246,0.5767644831810053
coepra2,r_cf_alpha_0.05,40,0.3672723432445038,0.5454374116000941
coepra2,r_cf_alpha_0.05,45,0.3524593623069049,0.5378370362784892
coepra2,r_cf_alpha_0.05,50,0.362020768021419,0.5279642559391052
coepra2,r_cf_alpha_0.05,55,0.2422086759850821,0.6426464240721902
coepra2,r_cf_alpha_0.05,60,0.2591279915520601,0.6162699757961124
coepra2,r_cf_alpha_0.05,65,0.2593120933076659,0.6196167791024583
coepra2,r_cf_alpha_0.05,70,0.23693742886821675,0.6320442389729528
coepra2,r_cf_alpha_0.05,75,1.1662982226474021,0.5226550135282725
coepra2,r_cf_alpha_0.05,80,1.278855496805807,0.48701821156897107
coepra2,r_cf_alpha_0.05,85,1.2959326743269834,0.47853041620057474
coepra2,r_cf_alpha_0.05,90,0.8462191634286069,0.4981292234839179
coepra2,r_cf_alpha_0.05,95,0.7563117597211502,0.5106494072010737
coepra2,r_cf_alpha_0.05,100,360.1012359794848,0.5261512302707324
coepra2,r_cf_alpha_0.01,5,0.5194023762636502,0.3501045057842992
coepra2,r_cf_alpha_0.01,10,0.3096725161703809,0.5892773323329055
coepra2,r_cf_alpha_0.01,15,0.36761749666059373,0.5030080683768337
coepra2,r_cf_alpha_0.01,20,0.4197252526203865,0.4572136952416484
coepra2,r_cf_alpha_0.01,25,0.5046142369619259,0.40304342861979975
coepra2,r_cf_alpha_0.01,30,0.45079135864414244,0.4457481642038186
coepra2,r_cf_alpha_0.01,35,0.4838444860718464,0.4176826464813891
coepra2,r_cf_alpha_0.01,40,0.4822977596265453,0.4190760917794285
coepra2,r_cf_alpha_0.01,45,0.5380939489291812,0.3801538769144074
coepra2,r_cf_alpha_0.01,50,0.6435223685939132,0.4376867401282422
coepra2,r_cf_alpha_0.01,55,0.525500421531548,0.5031921491674163
coepra2,r_cf_alpha_0.01,60,0.5317759653617511,0.503243629426149
coepra2,r_cf_alpha_0.01,65,0.4566963952483679,0.548571909600669
coepra2,r_cf_alpha_0.01,70,0.49496446553409673,0.5182308109335988
coepra2,r_cf_alpha_0.01,75,0.4885814789879273,0.5121247314362921
coepra2,r_cf_alpha_0.01,80,0.5012833570145845,0.48306679606458924
coepra2,r_cf_alpha_0.01,85,0.5170178402340495,0.46393643806677487
coepra2,r_cf_alpha_0.01,90,0.5196511276137397,0.4536033099024605
coepra2,r_cf_alpha_0.01,95,0.5363715684910696,0.42503527267329977
coepra2,r_cf_alpha_0.01,100,0.3744338012390712,0.5303577609938743
coepra3,r_cf_alpha_0.99,5,0.4465300458594298,0.348391172514399
coepra3,r_cf_alpha_0.99,10,0.46350729993582906,0.3269475611719082
coepra3,r_cf_alpha_0.99,15,0.46968518494518846,0.32005074864106664
coepra3,r_cf_alpha_0.99,20,0.4731925598663856,0.31642702089482205
coepra3,r_cf_alpha_0.99,25,0.4930847557574893,0.29349823808845177
coepra3,r_cf_alpha_0.99,30,0.4775567042030319,0.30721129103171946
coepra3,r_cf_alpha_0.99,35,0.48419463197773716,0.3018588671618234
coepra3,r_cf_alpha_0.99,40,0.497434564898718,0.2914094013028616
coepra3,r_cf_alpha_0.99,45,0.5004817594138558,0.29780921368268537
coepra3,r_cf_alpha_0.99,50,0.5078501608413017,0.2915902467318999
coepra3,r_cf_alpha_0.99,55,0.46471168974187627,0.34157296474520304
coepra3,r_cf_alpha_0.99,60,0.4734762630437327,0.33746529702974054
coepra3,r_cf_alpha_0.99,65,0.4906810435635699,0.32092688477921016
coepra3,r_cf_alpha_0.99,70,0.5048728658356201,0.3119253133533369
coepra3,r_cf_alpha_0.99,75,0.5144923689029589,0.3050330711947559
coepra3,r_cf_alpha_0.99,80,0.5165774938547412,0.30429575493399946
coepra3,r_cf_alpha_0.99,85,0.5302275698948049,0.3016372958135159
coepra3,r_cf_alpha_0.99,90,0.5243588592924215,0.3091941725259658
coepra3,r_cf_alpha_0.99,95,0.5275113395208866,0.30998108218939924
coepra3,r_cf_alpha_0.99,100,0.5439042355453102,0.29800216769997506
coepra3,r_cf_alpha_0.95,5,0.598523135859846,0.15452465896092019
coepra3,r_cf_alpha_0.95,10,0.47571212820787023,0.31284046404139026
coepra3,r_cf_alpha_0.95,15,0.470262301435704,0.32346461366293283
coepra3,r_cf_alpha_0.95,20,0.44630759421782223,0.35920889782201826
coepra3,r_cf_alpha_0.95,25,0.4513161019489419,0.3551201903951118
coepra3,r_cf_alpha_0.95,30,0.44990586439386054,0.3580579217085553
coepra3,r_cf_alpha_0.95,35,0.44825930758427496,0.36863194165024316
coepra3,r_cf_alpha_0.95,40,0.4596724085503463,0.36010094996884245
coepra3,r_cf_alpha_0.95,45,0.44132763137571984,0.3846541495955577
coepra3,r_cf_alpha_0.95,50,0.4588646542955225,0.36483682995565075
coepra3,r_cf_alpha_0.95,55,0.47715890337543954,0.3489718103541306
coepra3,r_cf_alpha_0.95,60,0.4777614096200257,0.3473876911802579
coepra3,r_cf_alpha_0.95,65,0.47565124725313923,0.3494070372553195
coepra3,r_cf_alpha_0.95,70,0.4686582664912632,0.35566735500987756
coepra3,r_cf_alpha_0.95,75,0.480378236686963,0.3442519310809898
coepra3,r_cf_alpha_0.95,80,0.48061806039422805,0.3408483397887135
coepra3,r_cf_alpha_0.95,85,0.48878960425722295,0.3366807568677362
coepra3,r_cf_alpha_0.95,90,0.5006601885508631,0.3373617108021905
coepra3,r_cf_alpha_0.95,95,0.5260989933001197,0.31671405909983597
coepra3,r_cf_alpha_0.95,100,0.5075228283542749,0.33600644508032085
coepra3,r_cf_alpha_0.05,5,0.4581463390279965,0.33695199661622977
coepra3,r_cf_alpha_0.05,10,0.45411741107995907,0.34803915959867615
coepra3,r_cf_alpha_0.05,15,0.45186703143239965,0.34941151650057145
coepra3,r_cf_alpha_0.05,20,0.4632276263985207,0.33598978649541006
coepra3,r_cf_alpha_0.05,25,0.47484704064897876,0.32419297818038234
coepra3,r_cf_alpha_0.05,30,0.48740649128727787,0.3113648483390489
coepra3,r_cf_alpha_0.05,35,0.4871043812161083,0.31383213436671425
coepra3,r_cf_alpha_0.05,40,0.5002409574070119,0.3016151741087514
coepra3,r_cf_alpha_0.05,45,0.5026943476336656,0.2956265224803199
coepra3,r_cf_alpha_0.05,50,0.49785777674560094,0.3033538653827498
coepra3,r_cf_alpha_0.05,55,0.49459797979943243,0.3155280566605292
coepra3,r_cf_alpha_0.05,60,0.4779173884734149,0.3380596429194646
coepra3,r_cf_alpha_0.05,65,0.48209935257217607,0.33374604700458177
coepra3,r_cf_alpha_0.05,70,0.48811530879578396,0.32841129995983886
coepra3,r_cf_alpha_0.05,75,0.4927927278587445,0.3230514678283704
coepra3,r_cf_alpha_0.05,80,0.5202854099498551,0.2993548972389714
coepra3,r_cf_alpha_0.05,85,0.5211674728880424,0.2990036370443846
coepra3,r_cf_alpha_0.05,90,0.5218272320442773,0.3053703368489068
coepra3,r_cf_alpha_0.05,95,0.5362814508694667,0.2995030042171421
coepra3,r_cf_alpha_0.05,100,0.5620880469548047,0.28035400249545417
coepra3,r_cf_alpha_0.01,5,0.45294913998262143,0.3451962929980341
coepra3,r_cf_alpha_0.01,10,0.4337265451840636,0.37029278034256297
coepra3,r_cf_alpha_0.01,15,0.4533975667204377,0.3485678197987391
coepra3,r_cf_alpha_0.01,20,0.4356806682830783,0.36603381343363117
coepra3,r_cf_alpha_0.01,25,0.44611776707200274,0.35479107004669064
coepra3,r_cf_alpha_0.01,30,0.4500951614269811,0.3532969508351184
coepra3,r_cf_alpha_0.01,35,0.4597938610073249,0.3424288494418157
coepra3,r_cf_alpha_0.01,40,0.4813335372878075,0.3236981906772022
coepra3,r_cf_alpha_0.01,45,0.501346390753868,0.3083915262984836
coepra3,r_cf_alpha_0.01,50,0.438207246097324,0.38460342359091676
coepra3,r_cf_alpha_0.01,55,0.43927894341911833,0.389368854409918
coepra3,r_cf_alpha_0.01,60,0.4446248589646896,0.3879003611255535
coepra3,r_cf_alpha_0.01,65,0.44969016833485,0.3823429770988901
coepra3,r_cf_alpha_0.01,70,0.4552041000041286,0.3784980212241868
coepra3,r_cf_alpha_0.01,75,0.46388935053714003,0.36818145848317474
coepra3,r_cf_alpha_0.01,80,0.4786524700372573,0.3545322621820401
coepra3,r_cf_alpha_0.01,85,0.5055927912176809,0.3329731992008528
coepra3,r_cf_alpha_0.01,90,0.515358134171752,0.32632696492243524
coepra3,r_cf_alpha_0.01,95,0.4777180399780909,0.36292198554272753
coepra3,r_cf_alpha_0.01,100,0.4888537244338996,0.35281222141874075
residential,r_cf_alpha_0.99,5,69077.36122584174,0.9559931859060932
residential,r_cf_alpha_0.99,10,65675.66403472004,0.9582498439130707
residential,r_cf_alpha_0.99,15,58264.47004750152,0.9633973973094616
residential,r_cf_alpha_0.99,20,50704.52097541233,0.9686979412314252
residential,r_cf_alpha_0.99,25,48402.7005217189,0.9702605111816593
residential,r_cf_alpha_0.99,30,44416.46854539083,0.9731345590665408
residential,r_cf_alpha_0.99,35,43494.413607551156,0.9735778693667049
residential,r_cf_alpha_0.99,40,43698.60936757322,0.9733618902915175
residential,r_cf_alpha_0.99,45,43640.254941102015,0.9732651255292877
residential,r_cf_alpha_0.99,50,43474.40967297809,0.9731826251060592
residential,r_cf_alpha_0.99,55,44824.460332268216,0.9720807984322611
residential,r_cf_alpha_0.99,60,44381.15476628735,0.9726881231577922
residential,r_cf_alpha_0.99,65,44740.4869502363,0.972410388850772
residential,r_cf_alpha_0.99,70,42018.9988410956,0.9741308917535537
residential,r_cf_alpha_0.99,75,43169.36913582923,0.9733943244786752
