,cf,ct,dt,et,hy,mc,mi,r_cf,rf
CLL_SUB_111_mean,0.6843160173160172,0.6394042207792208,0.7005681818181818,0.7657180735930736,0.5603225108225108,0.5603225108225108,0.680254329004329,0.7234534632034632,0.7631515151515152
CLL_SUB_111_sd,0.055625896556760736,0.03838280637473051,0.025709892589657963,0.03315174219626972,0.02060453499917353,0.02060453499917353,0.0234918644819755,0.056432722810943234,0.024294077624079598
CLL_SUB_111_best,0.7526515151515151,0.6851623376623376,0.7574458874458874,0.8155844155844155,0.5886580086580088,0.5886580086580088,0.7161147186147186,0.7824675324675325,0.8103030303030302
CLL_SUB_111_loc_best,1.0,0.1,0.1,1.0,0.65,0.65,0.1,0.95,1.0
ORL_mean,0.8081375000000002,0.7985749999999999,0.8142625000000001,0.762425,0.6384375,0.6888625,0.6374000000000001,0.7140750000000001,0.790775
ORL_sd,0.15790379472374277,0.14130878143458145,0.15832163455164697,0.1920530028951712,0.19562218343356616,0.24726579129764928,0.19343985193281527,0.17344300026840306,0.18359249246489817
ORL_best,0.8960000000000001,0.8885,0.889,0.91225,0.8415000000000001,0.8862500000000001,0.83775,0.8484999999999999,0.899
ORL_loc_best,1.0,1.0,0.8,1.0,0.95,1.0,1.0,1.0,1.0
TOX_171_mean,0.7732098803157627,0.760892156862745,0.7625766233766236,0.7771091927680163,0.741902495543672,0.741902495543672,0.7303360835243189,0.7249694423223835,0.8083522026992614
TOX_171_sd,0.0865528779296521,0.09550765688881128,0.07136510399742307,0.06960015233545401,0.06252484276474787,0.06252484276474787,0.09286718110885851,0.08786891413103484,0.09444951918730243
TOX_171_best,0.8600519480519478,0.8481222307104659,0.8207201426024957,0.8718899923605805,0.8085744843391902,0.8085744843391902,0.8396872930990579,0.8302633053221289,0.8795579322638145
TOX_171_loc_best,1.0,0.95,1.0,0.95,0.65,0.65,1.0,0.95,0.65
Yale_mean,0.6657444444444446,0.5945111111111112,0.6469,0.6505333333333332,0.6385777777777779,0.6325444444444446,0.6438,0.5279777777777779,0.6610333333333334
Yale_sd,0.11584256473795902,0.08007469222721152,0.08216199706788556,0.11187885400159207,0.07641698133096786,0.10042253745992252,0.07511418727913051,0.14908725373676532,0.09886575128490152
Yale_best,0.7495555555555555,0.6626666666666666,0.6924444444444445,0.742,0.6935555555555556,0.6935555555555556,0.6920000000000001,0.6613333333333332,0.752
Yale_loc_best,0.75,0.45,0.4,0.9,0.35,0.35,0.6,0.85,0.9
vowel-context_mean,0.3951313131313132,0.3890606060606061,0.36876767676767674,0.3899090909090909,0.39316161616161616,0.39316161616161616,0.38683838383838387,0.3923737373737374,0.39121212121212123
vowel-context_sd,0.09681153862318527,0.09298553963145564,0.07450985678993623,0.09480813617146257,0.0839978207588341,0.0839978207588341,0.08031721069977288,0.08619006783972276,0.09599911762188627
vowel-context_best,0.4755555555555556,0.4755555555555556,0.4732323232323233,0.4732323232323233,0.4755555555555556,0.4755555555555556,0.4755555555555556,0.4732323232323233,0.4755555555555556
vowel-context_loc_best,0.9,0.9,1.0,1.0,0.9,0.9,0.9,1.0,0.9
