,cf,ct,dt,et,hy,mc,mi,r_cf,rf
ORL_best,0.9915993589743588,0.9896987179487181,0.9901346153846152,0.9927403846153848,0.9813044871794872,0.9875,0.9809967948717948,0.984102564102564,0.9905993589743592
ORL_loc_best,0.55,0.85,0.6,0.9,1.0,1.0,1.0,1.0,1.0
TOX_171_mean,0.9167377330077331,0.9134685627798127,0.917501502849003,0.9250987433862434,0.91564233491046,0.91564233491046,0.9019483994708993,0.9070445492470492,0.9392667539173789
TOX_171_sd,0.04973352896008094,0.05364730012192616,0.037346804982514505,0.03813309405786973,0.0338435600737504,0.0338435600737504,0.04930740389222396,0.048868880332853096,0.047405720321511136
TOX_171_best,0.9617099206349208,0.9568565221815224,0.9478367623117624,0.9688312576312575,0.9473609330484332,0.9473609330484332,0.9572569240944241,0.958192073667074,0.9688780016280016
TOX_171_loc_best,1.0,0.8,1.0,0.95,1.0,1.0,1.0,1.0,0.65
Yale_mean,0.9259177248677248,0.9008166666666668,0.9198582010582012,0.9154591269841269,0.9145255291005292,0.9120218253968254,0.9072198412698412,0.8611138888888888,0.9223371693121691
Yale_sd,0.04690051452040021,0.03388220647557256,0.03853298366659697,0.03724225231681189,0.02995367988245719,0.04028822710089348,0.035323271527345754,0.07130881887058824,0.0371633834265624
Yale_best,0.9498941798941798,0.9281481481481482,0.9398994708994708,0.9425555555555556,0.9338306878306876,0.9348624338624338,0.9306613756613756,0.9343571428571428,0.9493968253968256
Yale_loc_best,0.6,0.4,0.3,1.0,0.55,0.85,0.6,1.0,1.0
vowel-context_mean,0.7731889450056117,0.7738556116722785,0.7620760942760942,0.7701123456790124,0.7733887205387205,0.7733887205387205,0.7688368125701458,0.7730172278338946,0.7705023007856341
vowel-context_sd,0.07112224105763908,0.06164946468908011,0.05852439398812369,0.07074238665473974,0.06313444915022083,0.06313444915022083,0.06079099216456406,0.06528271550647836,0.07101890557228606
vowel-context_best,0.8228978675645342,0.8228978675645342,0.8228978675645342,0.8228978675645342,0.8228978675645342,0.8228978675645342,0.8228978675645342,0.8228978675645342,0.8228978675645342
vowel-context_loc_best,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
